task_idx,trial_idx,cutrial_no,targetangle_deg,targetx_cm,targety_cm,cursortype,rotation_deg,doaiming_bool,aimstart_deg,aim_deg,aimdeviation_deg,aimtime_ms,phase,cutime_ms,time_ms,mousex_cm,mousey_cm,cursorx_cm,cursory_cm,deviation_bool,reachdeviation_deg
2,1,1,160.00000,-7.51754,2.73616,regular,0,True,150.00000,159.50000,-0.50000,16612.00000,2,76341,1485,-2.16589,0.08217,-2.16589,0.08217,1,17.82734
2,2,2,80.00000,1.38919,7.87846,regular,0,True,70.00000,79.00000,-1.00000,3305.00000,2,93771,1601,0.18512,2.07484,0.18512,2.07484,1,4.90149
2,3,3,20.00000,7.51754,2.73616,regular,0,True,10.00000,19.25000,-0.75000,3156.00000,2,102010,2235,2.07333,0.69846,2.07333,0.69846,1,-1.38244
2,4,4,40.00000,6.12836,5.14230,regular,0,True,30.00000,38.25000,-1.75000,2486.00000,2,108716,1601,1.83268,1.23258,1.83268,1.23258,1,-6.07696
2,5,5,120.00000,-4.00000,6.92820,regular,0,True,110.00000,121.00000,1.00000,5075.00000,2,116805,934,-0.99964,1.76669,-0.99964,1.76669,1,-0.49767
2,6,6,100.00000,-1.38919,7.87846,regular,0,True,90.00000,101.50000,1.50000,6792.00000,2,128597,2018,-0.40726,2.05430,-0.40726,2.05430,1,1.21336
2,7,7,140.00000,-6.12836,5.14230,regular,0,True,130.00000,139.75000,-0.25000,3134.00000,2,137171,1885,-1.77714,1.04769,-1.77714,1.04769,1,9.47907
2,8,8,60.00000,4.00000,6.92820,regular,0,True,50.00000,57.75000,-2.25000,4624.00000,2,145177,950,1.20327,1.88995,1.20327,1.88995,1,-2.48359
2,9,9,60.00000,4.00000,6.92820,regular,0,True,50.00000,58.00000,-2.00000,3006.00000,2,152549,1651,1.20327,1.80778,1.20327,1.80778,1,-3.64799
2,10,10,40.00000,6.12836,5.14230,regular,0,True,30.00000,38.25000,-1.75000,2454.00000,2,159972,2252,1.53649,1.43801,1.53649,1.43801,1,3.10374
2,11,11,20.00000,7.51754,2.73616,regular,0,True,10.00000,18.75000,-1.25000,2672.00000,2,167111,1585,1.77714,0.92443,1.77714,0.92443,1,7.48248
