task_idx,trial_idx,cutrial_no,targetangle_deg,targetx_cm,targety_cm,cursortype,rotation_deg,doaiming_bool,aimstart_deg,aim_deg,aimdeviation_deg,aimtime_ms,phase,cutime_ms,time_ms,mousex_cm,mousey_cm,cursorx_cm,cursory_cm,deviation_bool
12,93,205,140.00000,-6.12836,5.14230,regular,-20,True,130.00000,140.75000,0.75000,2856,0,1627727,0,0.01851,0.04109,0.03145,0.03228,0
12,93,205,140.00000,-6.12836,5.14230,regular,-20,True,130.00000,140.75000,0.75000,2856,1,1627743,16,0.01851,0.04109,0.03145,0.03228,0
12,93,205,140.00000,-6.12836,5.14230,regular,-20,True,130.00000,140.75000,0.75000,2856,1,1627760,33,0.01851,0.04109,0.03145,0.03228,0
12,93,205,140.00000,-6.12836,5.14230,regular,-20,True,130.00000,140.75000,0.75000,2856,1,1627777,50,0.01851,0.04109,0.03145,0.03228,0
12,93,205,140.00000,-6.12836,5.14230,regular,-20,True,130.00000,140.75000,0.75000,2856,1,1627793,66,0.01851,0.04109,0.03145,0.03228,0
12,93,205,140.00000,-6.12836,5.14230,regular,-20,True,130.00000,140.75000,0.75000,2856,1,1627810,83,0.01851,0.04109,0.03145,0.03228,0
12,93,205,140.00000,-6.12836,5.14230,regular,-20,True,130.00000,140.75000,0.75000,2856,1,1627827,100,0.01851,0.04109,0.03145,0.03228,0
12,93,205,140.00000,-6.12836,5.14230,regular,-20,True,130.00000,140.75000,0.75000,2856,1,1627844,117,0.01851,0.04109,0.03145,0.03228,0
12,93,205,140.00000,-6.12836,5.14230,regular,-20,True,130.00000,140.75000,0.75000,2856,1,1627860,133,0.01851,0.04109,0.03145,0.03228,0
12,93,205,140.00000,-6.12836,5.14230,regular,-20,True,130.00000,140.75000,0.75000,2856,1,1627877,150,0.01851,0.04109,0.03145,0.03228,0
12,93,205,140.00000,-6.12836,5.14230,regular,-20,True,130.00000,140.75000,0.75000,2856,1,1627893,166,0.01851,0.04109,0.03145,0.03228,0
12,93,205,140.00000,-6.12836,5.14230,regular,-20,True,130.00000,140.75000,0.75000,2856,1,1627910,183,0.01851,0.04109,0.03145,0.03228,0
12,93,205,140.00000,-6.12836,5.14230,regular,-20,True,130.00000,140.75000,0.75000,2856,1,1627927,200,0.01851,0.04109,0.03145,0.03228,0
12,93,205,140.00000,-6.12836,5.14230,regular,-20,True,130.00000,140.75000,0.75000,2856,1,1627943,216,0.01851,0.04109,0.03145,0.03228,0
12,93,205,140.00000,-6.12836,5.14230,regular,-20,True,130.00000,140.75000,0.75000,2856,1,1627960,233,0.01851,0.04109,0.03145,0.03228,0
12,93,205,140.00000,-6.12836,5.14230,regular,-20,True,130.00000,140.75000,0.75000,2856,1,1627977,250,0.01851,0.04109,0.03145,0.03228,0
12,93,205,140.00000,-6.12836,5.14230,regular,-20,True,130.00000,140.75000,0.75000,2856,1,1627994,267,0.01851,0.04109,0.03145,0.03228,0
12,93,205,140.00000,-6.12836,5.14230,regular,-20,True,130.00000,140.75000,0.75000,2856,1,1628010,283,0.01851,0.04109,0.03145,0.03228,0
12,93,205,140.00000,-6.12836,5.14230,regular,-20,True,130.00000,140.75000,0.75000,2856,1,1628027,300,0.01851,0.04109,0.03145,0.03228,0
12,93,205,140.00000,-6.12836,5.14230,regular,-20,True,130.00000,140.75000,0.75000,2856,1,1628043,316,0.01851,0.04109,0.03145,0.03228,0
12,93,205,140.00000,-6.12836,5.14230,regular,-20,True,130.00000,140.75000,0.75000,2856,1,1628060,333,0.01851,0.04109,0.03145,0.03228,0
12,93,205,140.00000,-6.12836,5.14230,regular,-20,True,130.00000,140.75000,0.75000,2856,1,1628077,350,0.01851,0.04109,0.03145,0.03228,0
12,93,205,140.00000,-6.12836,5.14230,regular,-20,True,130.00000,140.75000,0.75000,2856,2,1628093,366,0.01851,0.04109,0.03145,0.03228,0
12,93,205,140.00000,-6.12836,5.14230,regular,-20,True,130.00000,140.75000,0.75000,2856,2,1628110,383,0.01851,0.04109,0.03145,0.03228,0
12,93,205,140.00000,-6.12836,5.14230,regular,-20,True,130.00000,140.75000,0.75000,2856,2,1628127,400,0.01851,0.04109,0.03145,0.03228,0
12,93,205,140.00000,-6.12836,5.14230,regular,-20,True,130.00000,140.75000,0.75000,2856,2,1628144,417,0.01851,0.04109,0.03145,0.03228,0
