task_idx,trial_idx,cutrial_no,targetangle_deg,targetx_cm,targety_cm,cursortype,rotation_deg,doaiming_bool,aimstart_deg,aim_deg,aimdeviation_deg,aimtime_ms,phase,cutime_ms,time_ms,mousex_cm,mousey_cm,cursorx_cm,cursory_cm,deviation_bool,reachdeviation_deg
2,1,1,20.00000,7.51754,2.73616,regular,0,True,10.00000,18.50000,-1.50000,3252.00000,2,107024,7039,1.79565,1.06823,1.79565,1.06823,1,10.74836
2,2,2,60.00000,4.00000,6.92820,regular,0,True,50.00000,59.50000,-0.50000,3229.00000,2,114279,884,0.25917,1.99267,0.25917,1.99267,1,22.58961
2,3,3,80.00000,1.38919,7.87846,regular,0,True,70.00000,78.00000,-2.00000,2675.00000,2,122319,2735,0.18512,2.01321,0.18512,2.01321,1,4.74628
2,4,4,160.00000,-7.51754,2.73616,regular,0,True,150.00000,159.50000,-0.50000,2887.00000,2,128040,650,-1.88821,1.00661,-1.88821,1.00661,1,-8.06220
2,5,5,120.00000,-4.00000,6.92820,regular,0,True,110.00000,119.25000,-0.75000,3377.00000,2,134462,968,-1.44393,2.17755,-1.44393,2.17755,1,3.54830
2,6,6,140.00000,-6.12836,5.14230,regular,0,True,130.00000,139.25000,-0.75000,2705.00000,2,141083,867,-1.57351,1.70507,-1.57351,1.70507,1,-7.29788
2,7,7,40.00000,6.12836,5.14230,regular,0,True,30.00000,38.25000,-1.75000,3026.00000,2,147371,1067,1.79565,1.49964,1.79565,1.49964,1,-0.13300
2,8,8,100.00000,-1.38919,7.87846,regular,0,True,90.00000,98.75000,-1.25000,3294.00000,2,153259,900,-0.68494,2.01321,-0.68494,2.01321,1,8.78948
2,9,9,140.00000,-6.12836,5.14230,regular,0,True,130.00000,138.50000,-1.50000,2793.00000,2,159147,850,-1.46244,1.52018,-1.46244,1.52018,1,-6.10904
2,10,10,80.00000,1.38919,7.87846,regular,0,True,70.00000,80.25000,0.25000,2795.00000,2,164301,867,0.18512,2.30081,0.18512,2.30081,1,5.39997
2,11,11,160.00000,-7.51754,2.73616,regular,0,True,150.00000,158.50000,-1.50000,3258.00000,2,170940,901,-1.99929,1.39692,-1.99929,1.39692,1,-14.94231
2,12,12,40.00000,6.12836,5.14230,regular,0,True,30.00000,38.00000,-2.00000,3219.00000,2,179546,1267,1.57351,1.62289,1.57351,1.62289,1,5.88507
2,13,13,120.00000,-4.00000,6.92820,regular,0,True,110.00000,116.75000,-3.25000,2290.00000,2,185034,851,-1.07369,1.80778,-1.07369,1.80778,1,0.70724
2,14,14,60.00000,4.00000,6.92820,regular,0,True,50.00000,58.75000,-1.25000,2370.00000,2,191689,917,0.85155,1.91050,0.85155,1.91050,1,5.97646
2,15,15,100.00000,-1.38919,7.87846,regular,0,True,90.00000,98.00000,-2.00000,3459.00000,2,198327,733,-0.66643,2.03375,-0.66643,2.03375,1,8.14321
2,16,16,20.00000,7.51754,2.73616,regular,0,True,10.00000,18.00000,-2.00000,3214.00000,2,203949,951,2.09185,0.86280,2.09185,0.86280,1,2.41408
2,17,17,80.00000,1.38919,7.87846,regular,0,True,70.00000,79.25000,-0.75000,2748.00000,2,214190,901,0.22214,2.21864,0.22214,2.21864,1,4.28235
2,18,18,100.00000,-1.38919,7.87846,regular,0,True,90.00000,99.00000,-1.00000,2043.00000,2,218843,800,-0.57387,2.05430,-0.57387,2.05430,1,5.60774
