task_idx,trial_idx,cutrial_no,targetangle_deg,targetx_cm,targety_cm,cursortype,rotation_deg,doaiming_bool,aimstart_deg,aim_deg,aimdeviation_deg,aimtime_ms,phase,cutime_ms,time_ms,mousex_cm,mousey_cm,cursorx_cm,cursory_cm,deviation_bool
3,10,34,140.00000,-6.12836,5.14230,nocursor,0,False,,,,,0,340533,0,0.20363,0.06163,0,0,0
3,10,34,140.00000,-6.12836,5.14230,nocursor,0,False,,,,,1,340538,5,0.16661,0.06163,0,0,0
3,10,34,140.00000,-6.12836,5.14230,nocursor,0,False,,,,,1,340553,20,0.16661,0.06163,0,0,0
3,10,34,140.00000,-6.12836,5.14230,nocursor,0,False,,,,,1,340570,37,0.14810,0.04109,0,0,0
3,10,34,140.00000,-6.12836,5.14230,nocursor,0,False,,,,,1,340587,54,0.11107,0.04109,0,0,0
3,10,34,140.00000,-6.12836,5.14230,nocursor,0,False,,,,,1,340604,71,0.07405,0.02054,0,0,0
3,10,34,140.00000,-6.12836,5.14230,nocursor,0,False,,,,,1,340621,88,0.03702,0.02054,0,0,0
3,10,34,140.00000,-6.12836,5.14230,nocursor,0,False,,,,,1,340637,104,0.03702,0.02054,0,0,0
3,10,34,140.00000,-6.12836,5.14230,nocursor,0,False,,,,,1,340654,121,0.01851,0.02054,0,0,0
3,10,34,140.00000,-6.12836,5.14230,nocursor,0,False,,,,,1,340671,138,0.01851,0.02054,0,0,0
3,10,34,140.00000,-6.12836,5.14230,nocursor,0,False,,,,,1,340687,154,0.01851,0.02054,0,0,0
3,10,34,140.00000,-6.12836,5.14230,nocursor,0,False,,,,,1,340704,171,0.01851,0.02054,0,0,0
3,10,34,140.00000,-6.12836,5.14230,nocursor,0,False,,,,,1,340721,188,0.01851,0.02054,0,0,0
3,10,34,140.00000,-6.12836,5.14230,nocursor,0,False,,,,,1,340737,204,0.01851,0.02054,0,0,0
3,10,34,140.00000,-6.12836,5.14230,nocursor,0,False,,,,,1,340754,221,0.01851,0.02054,0,0,0
3,10,34,140.00000,-6.12836,5.14230,nocursor,0,False,,,,,1,340771,238,0.00000,0.02054,0,0,0
3,10,34,140.00000,-6.12836,5.14230,nocursor,0,False,,,,,1,340787,254,0.00000,0.02054,0,0,0
3,10,34,140.00000,-6.12836,5.14230,nocursor,0,False,,,,,1,340804,271,0.00000,0.02054,0,0,0
3,10,34,140.00000,-6.12836,5.14230,nocursor,0,False,,,,,1,340821,288,0.00000,0.02054,0,0,0
3,10,34,140.00000,-6.12836,5.14230,nocursor,0,False,,,,,1,340837,304,0.00000,0.02054,0,0,0
3,10,34,140.00000,-6.12836,5.14230,nocursor,0,False,,,,,1,340854,321,0.00000,0.02054,0,0,0
3,10,34,140.00000,-6.12836,5.14230,nocursor,0,False,,,,,1,340871,338,0.00000,0.02054,0,0,0
3,10,34,140.00000,-6.12836,5.14230,nocursor,0,False,,,,,2,340887,354,0.00000,0.02054,0,0,0
3,10,34,140.00000,-6.12836,5.14230,nocursor,0,False,,,,,2,340904,371,0.00000,0.02054,0,0,0
3,10,34,140.00000,-6.12836,5.14230,nocursor,0,False,,,,,2,340921,388,0.00000,0.02054,0,0,0
3,10,34,140.00000,-6.12836,5.14230,nocursor,0,False,,,,,2,340937,404,0.00000,0.02054,0,0,0
3,10,34,140.00000,-6.12836,5.14230,nocursor,0,False,,,,,2,340954,421,0.00000,0.02054,0,0,0
3,10,34,140.00000,-6.12836,5.14230,nocursor,0,False,,,,,2,340971,438,0.00000,0.02054,0,0,0
3,10,34,140.00000,-6.12836,5.14230,nocursor,0,False,,,,,2,340987,454,0.00000,0.02054,0,0,0
3,10,34,140.00000,-6.12836,5.14230,nocursor,0,False,,,,,2,341004,471,0.00000,0.02054,0,0,0
3,10,34,140.00000,-6.12836,5.14230,nocursor,0,False,,,,,2,341021,488,0.00000,0.02054,0,0,0
3,10,34,140.00000,-6.12836,5.14230,nocursor,0,False,,,,,2,341038,505,0.00000,0.02054,0,0,0
3,10,34,140.00000,-6.12836,5.14230,nocursor,0,False,,,,,2,341054,521,0.00000,0.02054,0,0,0
3,10,34,140.00000,-6.12836,5.14230,nocursor,0,False,,,,,2,341071,538,0.00000,0.00000,0,0,0
3,10,34,140.00000,-6.12836,5.14230,nocursor,0,False,,,,,2,341088,555,0.00000,0.00000,0,0,0
3,10,34,140.00000,-6.12836,5.14230,nocursor,0,False,,,,,2,341104,571,0.00000,0.00000,0,0,0
3,10,34,140.00000,-6.12836,5.14230,nocursor,0,False,,,,,2,341121,588,0.00000,0.00000,0,0,0
3,10,34,140.00000,-6.12836,5.14230,nocursor,0,False,,,,,2,341138,605,0.00000,0.00000,0,0,0
3,10,34,140.00000,-6.12836,5.14230,nocursor,0,False,,,,,2,341154,621,0.00000,0.00000,0,0,0
3,10,34,140.00000,-6.12836,5.14230,nocursor,0,False,,,,,2,341171,638,0.00000,0.00000,0,0,0
3,10,34,140.00000,-6.12836,5.14230,nocursor,0,False,,,,,2,341188,655,0.00000,0.00000,0,0,0
3,10,34,140.00000,-6.12836,5.14230,nocursor,0,False,,,,,2,341204,671,0.00000,0.00000,0,0,0
3,10,34,140.00000,-6.12836,5.14230,nocursor,0,False,,,,,2,341221,688,0.00000,0.00000,0,0,0
3,10,34,140.00000,-6.12836,5.14230,nocursor,0,False,,,,,2,341238,705,0.00000,0.00000,0,0,0
3,10,34,140.00000,-6.12836,5.14230,nocursor,0,False,,,,,2,341254,721,0.00000,0.00000,0,0,0
3,10,34,140.00000,-6.12836,5.14230,nocursor,0,False,,,,,2,341271,738,0.00000,0.00000,0,0,0
3,10,34,140.00000,-6.12836,5.14230,nocursor,0,False,,,,,2,341288,755,0.00000,0.00000,0,0,0
3,10,34,140.00000,-6.12836,5.14230,nocursor,0,False,,,,,2,341304,771,0.05554,0.00000,0,0,0
3,10,34,140.00000,-6.12836,5.14230,nocursor,0,False,,,,,2,341321,788,0.14810,0.02054,0,0,0
3,10,34,140.00000,-6.12836,5.14230,nocursor,0,False,,,,,2,341338,805,0.35173,0.04109,0,0,0
3,10,34,140.00000,-6.12836,5.14230,nocursor,0,False,,,,,2,341354,821,0.68494,0.12326,0,0,0
3,10,34,140.00000,-6.12836,5.14230,nocursor,0,False,,,,,2,341371,838,0.92560,0.18489,0,0,0
3,10,34,140.00000,-6.12836,5.14230,nocursor,0,False,,,,,2,341388,855,1.25881,0.26706,0,0,0
3,10,34,140.00000,-6.12836,5.14230,nocursor,0,False,,,,,2,341404,871,1.55500,0.32869,0,0,0
3,10,34,140.00000,-6.12836,5.14230,nocursor,0,False,,,,,2,341421,888,1.86970,0.36977,0,0,0
3,10,34,140.00000,-6.12836,5.14230,nocursor,0,False,,,,,2,341438,905,2.29548,0.41086,0,0,1
3,10,34,140.00000,-6.12836,5.14230,nocursor,0,False,,,,,2,341455,922,2.59167,0.43140,0,0,0
3,10,34,140.00000,-6.12836,5.14230,nocursor,0,False,,,,,2,341471,938,2.98042,0.47249,0,0,0
3,10,34,140.00000,-6.12836,5.14230,nocursor,0,False,,,,,2,341488,955,3.25810,0.51357,0,0,0
3,10,34,140.00000,-6.12836,5.14230,nocursor,0,False,,,,,2,341504,971,3.53577,0.53412,0,0,0
3,10,34,140.00000,-6.12836,5.14230,nocursor,0,False,,,,,2,341521,988,3.79494,0.55466,0,0,0
3,10,34,140.00000,-6.12836,5.14230,nocursor,0,False,,,,,2,341538,1005,4.14667,0.59575,0,0,0
3,10,34,140.00000,-6.12836,5.14230,nocursor,0,False,,,,,2,341555,1022,4.47988,0.63683,0,0,0
3,10,34,140.00000,-6.12836,5.14230,nocursor,0,False,,,,,2,341572,1039,4.73905,0.67792,0,0,0
3,10,34,140.00000,-6.12836,5.14230,nocursor,0,False,,,,,2,341588,1055,4.96119,0.71900,0,0,0
3,10,34,140.00000,-6.12836,5.14230,nocursor,0,False,,,,,2,341605,1072,5.18333,0.76009,0,0,0
3,10,34,140.00000,-6.12836,5.14230,nocursor,0,False,,,,,2,341621,1088,5.47952,0.78063,0,0,0
3,10,34,140.00000,-6.12836,5.14230,nocursor,0,False,,,,,2,341638,1105,5.68315,0.78063,0,0,0
3,10,34,140.00000,-6.12836,5.14230,nocursor,0,False,,,,,2,341654,1121,5.81274,0.78063,0,0,0
3,10,34,140.00000,-6.12836,5.14230,nocursor,0,False,,,,,2,341671,1138,6.09042,0.76009,0,0,0
