task_idx,trial_idx,cutrial_no,targetangle_deg,targetx_cm,targety_cm,cursortype,rotation_deg,doaiming_bool,aimstart_deg,aim_deg,aimdeviation_deg,aimtime_ms,phase,cutime_ms,time_ms,mousex_cm,mousey_cm,cursorx_cm,cursory_cm,deviation_bool
3,12,36,120.00000,-4.00000,6.92820,nocursor,0,False,,,,,0,308355,0,0.07405,0.16434,0,0,0
3,12,36,120.00000,-4.00000,6.92820,nocursor,0,False,,,,,1,308361,6,0.07405,0.10271,0,0,0
3,12,36,120.00000,-4.00000,6.92820,nocursor,0,False,,,,,1,308372,17,0.07405,0.10271,0,0,0
3,12,36,120.00000,-4.00000,6.92820,nocursor,0,False,,,,,1,308389,34,0.05554,0.06163,0,0,0
3,12,36,120.00000,-4.00000,6.92820,nocursor,0,False,,,,,1,308406,51,0.05554,0.04109,0,0,0
3,12,36,120.00000,-4.00000,6.92820,nocursor,0,False,,,,,1,308422,67,0.05554,0.00000,0,0,0
3,12,36,120.00000,-4.00000,6.92820,nocursor,0,False,,,,,1,308439,84,0.05554,0.00000,0,0,0
3,12,36,120.00000,-4.00000,6.92820,nocursor,0,False,,,,,1,308456,101,0.05554,-0.02054,0,0,0
3,12,36,120.00000,-4.00000,6.92820,nocursor,0,False,,,,,1,308473,118,0.05554,-0.02054,0,0,0
3,12,36,120.00000,-4.00000,6.92820,nocursor,0,False,,,,,1,308489,134,0.05554,-0.02054,0,0,0
3,12,36,120.00000,-4.00000,6.92820,nocursor,0,False,,,,,1,308506,151,0.05554,-0.02054,0,0,0
3,12,36,120.00000,-4.00000,6.92820,nocursor,0,False,,,,,1,308523,168,0.05554,-0.02054,0,0,0
3,12,36,120.00000,-4.00000,6.92820,nocursor,0,False,,,,,1,308539,184,0.05554,-0.02054,0,0,0
3,12,36,120.00000,-4.00000,6.92820,nocursor,0,False,,,,,1,308556,201,0.05554,-0.02054,0,0,0
3,12,36,120.00000,-4.00000,6.92820,nocursor,0,False,,,,,1,308573,218,0.05554,-0.02054,0,0,0
3,12,36,120.00000,-4.00000,6.92820,nocursor,0,False,,,,,1,308589,234,0.05554,-0.02054,0,0,0
3,12,36,120.00000,-4.00000,6.92820,nocursor,0,False,,,,,1,308606,251,0.05554,-0.02054,0,0,0
3,12,36,120.00000,-4.00000,6.92820,nocursor,0,False,,,,,1,308623,268,0.05554,-0.02054,0,0,0
3,12,36,120.00000,-4.00000,6.92820,nocursor,0,False,,,,,1,308640,285,0.05554,-0.02054,0,0,0
3,12,36,120.00000,-4.00000,6.92820,nocursor,0,False,,,,,1,308656,301,0.05554,-0.02054,0,0,0
3,12,36,120.00000,-4.00000,6.92820,nocursor,0,False,,,,,1,308673,318,0.05554,-0.02054,0,0,0
3,12,36,120.00000,-4.00000,6.92820,nocursor,0,False,,,,,1,308690,335,0.05554,-0.02054,0,0,0
3,12,36,120.00000,-4.00000,6.92820,nocursor,0,False,,,,,1,308706,351,0.05554,-0.02054,0,0,0
3,12,36,120.00000,-4.00000,6.92820,nocursor,0,False,,,,,2,308723,368,0.05554,-0.02054,0,0,0
3,12,36,120.00000,-4.00000,6.92820,nocursor,0,False,,,,,2,308740,385,0.05554,-0.02054,0,0,0
3,12,36,120.00000,-4.00000,6.92820,nocursor,0,False,,,,,2,308756,401,0.05554,-0.02054,0,0,0
3,12,36,120.00000,-4.00000,6.92820,nocursor,0,False,,,,,2,308773,418,0.05554,-0.02054,0,0,0
3,12,36,120.00000,-4.00000,6.92820,nocursor,0,False,,,,,2,308789,434,0.05554,-0.02054,0,0,0
3,12,36,120.00000,-4.00000,6.92820,nocursor,0,False,,,,,2,308806,451,0.05554,-0.02054,0,0,0
3,12,36,120.00000,-4.00000,6.92820,nocursor,0,False,,,,,2,308823,468,0.05554,-0.02054,0,0,0
3,12,36,120.00000,-4.00000,6.92820,nocursor,0,False,,,,,2,308840,485,0.05554,-0.02054,0,0,0
3,12,36,120.00000,-4.00000,6.92820,nocursor,0,False,,,,,2,308856,501,0.05554,-0.02054,0,0,0
3,12,36,120.00000,-4.00000,6.92820,nocursor,0,False,,,,,2,308873,518,0.05554,-0.02054,0,0,0
3,12,36,120.00000,-4.00000,6.92820,nocursor,0,False,,,,,2,308890,535,0.05554,-0.02054,0,0,0
3,12,36,120.00000,-4.00000,6.92820,nocursor,0,False,,,,,2,308906,551,0.05554,-0.02054,0,0,0
3,12,36,120.00000,-4.00000,6.92820,nocursor,0,False,,,,,2,308923,568,0.05554,-0.02054,0,0,0
