task_idx,trial_idx,cutrial_no,targetangle_deg,targetx_cm,targety_cm,cursortype,rotation_deg,doaiming_bool,aimstart_deg,aim_deg,aimdeviation_deg,aimtime_ms,phase,cutime_ms,time_ms,mousex_cm,mousey_cm,cursorx_cm,cursory_cm,deviation_bool
12,90,202,140.00000,-6.12836,5.14230,regular,-30,True,130.00000,162.75000,22.75000,2706,0,1751603,0,-0.01851,0.02054,-0.00576,0.02705,0
12,90,202,140.00000,-6.12836,5.14230,regular,-30,True,130.00000,162.75000,22.75000,2706,1,1751620,17,-0.01851,0.02054,-0.00576,0.02705,0
12,90,202,140.00000,-6.12836,5.14230,regular,-30,True,130.00000,162.75000,22.75000,2706,1,1751636,33,-0.01851,0.02054,-0.00576,0.02705,0
12,90,202,140.00000,-6.12836,5.14230,regular,-30,True,130.00000,162.75000,22.75000,2706,1,1751653,50,-0.01851,0.02054,-0.00576,0.02705,0
12,90,202,140.00000,-6.12836,5.14230,regular,-30,True,130.00000,162.75000,22.75000,2706,1,1751670,67,-0.01851,0.02054,-0.00576,0.02705,0
12,90,202,140.00000,-6.12836,5.14230,regular,-30,True,130.00000,162.75000,22.75000,2706,1,1751686,83,-0.01851,0.02054,-0.00576,0.02705,0
12,90,202,140.00000,-6.12836,5.14230,regular,-30,True,130.00000,162.75000,22.75000,2706,1,1751703,100,-0.01851,0.02054,-0.00576,0.02705,0
12,90,202,140.00000,-6.12836,5.14230,regular,-30,True,130.00000,162.75000,22.75000,2706,1,1751720,117,-0.01851,0.02054,-0.00576,0.02705,0
12,90,202,140.00000,-6.12836,5.14230,regular,-30,True,130.00000,162.75000,22.75000,2706,1,1751736,133,-0.01851,0.02054,-0.00576,0.02705,0
12,90,202,140.00000,-6.12836,5.14230,regular,-30,True,130.00000,162.75000,22.75000,2706,1,1751753,150,-0.01851,0.02054,-0.00576,0.02705,0
12,90,202,140.00000,-6.12836,5.14230,regular,-30,True,130.00000,162.75000,22.75000,2706,1,1751770,167,-0.01851,0.02054,-0.00576,0.02705,0
12,90,202,140.00000,-6.12836,5.14230,regular,-30,True,130.00000,162.75000,22.75000,2706,1,1751786,183,-0.01851,0.02054,-0.00576,0.02705,0
12,90,202,140.00000,-6.12836,5.14230,regular,-30,True,130.00000,162.75000,22.75000,2706,1,1751803,200,-0.01851,0.02054,-0.00576,0.02705,0
12,90,202,140.00000,-6.12836,5.14230,regular,-30,True,130.00000,162.75000,22.75000,2706,1,1751820,217,-0.01851,0.02054,-0.00576,0.02705,0
