task_idx,trial_idx,cutrial_no,targetangle_deg,targetx_cm,targety_cm,cursortype,rotation_deg,doaiming_bool,aimstart_deg,aim_deg,aimdeviation_deg,aimtime_ms,phase,cutime_ms,time_ms,mousex_cm,mousey_cm,cursorx_cm,cursory_cm,deviation_bool
12,79,191,140.00000,-6.12836,5.14230,regular,-30,True,130.00000,145.00000,5.00000,1704,0,1917489,0,0.09256,-0.08217,0.03907,-0.11744,0
12,79,191,140.00000,-6.12836,5.14230,regular,-30,True,130.00000,145.00000,5.00000,1704,1,1917506,17,0.09256,-0.08217,0.03907,-0.11744,0
12,79,191,140.00000,-6.12836,5.14230,regular,-30,True,130.00000,145.00000,5.00000,1704,1,1917522,33,0.09256,-0.08217,0.03907,-0.11744,0
12,79,191,140.00000,-6.12836,5.14230,regular,-30,True,130.00000,145.00000,5.00000,1704,1,1917539,50,0.09256,-0.08217,0.03907,-0.11744,0
12,79,191,140.00000,-6.12836,5.14230,regular,-30,True,130.00000,145.00000,5.00000,1704,1,1917556,67,0.09256,-0.08217,0.03907,-0.11744,0
12,79,191,140.00000,-6.12836,5.14230,regular,-30,True,130.00000,145.00000,5.00000,1704,1,1917572,83,0.09256,-0.08217,0.03907,-0.11744,0
12,79,191,140.00000,-6.12836,5.14230,regular,-30,True,130.00000,145.00000,5.00000,1704,1,1917589,100,0.09256,-0.08217,0.03907,-0.11744,0
12,79,191,140.00000,-6.12836,5.14230,regular,-30,True,130.00000,145.00000,5.00000,1704,1,1917606,117,0.09256,-0.08217,0.03907,-0.11744,0
12,79,191,140.00000,-6.12836,5.14230,regular,-30,True,130.00000,145.00000,5.00000,1704,1,1917622,133,0.09256,-0.08217,0.03907,-0.11744,0
12,79,191,140.00000,-6.12836,5.14230,regular,-30,True,130.00000,145.00000,5.00000,1704,1,1917639,150,0.09256,-0.08217,0.03907,-0.11744,0
12,79,191,140.00000,-6.12836,5.14230,regular,-30,True,130.00000,145.00000,5.00000,1704,1,1917656,167,0.09256,-0.08217,0.03907,-0.11744,0
12,79,191,140.00000,-6.12836,5.14230,regular,-30,True,130.00000,145.00000,5.00000,1704,1,1917672,183,0.09256,-0.08217,0.03907,-0.11744,0
12,79,191,140.00000,-6.12836,5.14230,regular,-30,True,130.00000,145.00000,5.00000,1704,1,1917689,200,0.09256,-0.08217,0.03907,-0.11744,0
12,79,191,140.00000,-6.12836,5.14230,regular,-30,True,130.00000,145.00000,5.00000,1704,1,1917706,217,0.09256,-0.08217,0.03907,-0.11744,0
12,79,191,140.00000,-6.12836,5.14230,regular,-30,True,130.00000,145.00000,5.00000,1704,1,1917723,234,0.09256,-0.08217,0.03907,-0.11744,0
12,79,191,140.00000,-6.12836,5.14230,regular,-30,True,130.00000,145.00000,5.00000,1704,1,1917740,251,0.09256,-0.08217,0.03907,-0.11744,0
12,79,191,140.00000,-6.12836,5.14230,regular,-30,True,130.00000,145.00000,5.00000,1704,1,1917756,267,0.09256,-0.08217,0.03907,-0.11744,0
12,79,191,140.00000,-6.12836,5.14230,regular,-30,True,130.00000,145.00000,5.00000,1704,1,1917773,284,0.09256,-0.08217,0.03907,-0.11744,0
12,79,191,140.00000,-6.12836,5.14230,regular,-30,True,130.00000,145.00000,5.00000,1704,1,1917789,300,0.09256,-0.08217,0.03907,-0.11744,0
12,79,191,140.00000,-6.12836,5.14230,regular,-30,True,130.00000,145.00000,5.00000,1704,1,1917806,317,0.09256,-0.08217,0.03907,-0.11744,0
12,79,191,140.00000,-6.12836,5.14230,regular,-30,True,130.00000,145.00000,5.00000,1704,1,1917823,334,0.05554,-0.08217,0.00701,-0.09893,0
12,79,191,140.00000,-6.12836,5.14230,regular,-30,True,130.00000,145.00000,5.00000,1704,1,1917839,350,0.01851,-0.08217,-0.02505,-0.08042,0
12,79,191,140.00000,-6.12836,5.14230,regular,-30,True,130.00000,145.00000,5.00000,1704,2,1917856,367,-0.03702,-0.06163,-0.06288,-0.03486,0
12,79,191,140.00000,-6.12836,5.14230,regular,-30,True,130.00000,145.00000,5.00000,1704,2,1917873,384,-0.12958,-0.02054,-0.12249,0.04700,0
12,79,191,140.00000,-6.12836,5.14230,regular,-30,True,130.00000,145.00000,5.00000,1704,2,1917889,400,-0.20363,0.00000,-0.17635,0.10182,0
12,79,191,140.00000,-6.12836,5.14230,regular,-30,True,130.00000,145.00000,5.00000,1704,2,1917906,417,-0.29619,0.04109,-0.23597,0.18368,0
12,79,191,140.00000,-6.12836,5.14230,regular,-30,True,130.00000,145.00000,5.00000,1704,2,1917923,434,-0.38875,0.08217,-0.29558,0.26554,0
12,79,191,140.00000,-6.12836,5.14230,regular,-30,True,130.00000,145.00000,5.00000,1704,2,1917939,450,-0.46280,0.10271,-0.34944,0.32035,0
12,79,191,140.00000,-6.12836,5.14230,regular,-30,True,130.00000,145.00000,5.00000,1704,2,1917956,467,-0.51833,0.14380,-0.37699,0.38370,0
12,79,191,140.00000,-6.12836,5.14230,regular,-30,True,130.00000,145.00000,5.00000,1704,2,1917973,484,-0.59238,0.16434,-0.43085,0.43852,0
12,79,191,140.00000,-6.12836,5.14230,regular,-30,True,130.00000,145.00000,5.00000,1704,2,1917989,500,-0.64792,0.20543,-0.45840,0.50187,0
12,79,191,140.00000,-6.12836,5.14230,regular,-30,True,130.00000,145.00000,5.00000,1704,2,1918006,517,-0.70345,0.22597,-0.49622,0.54742,0
12,79,191,140.00000,-6.12836,5.14230,regular,-30,True,130.00000,145.00000,5.00000,1704,2,1918023,534,-0.77750,0.24652,-0.55008,0.60224,0
12,79,191,140.00000,-6.12836,5.14230,regular,-30,True,130.00000,145.00000,5.00000,1704,2,1918040,551,-0.83304,0.26706,-0.58790,0.64780,0
12,79,191,140.00000,-6.12836,5.14230,regular,-30,True,130.00000,145.00000,5.00000,1704,2,1918056,567,-0.85155,0.26706,-0.60393,0.65705,0
12,79,191,140.00000,-6.12836,5.14230,regular,-30,True,130.00000,145.00000,5.00000,1704,2,1918073,584,-0.85155,0.26706,-0.60393,0.65705,0
12,79,191,140.00000,-6.12836,5.14230,regular,-30,True,130.00000,145.00000,5.00000,1704,2,1918089,600,-0.85155,0.26706,-0.60393,0.65705,0
12,79,191,140.00000,-6.12836,5.14230,regular,-30,True,130.00000,145.00000,5.00000,1704,2,1918106,617,-0.85155,0.26706,-0.60393,0.65705,0
12,79,191,140.00000,-6.12836,5.14230,regular,-30,True,130.00000,145.00000,5.00000,1704,2,1918123,634,-0.85155,0.26706,-0.60393,0.65705,0
12,79,191,140.00000,-6.12836,5.14230,regular,-30,True,130.00000,145.00000,5.00000,1704,2,1918140,651,-0.85155,0.26706,-0.60393,0.65705,0
12,79,191,140.00000,-6.12836,5.14230,regular,-30,True,130.00000,145.00000,5.00000,1704,2,1918156,667,-0.85155,0.26706,-0.60393,0.65705,0
12,79,191,140.00000,-6.12836,5.14230,regular,-30,True,130.00000,145.00000,5.00000,1704,2,1918173,684,-0.85155,0.26706,-0.60393,0.65705,0
12,79,191,140.00000,-6.12836,5.14230,regular,-30,True,130.00000,145.00000,5.00000,1704,2,1918190,701,-0.85155,0.26706,-0.60393,0.65705,0
