task_idx,trial_idx,cutrial_no,targetangle_deg,targetx_cm,targety_cm,cursortype,rotation_deg,doaiming_bool,aimstart_deg,aim_deg,aimdeviation_deg,aimtime_ms,phase,cutime_ms,time_ms,mousex_cm,mousey_cm,cursorx_cm,cursory_cm,deviation_bool,reachdeviation_deg
2,1,1,100.00000,-1.38919,7.87846,regular,0,True,90.00000,99.75000,-0.25000,6388.00000,2,78640,4953,-0.70345,1.91050,-0.70345,1.91050,1,10.21381
2,2,2,20.00000,7.51754,2.73616,regular,0,True,10.00000,19.75000,-0.25000,4520.00000,2,87564,1134,1.88821,0.82172,1.88821,0.82172,1,3.51794
2,3,3,160.00000,-7.51754,2.73616,regular,0,True,150.00000,159.00000,-1.00000,3122.00000,2,97005,3286,-2.01780,0.67792,-2.01780,0.67792,1,1.42920
2,4,4,40.00000,6.12836,5.14230,regular,0,True,30.00000,38.00000,-2.00000,2934.00000,2,104594,1368,1.74012,1.25312,1.74012,1.25312,1,-4.24105
2,5,5,60.00000,4.00000,6.92820,regular,0,True,50.00000,58.75000,-1.25000,2854.00000,2,111766,934,1.25881,1.62289,1.25881,1.62289,1,-7.79928
2,6,6,80.00000,1.38919,7.87846,regular,0,True,70.00000,79.75000,-0.25000,3053.00000,2,119956,1168,0.53685,2.07484,0.53685,2.07484,1,-4.50673
2,7,7,140.00000,-6.12836,5.14230,regular,0,True,130.00000,139.00000,-1.00000,2986.00000,2,128029,1435,-1.66607,1.25312,-1.66607,1.25312,1,3.05166
2,8,8,120.00000,-4.00000,6.92820,regular,0,True,110.00000,120.00000,0.00000,3021.00000,2,135501,1084,-1.22179,1.82832,-1.22179,1.82832,1,3.75316
2,9,9,140.00000,-6.12836,5.14230,regular,0,True,130.00000,140.00000,0.00000,2856.00000,2,142323,1018,-1.83268,1.15041,-1.83268,1.15041,1,7.88268
2,10,10,40.00000,6.12836,5.14230,regular,0,True,30.00000,39.50000,-0.50000,3958.00000,2,149979,984,1.59202,1.31475,1.59202,1.31475,1,-0.44882
2,11,11,100.00000,-1.38919,7.87846,regular,0,True,90.00000,99.75000,-0.25000,2941.00000,2,157601,2201,-0.27768,2.15701,-0.27768,2.15701,1,-2.66444
2,12,12,160.00000,-7.51754,2.73616,regular,0,True,150.00000,159.75000,-0.25000,3018.00000,2,165357,1151,-1.86970,0.86280,-1.86970,0.86280,1,-4.77164
2,13,13,20.00000,7.51754,2.73616,regular,0,True,10.00000,19.25000,-0.75000,3204.00000,2,172713,1134,1.90673,0.86280,1.90673,0.86280,1,4.34687
2,14,14,80.00000,1.38919,7.87846,regular,0,True,70.00000,79.50000,-0.50000,2673.00000,2,179418,934,0.61089,2.09538,0.61089,2.09538,1,-6.25359
2,15,15,120.00000,-4.00000,6.92820,regular,0,True,110.00000,120.00000,0.00000,2389.00000,2,185706,984,-1.05518,1.84887,-1.05518,1.84887,1,-0.28590
2,16,16,60.00000,4.00000,6.92820,regular,0,True,50.00000,59.50000,-0.50000,2589.00000,2,192027,883,0.99964,1.78724,0.99964,1.78724,1,0.78082
2,17,17,140.00000,-6.12836,5.14230,regular,0,True,130.00000,139.00000,-1.00000,2973.00000,2,198683,1034,-1.61054,1.43801,-1.61054,1.43801,1,-1.76085
2,18,18,20.00000,7.51754,2.73616,regular,0,True,10.00000,19.75000,-0.25000,3656.00000,2,206322,1017,1.96226,0.84226,1.96226,0.84226,1,3.23044
2,19,19,80.00000,1.38919,7.87846,regular,0,True,70.00000,79.75000,-0.25000,2939.00000,2,213294,967,0.49982,2.09538,0.49982,2.09538,1,-3.41630
2,20,20,60.00000,4.00000,6.92820,regular,0,True,50.00000,60.00000,0.00000,2990.00000,2,220032,833,1.07369,1.72561,1.07369,1.72561,1,-1.89024
