task_idx,trial_idx,cutrial_no,targetangle_deg,targetx_cm,targety_cm,cursortype,rotation_deg,doaiming_bool,aimstart_deg,aim_deg,aimdeviation_deg,aimtime_ms,phase,cutime_ms,time_ms,mousex_cm,mousey_cm,cursorx_cm,cursory_cm,deviation_bool
12,33,145,120.00000,-4.00000,6.92820,regular,-30,True,110.00000,119.75000,-0.25000,1452,0,1440640,0,-0.03702,-0.04109,-0.05261,-0.01707,0
12,33,145,120.00000,-4.00000,6.92820,regular,-30,True,110.00000,119.75000,-0.25000,1452,1,1440657,17,-0.03702,-0.04109,-0.05261,-0.01707,0
12,33,145,120.00000,-4.00000,6.92820,regular,-30,True,110.00000,119.75000,-0.25000,1452,1,1440674,34,-0.03702,-0.04109,-0.05261,-0.01707,0
12,33,145,120.00000,-4.00000,6.92820,regular,-30,True,110.00000,119.75000,-0.25000,1452,1,1440690,50,-0.03702,-0.04109,-0.05261,-0.01707,0
12,33,145,120.00000,-4.00000,6.92820,regular,-30,True,110.00000,119.75000,-0.25000,1452,1,1440707,67,-0.03702,-0.04109,-0.05261,-0.01707,0
12,33,145,120.00000,-4.00000,6.92820,regular,-30,True,110.00000,119.75000,-0.25000,1452,1,1440724,84,-0.03702,-0.04109,-0.05261,-0.01707,0
12,33,145,120.00000,-4.00000,6.92820,regular,-30,True,110.00000,119.75000,-0.25000,1452,1,1440741,101,-0.03702,-0.04109,-0.05261,-0.01707,0
12,33,145,120.00000,-4.00000,6.92820,regular,-30,True,110.00000,119.75000,-0.25000,1452,1,1440757,117,-0.03702,-0.04109,-0.05261,-0.01707,0
12,33,145,120.00000,-4.00000,6.92820,regular,-30,True,110.00000,119.75000,-0.25000,1452,1,1440774,134,-0.03702,-0.04109,-0.05261,-0.01707,0
12,33,145,120.00000,-4.00000,6.92820,regular,-30,True,110.00000,119.75000,-0.25000,1452,1,1440790,150,-0.03702,-0.04109,-0.05261,-0.01707,0
12,33,145,120.00000,-4.00000,6.92820,regular,-30,True,110.00000,119.75000,-0.25000,1452,1,1440807,167,-0.03702,-0.04109,-0.05261,-0.01707,0
12,33,145,120.00000,-4.00000,6.92820,regular,-30,True,110.00000,119.75000,-0.25000,1452,1,1440824,184,-0.03702,-0.04109,-0.05261,-0.01707,0
12,33,145,120.00000,-4.00000,6.92820,regular,-30,True,110.00000,119.75000,-0.25000,1452,1,1440841,201,-0.03702,-0.04109,-0.05261,-0.01707,0
12,33,145,120.00000,-4.00000,6.92820,regular,-30,True,110.00000,119.75000,-0.25000,1452,1,1440857,217,-0.03702,-0.04109,-0.05261,-0.01707,0
12,33,145,120.00000,-4.00000,6.92820,regular,-30,True,110.00000,119.75000,-0.25000,1452,1,1440874,234,-0.03702,-0.04109,-0.05261,-0.01707,0
12,33,145,120.00000,-4.00000,6.92820,regular,-30,True,110.00000,119.75000,-0.25000,1452,1,1440891,251,-0.03702,-0.04109,-0.05261,-0.01707,0
12,33,145,120.00000,-4.00000,6.92820,regular,-30,True,110.00000,119.75000,-0.25000,1452,1,1440907,267,-0.03702,-0.04109,-0.05261,-0.01707,0
12,33,145,120.00000,-4.00000,6.92820,regular,-30,True,110.00000,119.75000,-0.25000,1452,1,1440924,284,-0.03702,-0.04109,-0.05261,-0.01707,0
12,33,145,120.00000,-4.00000,6.92820,regular,-30,True,110.00000,119.75000,-0.25000,1452,1,1440941,301,-0.03702,-0.04109,-0.05261,-0.01707,0
12,33,145,120.00000,-4.00000,6.92820,regular,-30,True,110.00000,119.75000,-0.25000,1452,1,1440957,317,-0.03702,-0.04109,-0.05261,-0.01707,0
12,33,145,120.00000,-4.00000,6.92820,regular,-30,True,110.00000,119.75000,-0.25000,1452,1,1440974,334,-0.03702,-0.04109,-0.05261,-0.01707,0
12,33,145,120.00000,-4.00000,6.92820,regular,-30,True,110.00000,119.75000,-0.25000,1452,1,1440991,351,-0.03702,-0.04109,-0.05261,-0.01707,0
12,33,145,120.00000,-4.00000,6.92820,regular,-30,True,110.00000,119.75000,-0.25000,1452,2,1441007,367,-0.03702,-0.04109,-0.05261,-0.01707,0
12,33,145,120.00000,-4.00000,6.92820,regular,-30,True,110.00000,119.75000,-0.25000,1452,2,1441024,384,-0.09256,-0.06163,-0.11097,-0.00709,0
12,33,145,120.00000,-4.00000,6.92820,regular,-30,True,110.00000,119.75000,-0.25000,1452,2,1441041,401,-0.14810,-0.10271,-0.17961,-0.01491,0
12,33,145,120.00000,-4.00000,6.92820,regular,-30,True,110.00000,119.75000,-0.25000,1452,2,1441057,417,-0.20363,-0.12326,-0.23798,-0.00493,0
12,33,145,120.00000,-4.00000,6.92820,regular,-30,True,110.00000,119.75000,-0.25000,1452,2,1441074,434,-0.27768,-0.14380,-0.31238,0.01430,0
12,33,145,120.00000,-4.00000,6.92820,regular,-30,True,110.00000,119.75000,-0.25000,1452,2,1441091,451,-0.31470,-0.16434,-0.35471,0.01503,0
12,33,145,120.00000,-4.00000,6.92820,regular,-30,True,110.00000,119.75000,-0.25000,1452,2,1441107,467,-0.33321,-0.16434,-0.37074,0.02428,0
12,33,145,120.00000,-4.00000,6.92820,regular,-30,True,110.00000,119.75000,-0.25000,1452,2,1441124,484,-0.37024,-0.16434,-0.40281,0.04279,0
12,33,145,120.00000,-4.00000,6.92820,regular,-30,True,110.00000,119.75000,-0.25000,1452,2,1441141,501,-0.38875,-0.16434,-0.41884,0.05205,0
12,33,145,120.00000,-4.00000,6.92820,regular,-30,True,110.00000,119.75000,-0.25000,1452,2,1441157,517,-0.44429,-0.16434,-0.46693,0.07982,0
12,33,145,120.00000,-4.00000,6.92820,regular,-30,True,110.00000,119.75000,-0.25000,1452,2,1441174,534,-0.48131,-0.16434,-0.49900,0.09833,0
12,33,145,120.00000,-4.00000,6.92820,regular,-30,True,110.00000,119.75000,-0.25000,1452,2,1441191,551,-0.51833,-0.16434,-0.53106,0.11684,0
