task_idx,trial_idx,cutrial_no,targetangle_deg,targetx_cm,targety_cm,rotation_deg,doaiming_bool,aimstart_deg,aim_deg,aimdeviation_deg,aimtime_ms,zeroclamped_bool,phase,cutime_ms,time_ms,mousex_cm,mousey_cm,cursorx_cm,cursory_cm,deviation_bool,reachdeviation_deg
2,1,1,140.00000,-6.12836,5.14230,0,True,130.00000,139.75000,-0.25000,12877,False,2,53218,4637,-1.64756,1.27366,-1.64756,1.27366,1,2.29388
2,2,2,40.00000,6.12836,5.14230,0,True,30.00000,40.50000,0.50000,4305,False,2,63692,1234,1.24030,1.66398,1.24030,1.66398,1,13.29983
2,3,3,100.00000,-1.38919,7.87846,0,True,90.00000,100.00000,0.00000,3310,False,2,77987,3870,-0.38875,1.97212,-0.38875,1.97212,1,1.15134
2,4,4,160.00000,-7.51754,2.73616,0,True,150.00000,159.25000,-0.75000,2763,False,2,88328,2268,-1.83268,0.88335,-1.83268,0.88335,1,-5.73402
2,5,5,80.00000,1.38919,7.87846,0,True,70.00000,80.50000,0.50000,3132,False,2,97752,2035,0.27768,2.01321,0.27768,2.01321,1,2.14680
2,6,6,120.00000,-4.00000,6.92820,0,True,110.00000,120.50000,0.50000,4480,False,2,109928,2051,-1.12923,1.78724,-1.12923,1.78724,1,2.28588
2,7,7,20.00000,7.51754,2.73616,0,True,10.00000,19.50000,-0.50000,2800,False,2,119686,2168,1.86970,0.92443,1.86970,0.92443,1,6.30903
2,8,8,60.00000,4.00000,6.92820,0,True,50.00000,60.75000,0.75000,3680,False,2,131361,2435,0.92560,1.88995,0.92560,1.88995,1,3.90677
2,9,9,40.00000,6.12836,5.14230,0,True,30.00000,39.75000,-0.25000,2529,False,2,142670,3002,1.53649,1.35584,1.53649,1.35584,1,1.42605
2,10,10,100.00000,-1.38919,7.87846,0,True,90.00000,100.25000,0.25000,2647,False,2,150977,1485,-0.33321,1.99267,-0.33321,1.99267,1,-0.50695
2,11,11,20.00000,7.51754,2.73616,0,True,10.00000,18.75000,-1.25000,2552,False,2,159433,1651,1.75863,1.17095,1.75863,1.17095,1,13.65690
2,12,12,120.00000,-4.00000,6.92820,0,True,110.00000,119.25000,-0.75000,6286,False,2,172410,1768,-0.42577,2.03375,-0.42577,2.03375,1,-18.17578
2,13,13,140.00000,-6.12836,5.14230,0,True,130.00000,139.25000,-0.75000,2902,False,2,181433,2001,-1.72161,1.10932,-1.72161,1.10932,1,7.20428
2,14,14,160.00000,-7.51754,2.73616,0,True,150.00000,159.50000,-0.50000,3283,False,2,190707,1935,-1.94375,0.57520,-1.94375,0.57520,1,3.51531
2,15,15,60.00000,4.00000,6.92820,0,True,50.00000,60.00000,0.00000,4236,False,2,201749,2802,0.88857,1.84887,0.88857,1.84887,1,4.33098
2,16,16,80.00000,1.38919,7.87846,0,True,70.00000,79.50000,-0.50000,5120,False,2,212007,1551,0.31470,2.15701,0.31470,2.15701,1,1.69932
2,17,17,20.00000,7.51754,2.73616,0,True,10.00000,20.50000,0.50000,3204,False,2,220380,1784,1.68458,1.17095,1.68458,1.17095,1,14.80313
2,18,18,160.00000,-7.51754,2.73616,0,True,150.00000,160.25000,0.25000,2747,False,2,230288,1868,-1.98077,0.71900,-1.98077,0.71900,1,0.04960
2,19,19,80.00000,1.38919,7.87846,0,True,70.00000,80.50000,0.50000,2751,False,2,238027,1684,0.31470,1.99267,0.31470,1.99267,1,1.02547
2,20,20,140.00000,-6.12836,5.14230,0,True,130.00000,140.00000,0.00000,2418,False,2,245183,1068,-1.35137,1.52018,-1.35137,1.52018,1,-8.36438
2,21,21,100.00000,-1.38919,7.87846,0,True,90.00000,101.50000,1.50000,3438,False,2,254056,1601,-0.57387,2.03375,-0.57387,2.03375,1,5.75765
2,22,22,120.00000,-4.00000,6.92820,0,True,110.00000,121.00000,1.00000,4702,False,2,265098,2051,-0.68494,2.07484,-0.68494,2.07484,1,-11.73106
2,23,23,40.00000,6.12836,5.14230,0,True,30.00000,40.25000,0.25000,2616,False,2,273021,1601,1.14774,1.66398,1.14774,1.66398,1,15.40380
2,24,24,60.00000,4.00000,6.92820,0,True,50.00000,60.00000,0.00000,2136,False,2,280527,1985,1.20327,1.72561,1.20327,1.72561,1,-4.88811
3,1,25,160.00000,-7.51754,2.73616,0,True,150.00000,160.75000,0.75000,2419,False,2,287015,1051,-1.85119,0.96552,-1.94495,0.70791,1,-7.54507
3,2,26,100.00000,-1.38919,7.87846,0,True,90.00000,101.00000,1.00000,2554,False,2,294404,1501,-0.55536,2.01321,-0.36103,2.04748,1,5.42194
3,3,27,120.00000,-4.00000,6.92820,0,True,110.00000,121.00000,1.00000,2954,False,2,301576,1251,-0.61089,2.05430,-1.04226,1.80525,1,-13.43903
3,4,28,80.00000,1.38919,7.87846,0,True,70.00000,80.50000,0.50000,2654,False,2,309349,1685,-0.03702,2.09538,0.35722,2.02587,1,11.01216
3,5,29,40.00000,6.12836,5.14230,0,True,30.00000,38.50000,-1.50000,6509,False,2,319223,884,1.29583,1.97212,1.73151,1.45291,1,16.69210
3,6,30,140.00000,-6.12836,5.14230,0,True,130.00000,140.50000,0.50000,2324,False,2,325561,1067,-1.44393,1.54072,-1.60599,1.34759,1,-6.85741
