task_idx,trial_idx,cutrial_no,targetangle_deg,targetx_cm,targety_cm,rotation_deg,doaiming_bool,aimstart_deg,aim_deg,aimdeviation_deg,aimtime_ms,zeroclamped_bool,phase,cutime_ms,time_ms,mousex_cm,mousey_cm,cursorx_cm,cursory_cm,deviation_bool
2,13,13,100.00000,-1.38919,7.87846,0,True,90.00000,99.50000,-0.50000,2539,False,0,146934,0,0.03702,0.02054,0.03702,0.02054,0
2,13,13,100.00000,-1.38919,7.87846,0,True,90.00000,99.50000,-0.50000,2539,False,1,146951,17,0.03702,0.02054,0.03702,0.02054,0
2,13,13,100.00000,-1.38919,7.87846,0,True,90.00000,99.50000,-0.50000,2539,False,1,146968,34,0.03702,0.02054,0.03702,0.02054,0
2,13,13,100.00000,-1.38919,7.87846,0,True,90.00000,99.50000,-0.50000,2539,False,1,146984,50,0.03702,0.02054,0.03702,0.02054,0
2,13,13,100.00000,-1.38919,7.87846,0,True,90.00000,99.50000,-0.50000,2539,False,1,147001,67,0.03702,0.02054,0.03702,0.02054,0
2,13,13,100.00000,-1.38919,7.87846,0,True,90.00000,99.50000,-0.50000,2539,False,1,147018,84,0.03702,0.02054,0.03702,0.02054,0
2,13,13,100.00000,-1.38919,7.87846,0,True,90.00000,99.50000,-0.50000,2539,False,1,147034,100,0.03702,0.02054,0.03702,0.02054,0
2,13,13,100.00000,-1.38919,7.87846,0,True,90.00000,99.50000,-0.50000,2539,False,1,147051,117,0.03702,0.02054,0.03702,0.02054,0
2,13,13,100.00000,-1.38919,7.87846,0,True,90.00000,99.50000,-0.50000,2539,False,1,147068,134,0.03702,0.02054,0.03702,0.02054,0
2,13,13,100.00000,-1.38919,7.87846,0,True,90.00000,99.50000,-0.50000,2539,False,1,147084,150,0.03702,0.02054,0.03702,0.02054,0
2,13,13,100.00000,-1.38919,7.87846,0,True,90.00000,99.50000,-0.50000,2539,False,1,147101,167,0.03702,0.02054,0.03702,0.02054,0
2,13,13,100.00000,-1.38919,7.87846,0,True,90.00000,99.50000,-0.50000,2539,False,1,147118,184,0.03702,0.02054,0.03702,0.02054,0
2,13,13,100.00000,-1.38919,7.87846,0,True,90.00000,99.50000,-0.50000,2539,False,1,147134,200,0.03702,0.02054,0.03702,0.02054,0
2,13,13,100.00000,-1.38919,7.87846,0,True,90.00000,99.50000,-0.50000,2539,False,1,147151,217,0.03702,0.02054,0.03702,0.02054,0
2,13,13,100.00000,-1.38919,7.87846,0,True,90.00000,99.50000,-0.50000,2539,False,1,147168,234,0.03702,0.02054,0.03702,0.02054,0
2,13,13,100.00000,-1.38919,7.87846,0,True,90.00000,99.50000,-0.50000,2539,False,1,147184,250,0.03702,0.02054,0.03702,0.02054,0
2,13,13,100.00000,-1.38919,7.87846,0,True,90.00000,99.50000,-0.50000,2539,False,1,147201,267,0.03702,0.02054,0.03702,0.02054,0
2,13,13,100.00000,-1.38919,7.87846,0,True,90.00000,99.50000,-0.50000,2539,False,1,147218,284,0.03702,0.02054,0.03702,0.02054,0
2,13,13,100.00000,-1.38919,7.87846,0,True,90.00000,99.50000,-0.50000,2539,False,1,147234,300,0.03702,0.02054,0.03702,0.02054,0
2,13,13,100.00000,-1.38919,7.87846,0,True,90.00000,99.50000,-0.50000,2539,False,1,147251,317,0.03702,0.02054,0.03702,0.02054,0
2,13,13,100.00000,-1.38919,7.87846,0,True,90.00000,99.50000,-0.50000,2539,False,1,147268,334,0.03702,0.02054,0.03702,0.02054,0
2,13,13,100.00000,-1.38919,7.87846,0,True,90.00000,99.50000,-0.50000,2539,False,1,147285,351,0.03702,0.02054,0.03702,0.02054,0
2,13,13,100.00000,-1.38919,7.87846,0,True,90.00000,99.50000,-0.50000,2539,False,2,147301,367,0.03702,0.02054,0.03702,0.02054,0
2,13,13,100.00000,-1.38919,7.87846,0,True,90.00000,99.50000,-0.50000,2539,False,2,147318,384,0.03702,0.02054,0.03702,0.02054,0
