task_idx,trial_idx,cutrial_no,targetangle_deg,targetx_cm,targety_cm,rotation_deg,doaiming_bool,aimstart_deg,aim_deg,aimdeviation_deg,aimtime_ms,zeroclamped_bool,phase,cutime_ms,time_ms,mousex_cm,mousey_cm,cursorx_cm,cursory_cm,deviation_bool
3,8,32,80.00000,1.38919,7.87846,0,True,70.00000,79.75000,-0.25000,3093,False,0,302399,0,-0.35173,-0.30814,-0.06330,-0.35900,0
3,8,32,80.00000,1.38919,7.87846,0,True,70.00000,79.75000,-0.25000,3093,False,0,302416,17,-0.35173,-0.32869,-0.06681,-0.37892,0
3,8,32,80.00000,1.38919,7.87846,0,True,70.00000,79.75000,-0.25000,3093,False,0,302432,33,-0.35173,-0.32869,-0.06681,-0.37892,0
3,8,32,80.00000,1.38919,7.87846,0,True,70.00000,79.75000,-0.25000,3093,False,0,302449,50,-0.35173,-0.32869,-0.06681,-0.37892,0
3,8,32,80.00000,1.38919,7.87846,0,True,70.00000,79.75000,-0.25000,3093,False,0,302466,67,-0.35173,-0.32869,-0.06681,-0.37892,0
3,8,32,80.00000,1.38919,7.87846,0,True,70.00000,79.75000,-0.25000,3093,False,0,302482,83,-0.35173,-0.32869,-0.06681,-0.37892,0
3,8,32,80.00000,1.38919,7.87846,0,True,70.00000,79.75000,-0.25000,3093,False,0,302499,100,-0.35173,-0.32869,-0.06681,-0.37892,0
3,8,32,80.00000,1.38919,7.87846,0,True,70.00000,79.75000,-0.25000,3093,False,0,302516,117,-0.37024,-0.32869,-0.06737,-0.38209,0
3,8,32,80.00000,1.38919,7.87846,0,True,70.00000,79.75000,-0.25000,3093,False,0,302532,133,-0.37024,-0.32869,-0.06737,-0.38209,0
3,8,32,80.00000,1.38919,7.87846,0,True,70.00000,79.75000,-0.25000,3093,False,0,302549,150,-0.37024,-0.32869,-0.06737,-0.38209,0
3,8,32,80.00000,1.38919,7.87846,0,True,70.00000,79.75000,-0.25000,3093,False,0,302566,167,-0.37024,-0.32869,-0.06737,-0.38209,0
3,8,32,80.00000,1.38919,7.87846,0,True,70.00000,79.75000,-0.25000,3093,False,0,302583,184,-0.37024,-0.32869,-0.06737,-0.38209,0
3,8,32,80.00000,1.38919,7.87846,0,True,70.00000,79.75000,-0.25000,3093,False,0,302599,200,-0.37024,-0.32869,-0.06737,-0.38209,0
3,8,32,80.00000,1.38919,7.87846,0,True,70.00000,79.75000,-0.25000,3093,False,0,302616,217,-0.37024,-0.32869,-0.06737,-0.38209,0
3,8,32,80.00000,1.38919,7.87846,0,True,70.00000,79.75000,-0.25000,3093,False,0,302633,234,-0.37024,-0.32869,-0.06737,-0.38209,0
3,8,32,80.00000,1.38919,7.87846,0,True,70.00000,79.75000,-0.25000,3093,False,0,302649,250,-0.37024,-0.32869,-0.06737,-0.38209,0
3,8,32,80.00000,1.38919,7.87846,0,True,70.00000,79.75000,-0.25000,3093,False,0,302666,267,-0.37024,-0.32869,-0.06737,-0.38209,0
3,8,32,80.00000,1.38919,7.87846,0,True,70.00000,79.75000,-0.25000,3093,False,0,302683,284,-0.37024,-0.32869,-0.06737,-0.38209,0
3,8,32,80.00000,1.38919,7.87846,0,True,70.00000,79.75000,-0.25000,3093,False,0,302699,300,-0.37024,-0.32869,-0.06737,-0.38209,0
3,8,32,80.00000,1.38919,7.87846,0,True,70.00000,79.75000,-0.25000,3093,False,0,302716,317,-0.37024,-0.32869,-0.06737,-0.38209,0
