task_idx,trial_idx,cutrial_no,targetangle_deg,targetx_cm,targety_cm,rotation_deg,doaiming_bool,aimstart_deg,aim_deg,aimdeviation_deg,aimtime_ms,zeroclamped_bool,phase,cutime_ms,time_ms,mousex_cm,mousey_cm,cursorx_cm,cursory_cm,deviation_bool,reachdeviation_deg
2,1,1,140.00000,-6.12836,5.14230,0,True,130.00000,139.75000,-0.25000,7589,False,2,43159,2786,-1.79565,1.27366,-1.79565,1.27366,1,4.65181
2,2,2,160.00000,-7.51754,2.73616,0,True,150.00000,159.75000,-0.25000,4175,False,2,51281,1350,-2.18440,0.65737,-2.18440,0.65737,1,3.25144
2,3,3,120.00000,-4.00000,6.92820,0,True,110.00000,119.75000,-0.25000,4168,False,2,61206,1385,-1.35137,1.64344,-1.35137,1.64344,1,9.42982
2,4,4,80.00000,1.38919,7.87846,0,True,70.00000,80.25000,0.25000,5171,False,2,71547,2352,0.49982,2.07484,0.49982,2.07484,1,-3.54425
2,5,5,40.00000,6.12836,5.14230,0,True,30.00000,39.25000,-0.75000,3069,False,2,77751,867,1.85119,1.37638,1.85119,1.37638,1,-3.36879
2,6,6,100.00000,-1.38919,7.87846,0,True,90.00000,99.75000,-0.25000,2679,False,2,82822,867,-0.59238,2.32135,-0.59238,2.32135,1,4.31565
2,7,7,60.00000,4.00000,6.92820,0,True,50.00000,58.50000,-1.50000,2005,False,2,89076,817,1.38839,1.68452,1.38839,1.68452,1,-9.49552
2,8,8,20.00000,7.51754,2.73616,0,True,10.00000,19.75000,-0.25000,2260,False,2,94480,1167,1.83268,0.84226,1.83268,0.84226,1,4.68249
2,9,9,80.00000,1.38919,7.87846,0,True,70.00000,79.25000,-0.75000,2090,False,2,99784,833,0.64792,2.11593,0.64792,2.11593,1,-7.02514
2,10,10,160.00000,-7.51754,2.73616,0,True,150.00000,159.25000,-0.75000,2425,False,2,106073,1518,-2.01780,0.78063,-2.01780,0.78063,1,-1.15005
2,11,11,40.00000,6.12836,5.14230,0,True,30.00000,38.50000,-1.50000,2121,False,2,111994,1184,1.83268,1.39692,1.83268,1.39692,1,-2.68434
2,12,12,120.00000,-4.00000,6.92820,0,True,110.00000,120.75000,0.75000,2493,False,2,117281,800,-1.12923,1.84887,-1.12923,1.84887,1,1.41524
2,13,13,140.00000,-6.12836,5.14230,0,True,130.00000,139.25000,-0.75000,2441,False,2,123669,1217,-1.64756,1.47909,-1.64756,1.47909,1,-1.91577
