task_idx,trial_idx,cutrial_no,targetangle_deg,targetx_cm,targety_cm,cursortype,rotation_deg,doaiming_bool,aimstart_deg,aim_deg,aimdeviation_deg,aimtime_ms,phase,cutime_ms,time_ms,mousex_cm,mousey_cm,cursorx_cm,cursory_cm,deviation_bool
2,9,9,120.00000,-4.00000,6.92820,regular,0,True,110.00000,119.50000,-0.50000,2336,0,174549,0,-0.12958,-0.02054,-0.12958,-0.02054,0
2,9,9,120.00000,-4.00000,6.92820,regular,0,True,110.00000,119.50000,-0.50000,2336,1,174566,17,-0.12958,-0.02054,-0.12958,-0.02054,0
2,9,9,120.00000,-4.00000,6.92820,regular,0,True,110.00000,119.50000,-0.50000,2336,1,174582,33,-0.12958,-0.02054,-0.12958,-0.02054,0
2,9,9,120.00000,-4.00000,6.92820,regular,0,True,110.00000,119.50000,-0.50000,2336,1,174599,50,-0.12958,-0.02054,-0.12958,-0.02054,0
2,9,9,120.00000,-4.00000,6.92820,regular,0,True,110.00000,119.50000,-0.50000,2336,1,174616,67,-0.12958,-0.02054,-0.12958,-0.02054,0
2,9,9,120.00000,-4.00000,6.92820,regular,0,True,110.00000,119.50000,-0.50000,2336,1,174632,83,-0.12958,-0.02054,-0.12958,-0.02054,0
2,9,9,120.00000,-4.00000,6.92820,regular,0,True,110.00000,119.50000,-0.50000,2336,1,174649,100,-0.12958,-0.02054,-0.12958,-0.02054,0
2,9,9,120.00000,-4.00000,6.92820,regular,0,True,110.00000,119.50000,-0.50000,2336,1,174666,117,-0.12958,-0.02054,-0.12958,-0.02054,0
2,9,9,120.00000,-4.00000,6.92820,regular,0,True,110.00000,119.50000,-0.50000,2336,1,174682,133,-0.12958,-0.02054,-0.12958,-0.02054,0
2,9,9,120.00000,-4.00000,6.92820,regular,0,True,110.00000,119.50000,-0.50000,2336,1,174699,150,-0.12958,-0.02054,-0.12958,-0.02054,0
2,9,9,120.00000,-4.00000,6.92820,regular,0,True,110.00000,119.50000,-0.50000,2336,1,174716,167,-0.12958,-0.02054,-0.12958,-0.02054,0
2,9,9,120.00000,-4.00000,6.92820,regular,0,True,110.00000,119.50000,-0.50000,2336,1,174733,184,-0.12958,-0.02054,-0.12958,-0.02054,0
2,9,9,120.00000,-4.00000,6.92820,regular,0,True,110.00000,119.50000,-0.50000,2336,1,174749,200,-0.12958,-0.02054,-0.12958,-0.02054,0
2,9,9,120.00000,-4.00000,6.92820,regular,0,True,110.00000,119.50000,-0.50000,2336,1,174766,217,-0.12958,-0.02054,-0.12958,-0.02054,0
2,9,9,120.00000,-4.00000,6.92820,regular,0,True,110.00000,119.50000,-0.50000,2336,1,174782,233,-0.12958,-0.02054,-0.12958,-0.02054,0
2,9,9,120.00000,-4.00000,6.92820,regular,0,True,110.00000,119.50000,-0.50000,2336,1,174799,250,-0.12958,-0.02054,-0.12958,-0.02054,0
