task_idx,trial_idx,cutrial_no,targetangle_deg,targetx_cm,targety_cm,rotation_deg,doaiming_bool,aimstart_deg,aim_deg,aimdeviation_deg,aimtime_ms,zeroclamped_bool,phase,cutime_ms,time_ms,mousex_cm,mousey_cm,cursorx_cm,cursory_cm,deviation_bool
8,78,166,40.00000,6.12836,5.14230,-40,True,30.00000,42.75000,2.75000,1746,False,0,1500147,0,-0.07405,-0.12326,-0.13595,-0.04682,0
8,78,166,40.00000,6.12836,5.14230,-40,True,30.00000,42.75000,2.75000,1746,False,1,1500164,17,-0.07405,-0.12326,-0.13595,-0.04682,0
8,78,166,40.00000,6.12836,5.14230,-40,True,30.00000,42.75000,2.75000,1746,False,1,1500180,33,-0.07405,-0.12326,-0.13595,-0.04682,0
8,78,166,40.00000,6.12836,5.14230,-40,True,30.00000,42.75000,2.75000,1746,False,1,1500197,50,-0.07405,-0.12326,-0.13595,-0.04682,0
8,78,166,40.00000,6.12836,5.14230,-40,True,30.00000,42.75000,2.75000,1746,False,1,1500214,67,-0.07405,-0.12326,-0.13595,-0.04682,0
8,78,166,40.00000,6.12836,5.14230,-40,True,30.00000,42.75000,2.75000,1746,False,1,1500230,83,-0.07405,-0.12326,-0.13595,-0.04682,0
8,78,166,40.00000,6.12836,5.14230,-40,True,30.00000,42.75000,2.75000,1746,False,1,1500247,100,-0.07405,-0.12326,-0.13595,-0.04682,0
8,78,166,40.00000,6.12836,5.14230,-40,True,30.00000,42.75000,2.75000,1746,False,1,1500264,117,-0.07405,-0.12326,-0.13595,-0.04682,0
8,78,166,40.00000,6.12836,5.14230,-40,True,30.00000,42.75000,2.75000,1746,False,1,1500280,133,-0.07405,-0.12326,-0.13595,-0.04682,0
8,78,166,40.00000,6.12836,5.14230,-40,True,30.00000,42.75000,2.75000,1746,False,1,1500297,150,-0.07405,-0.12326,-0.13595,-0.04682,0
8,78,166,40.00000,6.12836,5.14230,-40,True,30.00000,42.75000,2.75000,1746,False,1,1500314,167,-0.07405,-0.12326,-0.13595,-0.04682,0
8,78,166,40.00000,6.12836,5.14230,-40,True,30.00000,42.75000,2.75000,1746,False,1,1500331,184,-0.07405,-0.12326,-0.13595,-0.04682,0
8,78,166,40.00000,6.12836,5.14230,-40,True,30.00000,42.75000,2.75000,1746,False,1,1500347,200,-0.07405,-0.12326,-0.13595,-0.04682,0
8,78,166,40.00000,6.12836,5.14230,-40,True,30.00000,42.75000,2.75000,1746,False,1,1500364,217,-0.07405,-0.12326,-0.13595,-0.04682,0
8,78,166,40.00000,6.12836,5.14230,-40,True,30.00000,42.75000,2.75000,1746,False,1,1500381,234,-0.07405,-0.12326,-0.13595,-0.04682,0
8,78,166,40.00000,6.12836,5.14230,-40,True,30.00000,42.75000,2.75000,1746,False,1,1500397,250,-0.07405,-0.12326,-0.13595,-0.04682,0
8,78,166,40.00000,6.12836,5.14230,-40,True,30.00000,42.75000,2.75000,1746,False,1,1500414,267,-0.07405,-0.12326,-0.13595,-0.04682,0
8,78,166,40.00000,6.12836,5.14230,-40,True,30.00000,42.75000,2.75000,1746,False,1,1500431,284,-0.07405,-0.12326,-0.13595,-0.04682,0
8,78,166,40.00000,6.12836,5.14230,-40,True,30.00000,42.75000,2.75000,1746,False,1,1500447,300,-0.07405,-0.12326,-0.13595,-0.04682,0
8,78,166,40.00000,6.12836,5.14230,-40,True,30.00000,42.75000,2.75000,1746,False,1,1500464,317,-0.07405,-0.12326,-0.13595,-0.04682,0
8,78,166,40.00000,6.12836,5.14230,-40,True,30.00000,42.75000,2.75000,1746,False,1,1500480,333,-0.07405,-0.12326,-0.13595,-0.04682,0
8,78,166,40.00000,6.12836,5.14230,-40,True,30.00000,42.75000,2.75000,1746,False,1,1500497,350,-0.07405,-0.10271,-0.12275,-0.03109,0
8,78,166,40.00000,6.12836,5.14230,-40,True,30.00000,42.75000,2.75000,1746,False,2,1500514,367,-0.07405,-0.10271,-0.12275,-0.03109,0
8,78,166,40.00000,6.12836,5.14230,-40,True,30.00000,42.75000,2.75000,1746,False,2,1500531,384,-0.07405,-0.08217,-0.10954,-0.01535,0
