task_idx,trial_idx,cutrial_no,targetangle_deg,targetx_cm,targety_cm,cursortype,rotation_deg,doaiming_bool,aimstart_deg,aim_deg,aimdeviation_deg,aimtime_ms,phase,cutime_ms,time_ms,mousex_cm,mousey_cm,cursorx_cm,cursory_cm,deviation_bool,reachdeviation_deg
2,1,1,120.00000,-4.00000,6.92820,regular,0,True,110.00000,120.75000,0.75000,12542.00000,2,111937,13595,-1.33286,1.62289,-1.33286,1.62289,1,9.39585
2,2,2,140.00000,-6.12836,5.14230,regular,0,True,130.00000,139.00000,-1.00000,5441.00000,2,121527,1801,-1.75863,1.23258,-1.75863,1.23258,1,4.97434
2,3,3,80.00000,1.38919,7.87846,regular,0,True,70.00000,79.75000,-0.25000,4071.00000,2,129667,1401,0.24065,2.17755,0.24065,2.17755,1,3.69360
2,4,4,60.00000,4.00000,6.92820,regular,0,True,50.00000,58.75000,-1.25000,3623.00000,2,137190,1618,1.22179,1.76669,1.22179,1.76669,1,-4.66658
2,5,5,160.00000,-7.51754,2.73616,regular,0,True,150.00000,159.50000,-0.50000,3289.00000,2,144245,1184,-1.94375,0.76009,-1.94375,0.76009,1,-1.35764
2,6,6,20.00000,7.51754,2.73616,regular,0,True,10.00000,18.50000,-1.50000,3503.00000,2,153252,1235,1.96226,0.69846,1.96226,0.69846,1,-0.40698
2,7,7,100.00000,-1.38919,7.87846,regular,0,True,90.00000,101.75000,1.75000,3486.00000,2,161825,1101,-0.38875,2.03375,-0.38875,2.03375,1,0.82151
2,8,8,40.00000,6.12836,5.14230,regular,0,True,30.00000,37.50000,-2.50000,3292.00000,2,168647,1101,1.62905,1.49964,1.62905,1.49964,1,2.63146
2,9,9,120.00000,-4.00000,6.92820,regular,0,True,110.00000,121.50000,1.50000,4121.00000,2,177103,967,-1.12923,1.76669,-1.12923,1.76669,1,2.58583
2,10,10,60.00000,4.00000,6.92820,regular,0,True,50.00000,59.50000,-0.50000,3103.00000,2,183892,850,1.18476,1.70507,1.18476,1.70507,1,-4.79333
2,11,11,160.00000,-7.51754,2.73616,regular,0,True,150.00000,158.75000,-1.25000,2408.00000,2,189713,967,-1.83268,0.92443,-1.83268,0.92443,1,-6.76703
2,12,12,40.00000,6.12836,5.14230,regular,0,True,30.00000,37.75000,-2.25000,2263.00000,2,199287,784,1.49946,1.43801,1.49946,1.43801,1,3.80158
2,13,13,140.00000,-6.12836,5.14230,regular,0,True,130.00000,140.00000,0.00000,2342.00000,2,204658,784,-1.62905,1.37638,-1.62905,1.37638,1,-0.19438
2,14,14,100.00000,-1.38919,7.87846,regular,0,True,90.00000,101.50000,1.50000,2793.00000,2,210712,666,-0.72196,1.99267,-0.72196,1.99267,1,9.91585
2,15,15,20.00000,7.51754,2.73616,regular,0,True,10.00000,21.25000,1.25000,2360.00000,2,217184,2085,1.83268,0.92443,1.83268,0.92443,1,6.76703
2,16,16,80.00000,1.38919,7.87846,regular,0,True,70.00000,80.50000,0.50000,2283.00000,2,223873,751,0.68494,1.88995,0.68494,1.88995,1,-9.92111
2,17,17,60.00000,4.00000,6.92820,regular,0,True,50.00000,61.00000,1.00000,2625.00000,2,229494,868,1.07369,1.74615,1.07369,1.74615,1,-1.58694
2,18,18,100.00000,-1.38919,7.87846,regular,0,True,90.00000,99.50000,-0.50000,2124.00000,2,234848,634,-0.55536,1.99267,-0.55536,1.99267,1,5.57323
2,19,19,160.00000,-7.51754,2.73616,regular,0,True,150.00000,159.00000,-1.00000,2007.00000,2,242337,2719,-1.96226,0.43140,-1.96226,0.43140,1,7.60086
2,20,20,40.00000,6.12836,5.14230,regular,0,True,30.00000,37.50000,-2.50000,1970.00000,2,248108,1735,1.49946,1.43801,1.49946,1.43801,1,3.80158
2,21,21,80.00000,1.38919,7.87846,regular,0,True,70.00000,78.75000,-1.25000,2289.00000,2,253612,850,0.46280,1.97212,0.46280,1.97212,1,-3.20670
2,22,22,20.00000,7.51754,2.73616,regular,0,True,10.00000,19.00000,-1.00000,2260.00000,2,258733,901,1.81417,1.00661,1.81417,1.00661,1,9.02413
2,23,23,120.00000,-4.00000,6.92820,regular,0,True,110.00000,121.75000,1.75000,2209.00000,2,263987,717,-1.20327,1.72561,-1.20327,1.72561,1,4.88811
2,24,24,140.00000,-6.12836,5.14230,regular,0,True,130.00000,140.25000,0.25000,2308.00000,2,269358,834,-1.86970,1.31475,-1.86970,1.31475,1,4.88559
3,1,25,100.00000,-1.38919,7.87846,nocursor,0,False,,,,,2,309872,3102,-0.22214,2.03375,0.00000,0.00000,1,-3.76648
3,2,26,40.00000,6.12836,5.14230,nocursor,0,False,,,,,2,314976,1372,1.36988,1.52018,0.00000,0.00000,1,7.97703
3,3,27,60.00000,4.00000,6.92820,nocursor,0,False,,,,,2,323799,1686,1.05518,1.76669,0.00000,0.00000,1,-0.84834
