task_idx,trial_idx,cutrial_no,targetangle_deg,targetx_cm,targety_cm,cursortype,rotation_deg,doaiming_bool,aimstart_deg,aim_deg,aimdeviation_deg,aimtime_ms,phase,cutime_ms,time_ms,mousex_cm,mousey_cm,cursorx_cm,cursory_cm,deviation_bool
12,60,172,80.00000,1.38919,7.87846,regular,-40,True,70.00000,79.50000,-0.50000,1760,0,1362666,0,0.01851,0.08217,0.06700,0.05105,0
12,60,172,80.00000,1.38919,7.87846,regular,-40,True,70.00000,79.50000,-0.50000,1760,1,1362683,17,0.01851,0.08217,0.06700,0.05105,0
12,60,172,80.00000,1.38919,7.87846,regular,-40,True,70.00000,79.50000,-0.50000,1760,1,1362700,34,0.01851,0.08217,0.06700,0.05105,0
12,60,172,80.00000,1.38919,7.87846,regular,-40,True,70.00000,79.50000,-0.50000,1760,1,1362716,50,0.01851,0.08217,0.06700,0.05105,0
12,60,172,80.00000,1.38919,7.87846,regular,-40,True,70.00000,79.50000,-0.50000,1760,1,1362733,67,0.01851,0.08217,0.06700,0.05105,0
12,60,172,80.00000,1.38919,7.87846,regular,-40,True,70.00000,79.50000,-0.50000,1760,1,1362750,84,0.01851,0.08217,0.06700,0.05105,0
12,60,172,80.00000,1.38919,7.87846,regular,-40,True,70.00000,79.50000,-0.50000,1760,1,1362766,100,0.01851,0.08217,0.06700,0.05105,0
12,60,172,80.00000,1.38919,7.87846,regular,-40,True,70.00000,79.50000,-0.50000,1760,1,1362783,117,0.01851,0.08217,0.06700,0.05105,0
12,60,172,80.00000,1.38919,7.87846,regular,-40,True,70.00000,79.50000,-0.50000,1760,1,1362800,134,0.01851,0.08217,0.06700,0.05105,0
12,60,172,80.00000,1.38919,7.87846,regular,-40,True,70.00000,79.50000,-0.50000,1760,1,1362816,150,0.01851,0.08217,0.06700,0.05105,0
12,60,172,80.00000,1.38919,7.87846,regular,-40,True,70.00000,79.50000,-0.50000,1760,1,1362833,167,0.01851,0.08217,0.06700,0.05105,0
12,60,172,80.00000,1.38919,7.87846,regular,-40,True,70.00000,79.50000,-0.50000,1760,1,1362850,184,0.01851,0.08217,0.06700,0.05105,0
12,60,172,80.00000,1.38919,7.87846,regular,-40,True,70.00000,79.50000,-0.50000,1760,1,1362866,200,0.01851,0.08217,0.06700,0.05105,0
12,60,172,80.00000,1.38919,7.87846,regular,-40,True,70.00000,79.50000,-0.50000,1760,1,1362883,217,0.01851,0.08217,0.06700,0.05105,0
12,60,172,80.00000,1.38919,7.87846,regular,-40,True,70.00000,79.50000,-0.50000,1760,1,1362900,234,0.01851,0.08217,0.06700,0.05105,0
12,60,172,80.00000,1.38919,7.87846,regular,-40,True,70.00000,79.50000,-0.50000,1760,1,1362916,250,0.01851,0.08217,0.06700,0.05105,0
12,60,172,80.00000,1.38919,7.87846,regular,-40,True,70.00000,79.50000,-0.50000,1760,1,1362933,267,0.01851,0.08217,0.06700,0.05105,0
12,60,172,80.00000,1.38919,7.87846,regular,-40,True,70.00000,79.50000,-0.50000,1760,1,1362950,284,0.01851,0.08217,0.06700,0.05105,0
12,60,172,80.00000,1.38919,7.87846,regular,-40,True,70.00000,79.50000,-0.50000,1760,1,1362966,300,0.01851,0.08217,0.06700,0.05105,0
12,60,172,80.00000,1.38919,7.87846,regular,-40,True,70.00000,79.50000,-0.50000,1760,1,1362983,317,0.01851,0.08217,0.06700,0.05105,0
12,60,172,80.00000,1.38919,7.87846,regular,-40,True,70.00000,79.50000,-0.50000,1760,1,1363000,334,0.01851,0.08217,0.06700,0.05105,0
12,60,172,80.00000,1.38919,7.87846,regular,-40,True,70.00000,79.50000,-0.50000,1760,1,1363017,351,0.01851,0.08217,0.06700,0.05105,0
12,60,172,80.00000,1.38919,7.87846,regular,-40,True,70.00000,79.50000,-0.50000,1760,2,1363033,367,0.01851,0.08217,0.06700,0.05105,0
12,60,172,80.00000,1.38919,7.87846,regular,-40,True,70.00000,79.50000,-0.50000,1760,2,1363050,384,0.01851,0.10271,0.08020,0.06678,0
12,60,172,80.00000,1.38919,7.87846,regular,-40,True,70.00000,79.50000,-0.50000,1760,2,1363066,400,0.00000,0.14380,0.09243,0.11016,0
12,60,172,80.00000,1.38919,7.87846,regular,-40,True,70.00000,79.50000,-0.50000,1760,2,1363083,417,0.00000,0.18489,0.11884,0.14163,0
