task_idx,trial_idx,cutrial_no,targetangle_deg,targetx_cm,targety_cm,cursortype,rotation_deg,doaiming_bool,aimstart_deg,aim_deg,aimdeviation_deg,aimtime_ms,phase,cutime_ms,time_ms,mousex_cm,mousey_cm,cursorx_cm,cursory_cm,deviation_bool,reachdeviation_deg
2,1,1,20.00000,7.51754,2.73616,regular,0,True,10.00000,19.75000,-0.25000,7472.00000,2,66102,1634,1.96226,0.63683,1.96226,0.63683,1,-2.01973
2,2,2,40.00000,6.12836,5.14230,regular,0,True,30.00000,40.50000,0.50000,5178.00000,2,74775,667,1.57351,1.37638,1.57351,1.37638,1,1.17682
2,3,3,120.00000,-4.00000,6.92820,regular,0,True,110.00000,120.25000,0.25000,3775.00000,2,82815,1685,-1.25881,1.66398,-1.25881,1.66398,1,7.10771
2,4,4,80.00000,1.38919,7.87846,regular,0,True,70.00000,80.00000,0.00000,2755.00000,2,88986,817,0.33321,2.07484,0.33321,2.07484,1,0.87646
2,5,5,140.00000,-6.12836,5.14230,regular,0,True,130.00000,138.75000,-1.25000,2857.00000,2,95158,784,-1.53649,1.31475,-1.53649,1.31475,1,-0.55308
2,6,6,60.00000,4.00000,6.92820,regular,0,True,50.00000,60.00000,0.00000,2589.00000,2,101379,683,0.85155,1.82832,0.85155,1.82832,1,5.02599
2,7,7,160.00000,-7.51754,2.73616,regular,0,True,150.00000,158.25000,-1.75000,2473.00000,2,107451,667,-1.86970,0.80118,-1.86970,0.80118,1,-3.19548
2,8,8,100.00000,-1.38919,7.87846,regular,0,True,90.00000,99.00000,-1.00000,2605.00000,2,113889,751,-0.74048,1.95158,-0.74048,1.95158,1,10.77804
2,9,9,160.00000,-7.51754,2.73616,regular,0,True,150.00000,160.00000,0.00000,2699.00000,2,122295,650,-1.85119,0.86280,-1.85119,0.86280,1,-4.98922
2,10,10,20.00000,7.51754,2.73616,regular,0,True,10.00000,20.25000,0.25000,2792.00000,2,128384,668,1.99929,0.51357,1.99929,0.51357,1,-5.59356
2,11,11,60.00000,4.00000,6.92820,regular,0,True,50.00000,58.00000,-2.00000,5643.00000,2,138508,1401,1.22179,1.88995,1.22179,1.88995,1,-2.88133
2,12,12,120.00000,-4.00000,6.92820,regular,0,True,110.00000,121.00000,1.00000,2974.00000,2,145080,584,-1.25881,1.80778,-1.25881,1.80778,1,4.85062
2,13,13,140.00000,-6.12836,5.14230,regular,0,True,130.00000,140.50000,0.50000,5108.00000,2,157289,3486,-1.66607,1.15041,-1.66607,1.15041,1,5.37519
2,14,14,40.00000,6.12836,5.14230,regular,0,True,30.00000,38.75000,-1.25000,3533.00000,2,165545,2185,1.61054,1.41746,1.61054,1.41746,1,1.35148
2,15,15,100.00000,-1.38919,7.87846,regular,0,True,90.00000,100.75000,0.75000,2388.00000,2,170999,700,-0.25917,2.19810,-0.25917,2.19810,1,-3.27551
2,16,16,80.00000,1.38919,7.87846,regular,0,True,70.00000,81.50000,1.50000,2707.00000,2,179322,2818,0.46280,1.97212,0.46280,1.97212,1,-3.20670
