task_idx,trial_idx,cutrial_no,targetangle_deg,targetx_cm,targety_cm,cursortype,rotation_deg,doaiming_bool,aimstart_deg,aim_deg,aimdeviation_deg,aimtime_ms,phase,cutime_ms,time_ms,mousex_cm,mousey_cm,cursorx_cm,cursory_cm,deviation_bool
12,30,142,120.00000,-4.00000,6.92820,regular,-40,True,110.00000,134.50000,14.50000,2228,0,1170599,0,0.16661,0.04109,0.15404,-0.07562,0
12,30,142,120.00000,-4.00000,6.92820,regular,-40,True,110.00000,134.50000,14.50000,2228,1,1170615,16,0.16661,0.04109,0.15404,-0.07562,0
12,30,142,120.00000,-4.00000,6.92820,regular,-40,True,110.00000,134.50000,14.50000,2228,1,1170632,33,0.16661,0.04109,0.15404,-0.07562,0
12,30,142,120.00000,-4.00000,6.92820,regular,-40,True,110.00000,134.50000,14.50000,2228,1,1170649,50,0.16661,0.04109,0.15404,-0.07562,0
12,30,142,120.00000,-4.00000,6.92820,regular,-40,True,110.00000,134.50000,14.50000,2228,1,1170665,66,0.16661,0.04109,0.15404,-0.07562,0
12,30,142,120.00000,-4.00000,6.92820,regular,-40,True,110.00000,134.50000,14.50000,2228,1,1170682,83,0.16661,0.04109,0.15404,-0.07562,0
12,30,142,120.00000,-4.00000,6.92820,regular,-40,True,110.00000,134.50000,14.50000,2228,1,1170699,100,0.16661,0.04109,0.15404,-0.07562,0
12,30,142,120.00000,-4.00000,6.92820,regular,-40,True,110.00000,134.50000,14.50000,2228,1,1170715,116,0.16661,0.04109,0.15404,-0.07562,0
12,30,142,120.00000,-4.00000,6.92820,regular,-40,True,110.00000,134.50000,14.50000,2228,1,1170732,133,0.16661,0.04109,0.15404,-0.07562,0
12,30,142,120.00000,-4.00000,6.92820,regular,-40,True,110.00000,134.50000,14.50000,2228,1,1170749,150,0.16661,0.04109,0.15404,-0.07562,0
12,30,142,120.00000,-4.00000,6.92820,regular,-40,True,110.00000,134.50000,14.50000,2228,1,1170765,166,0.16661,0.04109,0.15404,-0.07562,0
12,30,142,120.00000,-4.00000,6.92820,regular,-40,True,110.00000,134.50000,14.50000,2228,1,1170782,183,0.16661,0.04109,0.15404,-0.07562,0
12,30,142,120.00000,-4.00000,6.92820,regular,-40,True,110.00000,134.50000,14.50000,2228,1,1170799,200,0.16661,0.04109,0.15404,-0.07562,0
12,30,142,120.00000,-4.00000,6.92820,regular,-40,True,110.00000,134.50000,14.50000,2228,1,1170815,216,0.16661,0.04109,0.15404,-0.07562,0
12,30,142,120.00000,-4.00000,6.92820,regular,-40,True,110.00000,134.50000,14.50000,2228,1,1170832,233,0.16661,0.04109,0.15404,-0.07562,0
12,30,142,120.00000,-4.00000,6.92820,regular,-40,True,110.00000,134.50000,14.50000,2228,1,1170849,250,0.16661,0.04109,0.15404,-0.07562,0
12,30,142,120.00000,-4.00000,6.92820,regular,-40,True,110.00000,134.50000,14.50000,2228,1,1170865,266,0.16661,0.06163,0.16724,-0.05988,0
12,30,142,120.00000,-4.00000,6.92820,regular,-40,True,110.00000,134.50000,14.50000,2228,1,1170882,283,0.16661,0.06163,0.16724,-0.05988,0
12,30,142,120.00000,-4.00000,6.92820,regular,-40,True,110.00000,134.50000,14.50000,2228,1,1170899,300,0.14810,0.06163,0.15306,-0.04798,0
12,30,142,120.00000,-4.00000,6.92820,regular,-40,True,110.00000,134.50000,14.50000,2228,1,1170916,317,0.14810,0.08217,0.16627,-0.03225,0
12,30,142,120.00000,-4.00000,6.92820,regular,-40,True,110.00000,134.50000,14.50000,2228,1,1170932,333,0.09256,0.18489,0.18975,0.08214,0
12,30,142,120.00000,-4.00000,6.92820,regular,-40,True,110.00000,134.50000,14.50000,2228,1,1170949,350,0.05554,0.24652,0.20100,0.15314,0
12,30,142,120.00000,-4.00000,6.92820,regular,-40,True,110.00000,134.50000,14.50000,2228,0,1170965,366,-0.01851,0.34923,0.21030,0.27943,0
12,30,142,120.00000,-4.00000,6.92820,regular,-40,True,110.00000,134.50000,14.50000,2228,0,1170982,383,-0.05554,0.43140,0.23476,0.36617,0
12,30,142,120.00000,-4.00000,6.92820,regular,-40,True,110.00000,134.50000,14.50000,2228,0,1170999,400,-0.12958,0.51357,0.23085,0.47672,0
12,30,142,120.00000,-4.00000,6.92820,regular,-40,True,110.00000,134.50000,14.50000,2228,0,1171016,417,-0.18512,0.55466,0.21472,0.54389,0
12,30,142,120.00000,-4.00000,6.92820,regular,-40,True,110.00000,134.50000,14.50000,2228,0,1171032,433,-0.22214,0.57520,0.19956,0.58342,0
12,30,142,120.00000,-4.00000,6.92820,regular,-40,True,110.00000,134.50000,14.50000,2228,0,1171049,450,-0.24065,0.61629,0.21179,0.62679,0
12,30,142,120.00000,-4.00000,6.92820,regular,-40,True,110.00000,134.50000,14.50000,2228,0,1171066,467,-0.27768,0.63683,0.19663,0.66633,0
