task_idx,trial_idx,cutrial_no,targetangle_deg,targetx_cm,targety_cm,rotation_deg,doaiming_bool,aimstart_deg,aim_deg,aimdeviation_deg,aimtime_ms,zeroclamped_bool,phase,cutime_ms,time_ms,mousex_cm,mousey_cm,cursorx_cm,cursory_cm,deviation_bool,reachdeviation_deg
2,1,1,160.00000,-7.51754,2.73616,0,True,150.00000,159.00000,-1.00000,4570,False,2,35545,2736,-1.92524,0.80118,-1.92524,0.80118,1,-2.59442
2,2,2,120.00000,-4.00000,6.92820,0,True,110.00000,120.50000,0.50000,2411,False,2,41599,1785,-1.40690,1.47909,-1.40690,1.47909,1,13.56711
2,3,3,80.00000,1.38919,7.87846,0,True,70.00000,79.50000,-0.50000,3339,False,2,49038,1768,0.51833,2.03375,0.51833,2.03375,1,-4.29824
2,4,4,100.00000,-1.38919,7.87846,0,True,90.00000,99.50000,-0.50000,1970,False,2,54842,917,0.07405,2.11593,0.07405,2.11593,1,-12.00433
2,5,5,20.00000,7.51754,2.73616,0,True,10.00000,20.00000,0.00000,2268,False,2,60313,1551,2.07333,1.04769,2.07333,1.04769,1,6.80827
2,6,6,140.00000,-6.12836,5.14230,0,True,130.00000,138.75000,-1.25000,2788,False,2,67619,1568,-1.57351,1.39692,-1.57351,1.39692,1,-1.59781
2,7,7,40.00000,6.12836,5.14230,0,True,30.00000,39.00000,-1.00000,1855,False,2,73624,1969,1.62905,1.25312,1.62905,1.25312,1,-2.43131
2,8,8,60.00000,4.00000,6.92820,0,True,50.00000,60.75000,0.75000,1819,False,2,79495,1018,1.33286,1.62289,1.33286,1.62289,1,-9.39585
2,9,9,160.00000,-7.51754,2.73616,0,True,150.00000,159.75000,-0.25000,1656,False,2,84949,951,-1.99929,0.82172,-1.99929,0.82172,1,-2.34295
2,10,10,100.00000,-1.38919,7.87846,0,True,90.00000,100.75000,0.75000,1892,False,2,91087,1534,-0.77750,1.84887,-0.77750,1.84887,1,12.80807
2,11,11,140.00000,-6.12836,5.14230,0,True,130.00000,139.25000,-0.75000,1489,False,2,95924,1218,-1.55500,1.47909,-1.55500,1.47909,1,-3.56681
2,12,12,120.00000,-4.00000,6.92820,0,True,110.00000,119.75000,-0.25000,2007,False,2,101628,1467,-1.31435,1.82832,-1.31435,1.82832,1,5.71175
2,13,13,40.00000,6.12836,5.14230,0,True,30.00000,40.25000,0.25000,1790,False,2,106649,1051,1.70310,1.19149,1.70310,1.19149,1,-5.02334
2,14,14,20.00000,7.51754,2.73616,0,True,10.00000,19.50000,-0.50000,1857,False,2,111703,867,1.98077,0.94498,1.98077,0.94498,1,5.50474
2,15,15,60.00000,4.00000,6.92820,0,True,50.00000,59.75000,-0.25000,1525,False,2,116306,900,1.14774,1.72561,1.14774,1.72561,1,-3.62873
