task_idx,trial_idx,cutrial_no,targetangle_deg,targetx_cm,targety_cm,rotation_deg,doaiming_bool,aimstart_deg,aim_deg,aimdeviation_deg,aimtime_ms,zeroclamped_bool,phase,cutime_ms,time_ms,mousex_cm,mousey_cm,cursorx_cm,cursory_cm,deviation_bool
9,20,228,20.00000,7.51754,2.73616,0,True,10.00000,19.00000,-1.00000,844,False,0,1442815,0,0.00000,-0.04109,-0.01320,-0.00481,0
9,20,228,20.00000,7.51754,2.73616,0,True,10.00000,19.00000,-1.00000,844,False,1,1442831,16,0.00000,-0.04109,-0.01320,-0.00481,0
9,20,228,20.00000,7.51754,2.73616,0,True,10.00000,19.00000,-1.00000,844,False,1,1442848,33,0.00000,-0.04109,-0.01320,-0.00481,0
9,20,228,20.00000,7.51754,2.73616,0,True,10.00000,19.00000,-1.00000,844,False,1,1442865,50,0.00000,-0.04109,-0.01320,-0.00481,0
9,20,228,20.00000,7.51754,2.73616,0,True,10.00000,19.00000,-1.00000,844,False,1,1442881,66,0.00000,-0.04109,-0.01320,-0.00481,0
9,20,228,20.00000,7.51754,2.73616,0,True,10.00000,19.00000,-1.00000,844,False,1,1442898,83,0.00000,-0.04109,-0.01320,-0.00481,0
9,20,228,20.00000,7.51754,2.73616,0,True,10.00000,19.00000,-1.00000,844,False,1,1442915,100,0.00000,-0.04109,-0.01320,-0.00481,0
9,20,228,20.00000,7.51754,2.73616,0,True,10.00000,19.00000,-1.00000,844,False,1,1442931,116,0.00000,-0.04109,-0.01320,-0.00481,0
9,20,228,20.00000,7.51754,2.73616,0,True,10.00000,19.00000,-1.00000,844,False,1,1442948,133,0.00000,-0.04109,-0.01320,-0.00481,0
9,20,228,20.00000,7.51754,2.73616,0,True,10.00000,19.00000,-1.00000,844,False,1,1442965,150,0.00000,-0.04109,-0.01320,-0.00481,0
9,20,228,20.00000,7.51754,2.73616,0,True,10.00000,19.00000,-1.00000,844,False,1,1442982,167,0.00000,-0.04109,-0.01320,-0.00481,0
9,20,228,20.00000,7.51754,2.73616,0,True,10.00000,19.00000,-1.00000,844,False,1,1442998,183,0.00000,-0.04109,-0.01320,-0.00481,0
9,20,228,20.00000,7.51754,2.73616,0,True,10.00000,19.00000,-1.00000,844,False,1,1443015,200,0.00000,-0.04109,-0.01320,-0.00481,0
9,20,228,20.00000,7.51754,2.73616,0,True,10.00000,19.00000,-1.00000,844,False,1,1443031,216,0.00000,-0.04109,-0.01320,-0.00481,0
9,20,228,20.00000,7.51754,2.73616,0,True,10.00000,19.00000,-1.00000,844,False,1,1443048,233,0.00000,-0.04109,-0.01320,-0.00481,0
9,20,228,20.00000,7.51754,2.73616,0,True,10.00000,19.00000,-1.00000,844,False,1,1443065,250,0.00000,-0.04109,-0.01320,-0.00481,0
9,20,228,20.00000,7.51754,2.73616,0,True,10.00000,19.00000,-1.00000,844,False,1,1443082,267,0.00000,-0.04109,-0.01320,-0.00481,0
9,20,228,20.00000,7.51754,2.73616,0,True,10.00000,19.00000,-1.00000,844,False,1,1443098,283,0.00000,-0.04109,-0.01320,-0.00481,0
9,20,228,20.00000,7.51754,2.73616,0,True,10.00000,19.00000,-1.00000,844,False,1,1443115,300,0.00000,-0.04109,-0.01320,-0.00481,0
