task_idx,trial_idx,cutrial_no,targetangle_deg,targetx_cm,targety_cm,rotation_deg,doaiming_bool,aimstart_deg,aim_deg,aimdeviation_deg,aimtime_ms,zeroclamped_bool,phase,cutime_ms,time_ms,mousex_cm,mousey_cm,cursorx_cm,cursory_cm,deviation_bool,reachdeviation_deg
2,1,1,80.00000,1.38919,7.87846,0,True,70.00000,79.75000,-0.25000,2085,False,2,38909,1918,0.68494,1.95158,0.68494,1.95158,1,-9.33939
2,2,2,100.00000,-1.38919,7.87846,0,True,90.00000,100.00000,0.00000,1475,False,2,43579,817,-0.20363,2.28027,-0.20363,2.28027,1,-4.89698
2,3,3,40.00000,6.12836,5.14230,0,True,30.00000,38.50000,-1.50000,1659,False,2,48650,801,1.66607,1.17095,1.66607,1.17095,1,-4.89962
2,4,4,160.00000,-7.51754,2.73616,0,True,150.00000,158.25000,-1.75000,1591,False,2,53553,1050,-1.90673,0.86280,-1.90673,0.86280,1,-4.34687
2,5,5,20.00000,7.51754,2.73616,0,True,10.00000,19.00000,-1.00000,1806,False,2,58657,800,1.99929,0.73955,1.99929,0.73955,1,0.29975
2,6,6,120.00000,-4.00000,6.92820,0,True,110.00000,119.25000,-0.75000,1458,False,2,63628,1134,-0.85155,1.88995,-0.85155,1.88995,1,-5.74522
2,7,7,140.00000,-6.12836,5.14230,0,True,130.00000,138.00000,-2.00000,1174,False,2,68882,1885,-1.51798,1.62289,-1.51798,1.62289,1,-6.91306
2,8,8,60.00000,4.00000,6.92820,0,True,50.00000,58.75000,-1.25000,1636,False,2,74253,784,1.11071,1.80778,1.11071,1.80778,1,-1.56680
2,9,9,80.00000,1.38919,7.87846,0,True,70.00000,79.75000,-0.25000,1574,False,2,79740,1217,0.68494,2.07484,0.68494,2.07484,1,-8.26894
2,10,10,140.00000,-6.12836,5.14230,0,True,130.00000,139.50000,-0.50000,1239,False,2,84294,801,-1.59202,1.31475,-1.59202,1.31475,1,0.44882
2,11,11,160.00000,-7.51754,2.73616,0,True,150.00000,158.50000,-1.50000,1207,False,2,88864,900,-1.88821,0.73955,-1.88821,0.73955,1,-1.38865
2,12,12,40.00000,6.12836,5.14230,0,True,30.00000,37.75000,-2.25000,1473,False,2,93868,917,1.46244,1.45855,1.46244,1.45855,1,4.92370
2,13,13,60.00000,4.00000,6.92820,0,True,50.00000,58.50000,-1.50000,1273,False,2,98305,767,1.12923,1.88995,1.12923,1.88995,1,-0.85798
2,14,14,120.00000,-4.00000,6.92820,0,True,110.00000,119.50000,-0.50000,1640,False,2,103643,851,-0.64792,1.97212,-0.64792,1.97212,1,-11.81259
2,15,15,100.00000,-1.38919,7.87846,0,True,90.00000,99.00000,-1.00000,1642,False,2,108396,850,-0.33321,2.13647,-0.33321,2.13647,1,-1.13540
2,16,16,20.00000,7.51754,2.73616,0,True,10.00000,19.50000,-0.50000,1925,False,2,113767,834,2.07333,0.78063,2.07333,0.78063,1,0.63187
2,17,17,60.00000,4.00000,6.92820,0,True,50.00000,59.00000,-1.00000,1455,False,2,119155,851,1.05518,1.82832,1.05518,1.82832,1,0.00943
2,18,18,80.00000,1.38919,7.87846,0,True,70.00000,79.50000,-0.50000,1342,False,2,123525,801,0.49982,2.34190,0.49982,2.34190,1,-2.04760
2,19,19,100.00000,-1.38919,7.87846,0,True,90.00000,100.00000,0.00000,1524,False,2,128212,867,-0.29619,2.19810,-0.29619,2.19810,1,-2.32572
2,20,20,140.00000,-6.12836,5.14230,0,True,130.00000,138.50000,-1.50000,2440,False,2,133833,684,-1.86970,1.17095,-1.86970,1.17095,1,7.94204
2,21,21,40.00000,6.12836,5.14230,0,True,30.00000,38.75000,-1.25000,1390,False,2,139037,934,1.66607,1.45855,1.66607,1.45855,1,1.20031
2,22,22,20.00000,7.51754,2.73616,0,True,10.00000,20.75000,0.75000,1592,False,2,143774,750,1.90673,0.86280,1.90673,0.86280,1,4.34687
2,23,23,160.00000,-7.51754,2.73616,0,True,150.00000,159.00000,-1.00000,3109,False,2,151063,1868,-2.07333,0.80118,-2.07333,0.80118,1,-1.12762
2,24,24,120.00000,-4.00000,6.92820,0,True,110.00000,118.75000,-1.25000,1385,False,2,157735,834,-0.77750,2.07484,-0.77750,2.07484,1,-9.45763
3,1,25,140.00000,-6.12836,5.14230,0,True,130.00000,139.75000,-0.25000,1493,False,2,162222,951,-1.92524,1.10932,-1.67601,1.40634,1,10.04953
3,2,26,100.00000,-1.38919,7.87846,0,True,90.00000,99.50000,-0.50000,1810,False,2,166709,817,-0.62940,2.01321,-0.36326,2.06014,1,7.36107
3,3,27,80.00000,1.38919,7.87846,0,True,70.00000,79.00000,-1.00000,1560,False,2,170929,784,0.12958,2.11593,0.36575,2.07428,1,6.49557
3,4,28,40.00000,6.12836,5.14230,0,True,30.00000,38.25000,-1.75000,1525,False,2,175382,750,1.77714,1.29421,1.68014,1.40981,1,-3.93586
