task_idx,trial_idx,cutrial_no,targetangle_deg,targetx_cm,targety_cm,rotation_deg,doaiming_bool,aimstart_deg,aim_deg,aimdeviation_deg,aimtime_ms,zeroclamped_bool,phase,cutime_ms,time_ms,mousex_cm,mousey_cm,cursorx_cm,cursory_cm,deviation_bool
5,9,57,40.00000,6.12836,5.14230,0,True,30.00000,37.50000,-2.50000,1574,False,0,369524,0,0.03702,0.04109,0.03702,0.04109,0
5,9,57,40.00000,6.12836,5.14230,0,True,30.00000,37.50000,-2.50000,1574,False,1,369541,17,0.03702,0.04109,0.03702,0.04109,0
5,9,57,40.00000,6.12836,5.14230,0,True,30.00000,37.50000,-2.50000,1574,False,1,369558,34,0.03702,0.04109,0.03702,0.04109,0
5,9,57,40.00000,6.12836,5.14230,0,True,30.00000,37.50000,-2.50000,1574,False,1,369574,50,0.03702,0.04109,0.03702,0.04109,0
5,9,57,40.00000,6.12836,5.14230,0,True,30.00000,37.50000,-2.50000,1574,False,1,369591,67,0.03702,0.04109,0.03702,0.04109,0
5,9,57,40.00000,6.12836,5.14230,0,True,30.00000,37.50000,-2.50000,1574,False,1,369608,84,0.03702,0.04109,0.03702,0.04109,0
5,9,57,40.00000,6.12836,5.14230,0,True,30.00000,37.50000,-2.50000,1574,False,1,369624,100,0.03702,0.04109,0.03702,0.04109,0
5,9,57,40.00000,6.12836,5.14230,0,True,30.00000,37.50000,-2.50000,1574,False,1,369641,117,0.03702,0.04109,0.03702,0.04109,0
5,9,57,40.00000,6.12836,5.14230,0,True,30.00000,37.50000,-2.50000,1574,False,1,369658,134,0.03702,0.04109,0.03702,0.04109,0
5,9,57,40.00000,6.12836,5.14230,0,True,30.00000,37.50000,-2.50000,1574,False,1,369674,150,0.03702,0.04109,0.03702,0.04109,0
5,9,57,40.00000,6.12836,5.14230,0,True,30.00000,37.50000,-2.50000,1574,False,1,369691,167,0.03702,0.04109,0.03702,0.04109,0
5,9,57,40.00000,6.12836,5.14230,0,True,30.00000,37.50000,-2.50000,1574,False,1,369708,184,0.03702,0.04109,0.03702,0.04109,0
5,9,57,40.00000,6.12836,5.14230,0,True,30.00000,37.50000,-2.50000,1574,False,1,369724,200,0.03702,0.04109,0.03702,0.04109,0
5,9,57,40.00000,6.12836,5.14230,0,True,30.00000,37.50000,-2.50000,1574,False,1,369741,217,0.03702,0.04109,0.03702,0.04109,0
5,9,57,40.00000,6.12836,5.14230,0,True,30.00000,37.50000,-2.50000,1574,False,1,369758,234,0.03702,0.04109,0.03702,0.04109,0
