task_idx,trial_idx,cutrial_no,targetangle_deg,targetx_cm,targety_cm,cursortype,rotation_deg,doaiming_bool,aimstart_deg,aim_deg,aimdeviation_deg,aimtime_ms,phase,cutime_ms,time_ms,mousex_cm,mousey_cm,cursorx_cm,cursory_cm,deviation_bool,reachdeviation_deg
2,1,1,140.00000,-6.12836,5.14230,regular,0,True,130.00000,139.50000,-0.50000,6721.00000,2,65043,2352,-1.75863,1.17095,-1.75863,1.17095,1,6.34310
2,2,2,160.00000,-7.51754,2.73616,regular,0,True,150.00000,159.75000,-0.25000,3643.00000,2,72799,1168,-2.01780,0.41086,-2.01780,0.41086,1,8.49089
2,3,3,120.00000,-4.00000,6.92820,regular,0,True,110.00000,119.50000,-0.50000,3603.00000,2,80955,1184,-1.35137,1.66398,-1.35137,1.66398,1,9.08113
2,4,4,80.00000,1.38919,7.87846,regular,0,True,70.00000,80.25000,0.25000,2342.00000,2,87727,2218,0.46280,2.09538,0.46280,2.09538,1,-2.45478
2,5,5,20.00000,7.51754,2.73616,regular,0,True,10.00000,20.75000,0.75000,3072.00000,2,94365,1751,1.85119,0.92443,1.85119,0.92443,1,6.53620
2,6,6,40.00000,6.12836,5.14230,regular,0,True,30.00000,39.00000,-1.00000,2697.00000,2,103723,1151,1.99929,1.19149,1.99929,1.19149,1,-9.20689
2,7,7,100.00000,-1.38919,7.87846,regular,0,True,90.00000,99.75000,-0.25000,2630.00000,2,114831,1767,-1.12923,1.66398,-1.12923,1.66398,1,24.16207
2,8,8,60.00000,4.00000,6.92820,regular,0,True,50.00000,58.25000,-1.75000,3550.00000,2,126057,2802,0.98113,2.01321,0.98113,2.01321,1,4.01789
2,9,9,160.00000,-7.51754,2.73616,regular,0,True,150.00000,159.25000,-0.75000,2684.00000,2,133312,1217,0.94411,-1.84887,0.94411,-1.84887,1,137.05075
2,10,10,60.00000,4.00000,6.92820,regular,0,True,50.00000,58.50000,-1.50000,2951.00000,2,141435,834,1.38839,1.45855,1.38839,1.45855,1,-13.58829
2,11,11,120.00000,-4.00000,6.92820,regular,0,True,110.00000,119.25000,-0.75000,2140.00000,2,147623,900,-1.92524,1.15041,-1.92524,1.15041,1,29.13995
2,12,12,140.00000,-6.12836,5.14230,regular,0,True,130.00000,141.25000,1.25000,2304.00000,2,154395,717,-1.62905,1.27366,-1.62905,1.27366,1,1.98020
