task_idx,trial_idx,cutrial_no,targetangle_deg,targetx_cm,targety_cm,cursortype,rotation_deg,doaiming_bool,aimstart_deg,aim_deg,aimdeviation_deg,aimtime_ms,phase,cutime_ms,time_ms,mousex_cm,mousey_cm,cursorx_cm,cursory_cm,deviation_bool
12,110,222,60.00000,4.00000,6.92820,regular,-40,True,50.00000,59.00000,-1.00000,2469,0,1921191,0,-2.25845,-1.74615,-2.85248,0.11408,0
12,110,222,60.00000,4.00000,6.92820,regular,-40,True,50.00000,59.00000,-1.00000,2469,0,1921207,16,-2.25845,-1.74615,-2.85248,0.11408,0
12,110,222,60.00000,4.00000,6.92820,regular,-40,True,50.00000,59.00000,-1.00000,2469,0,1921224,33,-2.25845,-1.74615,-2.85248,0.11408,0
12,110,222,60.00000,4.00000,6.92820,regular,-40,True,50.00000,59.00000,-1.00000,2469,0,1921241,50,-2.25845,-1.74615,-2.85248,0.11408,0
12,110,222,60.00000,4.00000,6.92820,regular,-40,True,50.00000,59.00000,-1.00000,2469,0,1921257,66,-2.25845,-1.74615,-2.85248,0.11408,0
12,110,222,60.00000,4.00000,6.92820,regular,-40,True,50.00000,59.00000,-1.00000,2469,0,1921274,83,-2.25845,-1.74615,-2.85248,0.11408,0
12,110,222,60.00000,4.00000,6.92820,regular,-40,True,50.00000,59.00000,-1.00000,2469,0,1921291,100,-2.25845,-1.74615,-2.85248,0.11408,0
12,110,222,60.00000,4.00000,6.92820,regular,-40,True,50.00000,59.00000,-1.00000,2469,0,1921308,117,-2.25845,-1.74615,-2.85248,0.11408,0
12,110,222,60.00000,4.00000,6.92820,regular,-40,True,50.00000,59.00000,-1.00000,2469,0,1921324,133,-2.25845,-1.74615,-2.85248,0.11408,0
12,110,222,60.00000,4.00000,6.92820,regular,-40,True,50.00000,59.00000,-1.00000,2469,0,1921341,150,-2.25845,-1.74615,-2.85248,0.11408,0
12,110,222,60.00000,4.00000,6.92820,regular,-40,True,50.00000,59.00000,-1.00000,2469,0,1921357,166,-2.25845,-1.74615,-2.85248,0.11408,0
12,110,222,60.00000,4.00000,6.92820,regular,-40,True,50.00000,59.00000,-1.00000,2469,0,1921374,183,-2.25845,-1.74615,-2.85248,0.11408,0
12,110,222,60.00000,4.00000,6.92820,regular,-40,True,50.00000,59.00000,-1.00000,2469,0,1921391,200,-2.25845,-1.74615,-2.85248,0.11408,0
12,110,222,60.00000,4.00000,6.92820,regular,-40,True,50.00000,59.00000,-1.00000,2469,0,1921407,216,-2.25845,-1.74615,-2.85248,0.11408,0
12,110,222,60.00000,4.00000,6.92820,regular,-40,True,50.00000,59.00000,-1.00000,2469,0,1921424,233,-2.25845,-1.74615,-2.85248,0.11408,0
12,110,222,60.00000,4.00000,6.92820,regular,-40,True,50.00000,59.00000,-1.00000,2469,0,1921441,250,-2.25845,-1.74615,-2.85248,0.11408,0
12,110,222,60.00000,4.00000,6.92820,regular,-40,True,50.00000,59.00000,-1.00000,2469,0,1921457,266,-2.25845,-1.74615,-2.85248,0.11408,0
12,110,222,60.00000,4.00000,6.92820,regular,-40,True,50.00000,59.00000,-1.00000,2469,0,1921474,283,-2.25845,-1.74615,-2.85248,0.11408,0
