task_idx,trial_idx,cutrial_no,targetangle_deg,targetx_cm,targety_cm,rotation_deg,doaiming_bool,aimstart_deg,aim_deg,aimdeviation_deg,aimtime_ms,zeroclamped_bool,phase,cutime_ms,time_ms,mousex_cm,mousey_cm,cursorx_cm,cursory_cm,deviation_bool,reachdeviation_deg
2,1,1,80.00000,1.38919,7.87846,0,True,70.00000,79.25000,-0.75000,23968,False,2,87920,2802,0.33321,2.11593,0.33321,2.11593,1,1.05074
2,2,2,20.00000,7.51754,2.73616,0,True,10.00000,19.00000,-1.00000,4673,False,2,98361,1934,1.86970,0.84226,1.86970,0.84226,1,4.25055
2,3,3,160.00000,-7.51754,2.73616,0,True,150.00000,159.00000,-1.00000,5201,False,2,108836,1201,-1.96226,0.53412,-1.96226,0.53412,1,4.77320
2,4,4,140.00000,-6.12836,5.14230,0,True,130.00000,139.25000,-0.75000,3053,False,2,116809,1451,-1.77714,1.12986,-1.77714,1.12986,1,7.55285
2,5,5,40.00000,6.12836,5.14230,0,True,30.00000,39.75000,-0.25000,3854,False,2,125916,1635,1.55500,1.43801,1.55500,1.43801,1,2.76158
2,6,6,100.00000,-1.38919,7.87846,0,True,90.00000,99.75000,-0.25000,2936,False,2,133889,1685,0.01851,2.09538,0.01851,2.09538,1,-10.50612
2,7,7,60.00000,4.00000,6.92820,0,True,50.00000,59.75000,-0.25000,3620,False,2,141945,917,1.12923,1.84887,1.12923,1.84887,1,-1.41524
2,8,8,120.00000,-4.00000,6.92820,0,True,110.00000,119.75000,-0.25000,2690,False,2,148750,934,-1.07369,1.74615,-1.07369,1.74615,1,1.58694
2,9,9,140.00000,-6.12836,5.14230,0,True,130.00000,139.50000,-0.50000,3003,False,2,156489,900,-1.75863,0.98606,-1.75863,0.98606,1,10.72075
2,10,10,20.00000,7.51754,2.73616,0,True,10.00000,20.00000,0.00000,3256,False,2,164312,934,1.92524,0.61629,1.92524,0.61629,1,-2.24957
2,11,11,60.00000,4.00000,6.92820,0,True,50.00000,58.50000,-1.50000,2716,False,2,173319,1034,1.12923,1.68452,1.12923,1.68452,1,-3.83621
2,12,12,40.00000,6.12836,5.14230,0,True,30.00000,38.75000,-1.25000,3401,False,2,182376,951,1.49946,1.41746,1.49946,1.41746,1,3.38973
2,13,13,80.00000,1.38919,7.87846,0,True,70.00000,79.00000,-1.00000,5683,False,2,195936,1117,0.96262,1.78724,0.96262,1.78724,1,-18.30722
2,14,14,100.00000,-1.38919,7.87846,0,True,90.00000,100.00000,0.00000,11574,False,2,213099,1051,-0.57387,1.97212,-0.57387,1.97212,1,6.22454
2,15,15,160.00000,-7.51754,2.73616,0,True,150.00000,159.75000,-0.25000,4788,False,2,223274,1067,-1.99929,0.45195,-1.99929,0.45195,1,7.26208
2,16,16,120.00000,-4.00000,6.92820,0,True,110.00000,118.50000,-1.50000,3937,False,2,233298,1951,-1.24030,1.68452,-1.24030,1.68452,1,6.36395
2,17,17,160.00000,-7.51754,2.73616,0,True,150.00000,160.00000,0.00000,5869,False,2,245274,1768,-1.98077,0.84226,-1.98077,0.84226,1,-3.03609
2,18,18,20.00000,7.51754,2.73616,0,True,10.00000,19.00000,-1.00000,4033,False,2,255932,1518,1.90673,0.80118,1.90673,0.80118,1,2.79143
2,19,19,40.00000,6.12836,5.14230,0,True,30.00000,40.00000,0.00000,4052,False,2,265756,917,1.66607,1.21203,1.66607,1.21203,1,-3.96492
2,20,20,140.00000,-6.12836,5.14230,0,True,130.00000,139.75000,-0.25000,5630,False,2,277198,1367,-1.62905,1.39692,-1.62905,1.39692,1,-0.61328
2,21,21,80.00000,1.38919,7.87846,0,True,70.00000,79.50000,-0.50000,6757,False,2,288007,817,0.31470,2.05430,0.31470,2.05430,1,1.29052
2,22,22,100.00000,-1.38919,7.87846,0,True,90.00000,99.50000,-0.50000,17835,False,2,310957,2018,-0.18512,2.13647,-0.18512,2.13647,1,-5.04783
2,23,23,60.00000,4.00000,6.92820,0,True,50.00000,59.25000,-0.75000,5735,False,2,322183,1735,1.14774,1.76669,1.14774,1.76669,1,-3.00999
2,24,24,120.00000,-4.00000,6.92820,0,True,110.00000,120.00000,0.00000,25303,False,2,352756,2251,-1.05518,1.70507,-1.05518,1.70507,1,1.75123
3,1,25,80.00000,1.38919,7.87846,0,True,70.00000,78.25000,-1.75000,4233,False,2,362581,951,0.01851,2.15701,0.36943,2.09513,1,9.50834
3,2,26,140.00000,-6.12836,5.14230,0,True,130.00000,139.50000,-0.50000,4040,False,2,371170,1567,-1.61054,1.39692,-1.63295,1.37021,1,-0.93710
3,3,27,40.00000,6.12836,5.14230,0,True,30.00000,39.50000,-0.50000,3055,False,2,378676,900,1.12923,1.76669,1.53258,1.28599,1,17.41417
3,4,28,100.00000,-1.38919,7.87846,0,True,90.00000,99.75000,-0.25000,2605,False,2,385648,817,-0.37024,2.11593,-0.37301,2.11544,1,-0.07501
3,5,29,60.00000,4.00000,6.92820,0,True,50.00000,59.25000,-0.75000,4103,False,2,394155,767,0.99964,1.74615,1.00602,1.74247,1,0.20963
3,6,30,20.00000,7.51754,2.73616,0,True,10.00000,19.00000,-1.00000,3408,False,2,401243,917,1.90673,1.12986,2.04681,0.74498,1,10.64947
3,7,31,160.00000,-7.51754,2.73616,0,True,150.00000,160.50000,0.50000,5057,False,2,410567,1101,-2.03631,0.55466,-1.97637,0.71934,1,4.76314
