task_idx,trial_idx,cutrial_no,targetangle_deg,targetx_cm,targety_cm,rotation_deg,doaiming_bool,aimstart_deg,aim_deg,aimdeviation_deg,aimtime_ms,zeroclamped_bool,phase,cutime_ms,time_ms,mousex_cm,mousey_cm,cursorx_cm,cursory_cm,deviation_bool
8,46,134,100.00000,-1.38919,7.87846,-50,True,90.00000,98.50000,-1.50000,2767,False,0,1578717,0,-0.18512,-0.04109,-0.15047,0.11540,0
8,46,134,100.00000,-1.38919,7.87846,-50,True,90.00000,98.50000,-1.50000,2767,False,1,1578734,17,-0.18512,-0.04109,-0.15047,0.11540,0
8,46,134,100.00000,-1.38919,7.87846,-50,True,90.00000,98.50000,-1.50000,2767,False,1,1578751,34,-0.18512,-0.04109,-0.15047,0.11540,0
8,46,134,100.00000,-1.38919,7.87846,-50,True,90.00000,98.50000,-1.50000,2767,False,1,1578767,50,-0.18512,-0.04109,-0.15047,0.11540,0
8,46,134,100.00000,-1.38919,7.87846,-50,True,90.00000,98.50000,-1.50000,2767,False,1,1578784,67,-0.18512,-0.04109,-0.15047,0.11540,0
8,46,134,100.00000,-1.38919,7.87846,-50,True,90.00000,98.50000,-1.50000,2767,False,1,1578801,84,-0.18512,-0.04109,-0.15047,0.11540,0
8,46,134,100.00000,-1.38919,7.87846,-50,True,90.00000,98.50000,-1.50000,2767,False,1,1578817,100,-0.18512,-0.04109,-0.15047,0.11540,0
8,46,134,100.00000,-1.38919,7.87846,-50,True,90.00000,98.50000,-1.50000,2767,False,1,1578834,117,-0.18512,-0.04109,-0.15047,0.11540,0
8,46,134,100.00000,-1.38919,7.87846,-50,True,90.00000,98.50000,-1.50000,2767,False,1,1578851,134,-0.18512,-0.04109,-0.15047,0.11540,0
8,46,134,100.00000,-1.38919,7.87846,-50,True,90.00000,98.50000,-1.50000,2767,False,1,1578867,150,-0.18512,-0.04109,-0.15047,0.11540,0
8,46,134,100.00000,-1.38919,7.87846,-50,True,90.00000,98.50000,-1.50000,2767,False,1,1578884,167,-0.18512,-0.04109,-0.15047,0.11540,0
8,46,134,100.00000,-1.38919,7.87846,-50,True,90.00000,98.50000,-1.50000,2767,False,1,1578901,184,-0.18512,-0.04109,-0.15047,0.11540,0
8,46,134,100.00000,-1.38919,7.87846,-50,True,90.00000,98.50000,-1.50000,2767,False,1,1578918,201,-0.18512,-0.04109,-0.15047,0.11540,0
8,46,134,100.00000,-1.38919,7.87846,-50,True,90.00000,98.50000,-1.50000,2767,False,1,1578934,217,-0.18512,-0.04109,-0.15047,0.11540,0
8,46,134,100.00000,-1.38919,7.87846,-50,True,90.00000,98.50000,-1.50000,2767,False,1,1578951,234,-0.18512,-0.04109,-0.15047,0.11540,0
8,46,134,100.00000,-1.38919,7.87846,-50,True,90.00000,98.50000,-1.50000,2767,False,1,1578967,250,-0.18512,-0.04109,-0.15047,0.11540,0
8,46,134,100.00000,-1.38919,7.87846,-50,True,90.00000,98.50000,-1.50000,2767,False,1,1578984,267,-0.18512,-0.04109,-0.15047,0.11540,0
8,46,134,100.00000,-1.38919,7.87846,-50,True,90.00000,98.50000,-1.50000,2767,False,1,1579001,284,-0.18512,-0.04109,-0.15047,0.11540,0
8,46,134,100.00000,-1.38919,7.87846,-50,True,90.00000,98.50000,-1.50000,2767,False,1,1579018,301,-0.18512,-0.04109,-0.15047,0.11540,0
8,46,134,100.00000,-1.38919,7.87846,-50,True,90.00000,98.50000,-1.50000,2767,False,1,1579034,317,-0.18512,-0.04109,-0.15047,0.11540,0
8,46,134,100.00000,-1.38919,7.87846,-50,True,90.00000,98.50000,-1.50000,2767,False,1,1579051,334,-0.18512,-0.04109,-0.15047,0.11540,0
8,46,134,100.00000,-1.38919,7.87846,-50,True,90.00000,98.50000,-1.50000,2767,False,1,1579068,351,-0.18512,-0.04109,-0.15047,0.11540,0
8,46,134,100.00000,-1.38919,7.87846,-50,True,90.00000,98.50000,-1.50000,2767,False,2,1579084,367,-0.18512,-0.04109,-0.15047,0.11540,0
8,46,134,100.00000,-1.38919,7.87846,-50,True,90.00000,98.50000,-1.50000,2767,False,2,1579101,384,-0.18512,-0.04109,-0.15047,0.11540,0
