task_idx,trial_idx,cutrial_no,targetangle_deg,targetx_cm,targety_cm,cursortype,rotation_deg,doaiming_bool,aimstart_deg,aim_deg,aimdeviation_deg,aimtime_ms,phase,cutime_ms,time_ms,mousex_cm,mousey_cm,cursorx_cm,cursory_cm,deviation_bool,reachdeviation_deg
2,1,1,40.00000,6.12836,5.14230,regular,0,True,30.00000,39.25000,-0.75000,7689.00000,2,64575,3319,1.64756,1.25312,1.64756,1.25312,1,-2.74369
2,2,2,100.00000,-1.38919,7.87846,regular,0,True,90.00000,99.50000,-0.50000,10044.00000,2,79953,1718,-0.14810,2.07484,-0.14810,2.07484,1,-5.91721
2,3,3,120.00000,-4.00000,6.92820,regular,0,True,110.00000,119.50000,-0.50000,12156.00000,2,98885,1435,-0.85155,1.93104,-0.85155,1.93104,1,-6.20348
2,4,4,20.00000,7.51754,2.73616,regular,0,True,10.00000,19.00000,-1.00000,3189.00000,2,106224,1251,1.90673,0.61629,1.90673,0.61629,1,-2.08822
2,5,5,160.00000,-7.51754,2.73616,regular,0,True,150.00000,159.00000,-1.00000,6487.00000,2,118900,1601,-1.86970,0.76009,-1.86970,0.76009,1,-2.12324
2,6,6,80.00000,1.38919,7.87846,regular,0,True,70.00000,80.00000,0.00000,2851.00000,2,127657,1951,0.62940,1.93104,0.62940,1.93104,1,-8.05278
2,7,7,140.00000,-6.12836,5.14230,regular,0,True,130.00000,139.00000,-1.00000,2584.00000,2,135747,1385,-1.55500,1.37638,-1.55500,1.37638,1,-1.51306
2,8,8,60.00000,4.00000,6.92820,regular,0,True,50.00000,59.50000,-0.50000,2721.00000,2,143419,1151,0.96262,1.82832,0.96262,1.82832,1,2.23296
2,9,9,160.00000,-7.51754,2.73616,regular,0,True,150.00000,158.50000,-1.50000,6576.00000,2,159865,883,-1.86970,0.82172,-1.86970,0.82172,1,-3.72515
2,10,10,140.00000,-6.12836,5.14230,regular,0,True,130.00000,139.00000,-1.00000,3258.00000,2,167905,1985,-1.48095,1.37638,-1.48095,1.37638,1,-2.90408
2,11,11,120.00000,-4.00000,6.92820,regular,0,True,110.00000,119.50000,-0.50000,3621.00000,2,175894,1467,-1.07369,1.70507,-1.07369,1.70507,1,2.19880
2,12,12,80.00000,1.38919,7.87846,regular,0,True,70.00000,80.25000,0.25000,2571.00000,2,182816,1134,0.53685,1.95158,0.53685,1.95158,1,-5.38077
2,13,13,60.00000,4.00000,6.92820,regular,0,True,50.00000,59.75000,-0.25000,2722.00000,2,189688,1084,1.25881,1.60235,1.25881,1.60235,1,-8.15326
2,14,14,40.00000,6.12836,5.14230,regular,0,True,30.00000,39.25000,-0.75000,3239.00000,2,197194,950,1.61054,1.21203,1.61054,1.21203,1,-3.03630
2,15,15,100.00000,-1.38919,7.87846,regular,0,True,90.00000,100.25000,0.25000,3038.00000,2,204767,1034,-0.42577,2.03375,-0.42577,2.03375,1,1.82422
2,16,16,20.00000,7.51754,2.73616,regular,0,True,10.00000,19.25000,-0.75000,2256.00000,2,210905,901,1.98077,0.80118,1.98077,0.80118,1,2.02230
2,17,17,160.00000,-7.51754,2.73616,regular,0,True,150.00000,159.00000,-1.00000,3992.00000,2,218677,1083,-1.94375,0.73955,-1.94375,0.73955,1,-0.83061
2,18,18,20.00000,7.51754,2.73616,regular,0,True,10.00000,18.75000,-1.25000,3141.00000,2,225333,884,2.03631,0.69846,2.03631,0.69846,1,-1.06789
2,19,19,100.00000,-1.38919,7.87846,regular,0,True,90.00000,99.75000,-0.25000,6621.00000,2,237992,1150,-0.44429,2.03375,-0.44429,2.03375,1,2.32315
2,20,20,120.00000,-4.00000,6.92820,regular,0,True,110.00000,120.00000,0.00000,2989.00000,2,245465,1835,-1.09220,1.76669,-1.09220,1.76669,1,1.72511
2,21,21,40.00000,6.12836,5.14230,regular,0,True,30.00000,39.00000,-1.00000,2088.00000,2,250969,734,1.66607,1.21203,1.66607,1.21203,1,-3.96492
2,22,22,60.00000,4.00000,6.92820,regular,0,True,50.00000,60.00000,0.00000,2708.00000,2,257024,801,1.35137,1.54072,1.35137,1.54072,1,-11.25410
