task_idx,trial_idx,cutrial_no,targetangle_deg,targetx_cm,targety_cm,cursortype,rotation_deg,doaiming_bool,aimstart_deg,aim_deg,aimdeviation_deg,aimtime_ms,phase,cutime_ms,time_ms,mousex_cm,mousey_cm,cursorx_cm,cursory_cm,deviation_bool,reachdeviation_deg
2,1,1,120.00000,-4.00000,6.92820,regular,0,True,110.00000,120.25000,0.25000,5404.00000,2,66469,3786,-1.01815,1.80778,-1.01815,1.80778,1,-0.61159
2,2,2,160.00000,-7.51754,2.73616,regular,0,True,150.00000,158.00000,-2.00000,5359.00000,2,74942,1001,-1.94375,0.84226,-1.94375,0.84226,1,-3.42791
2,3,3,40.00000,6.12836,5.14230,regular,0,True,30.00000,39.25000,-0.75000,5377.00000,2,83432,884,1.44393,1.41746,1.44393,1.41746,1,4.46999
2,4,4,60.00000,4.00000,6.92820,regular,0,True,50.00000,59.00000,-1.00000,3979.00000,2,90137,1001,1.03667,1.84887,1.03667,1.84887,1,0.72045
2,5,5,80.00000,1.38919,7.87846,regular,0,True,70.00000,78.75000,-1.25000,6296.00000,2,99027,851,0.20363,2.56787,0.20363,2.56787,1,5.46598
2,6,6,140.00000,-6.12836,5.14230,regular,0,True,130.00000,138.50000,-1.50000,6996.00000,2,109635,1718,-2.01780,1.23258,-2.01780,1.23258,1,8.58119
2,7,7,100.00000,-1.38919,7.87846,regular,0,True,90.00000,99.75000,-0.25000,4726.00000,2,117124,884,-0.46280,2.21864,-0.46280,2.21864,1,1.78273
2,8,8,20.00000,7.51754,2.73616,regular,0,True,10.00000,20.00000,0.00000,5595.00000,2,126498,1735,2.03631,1.23258,2.03631,1.23258,1,11.18655
2,9,9,40.00000,6.12836,5.14230,regular,0,True,30.00000,41.50000,1.50000,5924.00000,2,135471,867,1.75863,1.68452,1.75863,1.68452,1,3.76696
2,10,10,140.00000,-6.12836,5.14230,regular,0,True,130.00000,138.25000,-1.75000,3728.00000,2,142327,1385,-1.53649,1.49964,-1.53649,1.49964,1,-4.30463
2,11,11,60.00000,4.00000,6.92820,regular,0,True,50.00000,59.50000,-0.50000,3675.00000,2,149532,901,1.18476,1.72561,1.18476,1.72561,1,-4.47250
2,12,12,20.00000,7.51754,2.73616,regular,0,True,10.00000,19.75000,-0.25000,4211.00000,2,156588,817,1.74012,1.17095,1.74012,1.17095,1,13.93714
2,13,13,80.00000,1.38919,7.87846,regular,0,True,70.00000,79.75000,-0.25000,3478.00000,2,162976,867,0.40726,2.30081,0.40726,2.30081,1,-0.03780
2,14,14,100.00000,-1.38919,7.87846,regular,0,True,90.00000,99.50000,-0.50000,3977.00000,2,169614,800,-0.61089,1.99267,-0.61089,1.99267,1,7.04389
2,15,15,120.00000,-4.00000,6.92820,regular,0,True,110.00000,120.25000,0.25000,3845.00000,2,176236,884,-1.18476,1.88995,-1.18476,1.88995,1,2.08252
2,16,16,160.00000,-7.51754,2.73616,regular,0,True,150.00000,158.75000,-1.25000,3896.00000,2,182457,767,-2.22143,0.78063,-2.22143,0.78063,1,0.63808
2,17,17,20.00000,7.51754,2.73616,regular,0,True,10.00000,20.00000,0.00000,3495.00000,2,188645,767,2.05482,1.06823,2.05482,1.06823,1,7.46836
2,18,18,80.00000,1.38919,7.87846,regular,0,True,70.00000,81.50000,1.50000,4479.00000,2,195851,817,0.37024,1.97212,0.37024,1.97212,1,-0.63278
2,19,19,140.00000,-6.12836,5.14230,regular,0,True,130.00000,139.50000,-0.50000,3278.00000,2,203206,2384,-1.66607,1.47909,-1.66607,1.47909,1,-1.59777
2,20,20,160.00000,-7.51754,2.73616,regular,0,True,150.00000,159.75000,-0.25000,2588.00000,2,208494,834,-2.20292,0.65737,-2.20292,0.65737,1,3.38445
2,21,21,100.00000,-1.38919,7.87846,regular,0,True,90.00000,99.25000,-0.75000,2374.00000,2,214716,801,-0.83304,1.97212,-0.83304,1.97212,1,12.89960
2,22,22,60.00000,4.00000,6.92820,regular,0,True,50.00000,61.00000,1.00000,2445.00000,2,219836,817,0.59238,2.03375,0.59238,2.03375,1,13.76049
2,23,23,120.00000,-4.00000,6.92820,regular,0,True,110.00000,118.50000,-1.50000,1694.00000,2,224140,801,-1.38839,2.15701,-1.38839,2.15701,1,2.76793
2,24,24,40.00000,6.12836,5.14230,regular,0,True,30.00000,38.75000,-1.25000,2744.00000,2,229644,800,1.72161,1.23258,1.72161,1.23258,1,-4.39938
3,1,25,120.00000,-4.00000,6.92820,nocursor,0,False,,,,,2,254647,2034,-0.74048,2.01321,0.00000,0.00000,1,-9.80594
3,2,26,60.00000,4.00000,6.92820,nocursor,0,False,,,,,2,263170,984,1.27732,1.60235,0.00000,0.00000,1,-8.56025
3,3,27,140.00000,-6.12836,5.14230,nocursor,0,False,,,,,2,266940,1633,-1.62905,1.19149,0.00000,0.00000,1,3.81820
3,4,28,80.00000,1.38919,7.87846,nocursor,0,False,,,,,2,270760,1162,0.83304,1.84887,0.00000,0.00000,1,-14.25476
3,5,29,100.00000,-1.38919,7.87846,nocursor,0,False,,,,,2,273896,1083,-0.40726,2.36244,0.00000,0.00000,1,-0.21894
3,6,30,20.00000,7.51754,2.73616,nocursor,0,False,,,,,2,277582,947,1.98077,0.59575,0.00000,0.00000,1,-3.26045
3,7,31,40.00000,6.12836,5.14230,nocursor,0,False,,,,,2,281468,1064,1.53649,1.58181,0.00000,0.00000,1,5.83265
3,8,32,160.00000,-7.51754,2.73616,nocursor,0,False,,,,,2,284237,950,-1.46244,1.78724,0.00000,0.00000,1,-30.70766
3,9,33,120.00000,-4.00000,6.92820,nocursor,0,False,,,,,2,287306,882,-1.09220,1.88995,0.00000,0.00000,1,0.02357
3,10,34,80.00000,1.38919,7.87846,nocursor,0,False,,,,,2,290725,930,-0.07405,2.21864,0.00000,0.00000,1,11.91161
3,11,35,100.00000,-1.38919,7.87846,nocursor,0,False,,,,,2,294245,1014,-0.35173,2.19810,0.00000,0.00000,1,-0.90886
3,12,36,140.00000,-6.12836,5.14230,nocursor,0,False,,,,,2,297448,1486,-1.59202,2.03375,0.00000,0.00000,1,-11.94615
3,13,37,60.00000,4.00000,6.92820,nocursor,0,False,,,,,2,300066,932,0.70345,2.11593,0.00000,0.00000,1,11.61039
3,14,38,40.00000,6.12836,5.14230,nocursor,0,False,,,,,2,302451,834,0.66643,2.03375,0.00000,0.00000,1,31.85679
3,15,39,160.00000,-7.51754,2.73616,nocursor,0,False,,,,,2,305054,920,-0.46280,2.21864,0.00000,0.00000,1,-58.21727
3,16,40,20.00000,7.51754,2.73616,nocursor,0,False,,,,,2,308056,1018,-0.48131,2.23918,0.00000,0.00000,1,82.13110
4,1,41,140.00000,-6.12836,5.14230,regular,0,True,130.00000,139.00000,-1.00000,3586.00000,2,324369,2786,1.11071,-1.70507,1.11071,-1.70507,1,163.08087
4,2,42,160.00000,-7.51754,2.73616,regular,0,True,150.00000,159.25000,-0.75000,2966.00000,2,331975,1418,-1.96226,0.63683,-1.96226,0.63683,1,2.01973
4,3,43,80.00000,1.38919,7.87846,regular,0,True,70.00000,80.25000,0.25000,2389.00000,2,337762,934,0.44429,1.99267,0.44429,1.99267,1,-2.56920
4,4,44,100.00000,-1.38919,7.87846,regular,0,True,90.00000,99.75000,-0.25000,1625.00000,2,342116,818,-0.61089,2.05430,-0.61089,2.05430,1,6.56097
4,5,45,40.00000,6.12836,5.14230,regular,0,True,30.00000,39.00000,-1.00000,1459.00000,2,346486,834,1.49946,1.56127,1.49946,1.56127,1,6.15690
4,6,46,20.00000,7.51754,2.73616,regular,0,True,10.00000,20.75000,0.75000,1993.00000,2,351173,884,1.92524,0.96552,1.92524,0.96552,1,6.63405
4,7,47,120.00000,-4.00000,6.92820,regular,0,True,110.00000,121.25000,1.25000,3093.00000,2,357094,934,-1.27732,1.68452,-1.27732,1.68452,1,7.17193
