task_idx,trial_idx,cutrial_no,targetangle_deg,targetx_cm,targety_cm,rotation_deg,doaiming_bool,aimstart_deg,aim_deg,aimdeviation_deg,aimtime_ms,zeroclamped_bool,phase,cutime_ms,time_ms,mousex_cm,mousey_cm,cursorx_cm,cursory_cm,deviation_bool,reachdeviation_deg
2,1,1,160.00000,-7.51754,2.73616,0,True,150.00000,160.00000,0.00000,7822,False,2,51164,3452,-1.94375,0.47249,-1.94375,0.47249,1,6.33743
2,2,2,80.00000,1.38919,7.87846,0,True,70.00000,79.25000,-0.75000,2956,False,2,57469,834,0.44429,2.15701,0.44429,2.15701,1,-1.63872
2,3,3,20.00000,7.51754,2.73616,0,True,10.00000,19.25000,-0.75000,2841,False,2,63524,801,1.94375,0.86280,1.94375,0.86280,1,3.93568
2,4,4,120.00000,-4.00000,6.92820,0,True,110.00000,121.00000,1.00000,2191,False,2,69179,935,-1.12923,1.93104,-1.12923,1.93104,1,0.31816
2,5,5,60.00000,4.00000,6.92820,0,True,50.00000,59.50000,-0.50000,1990,False,2,74682,783,1.33286,1.68452,1.33286,1.68452,1,-8.35246
2,6,6,40.00000,6.12836,5.14230,0,True,30.00000,39.00000,-1.00000,1677,False,2,79136,801,1.62905,1.45855,1.62905,1.45855,1,1.83929
2,7,7,100.00000,-1.38919,7.87846,0,True,90.00000,100.00000,0.00000,2442,False,2,84924,934,-0.27768,2.01321,-0.27768,2.01321,1,-2.14680
2,8,8,140.00000,-6.12836,5.14230,0,True,130.00000,141.25000,1.25000,1907,False,2,90278,767,-1.62905,1.31475,-1.62905,1.31475,1,1.09420
2,9,9,60.00000,4.00000,6.92820,0,True,50.00000,59.25000,-0.75000,1789,False,2,95982,934,1.18476,1.80778,1.18476,1.80778,1,-3.23953
2,10,10,80.00000,1.38919,7.87846,0,True,70.00000,79.75000,-0.25000,1758,False,2,100936,934,0.42577,2.11593,0.42577,2.11593,1,-1.37720
2,11,11,20.00000,7.51754,2.73616,0,True,10.00000,20.75000,0.75000,2159,False,2,106257,951,1.88821,0.82172,1.88821,0.82172,1,3.51794
2,12,12,160.00000,-7.51754,2.73616,0,True,150.00000,158.50000,-1.50000,2158,False,2,112011,1001,-1.90673,0.71900,-1.90673,0.71900,1,-0.66073
2,13,13,40.00000,6.12836,5.14230,0,True,30.00000,39.25000,-0.75000,1952,False,2,118566,1051,1.74012,1.33529,1.74012,1.33529,1,-2.49899
2,14,14,140.00000,-6.12836,5.14230,0,True,130.00000,139.25000,-0.75000,1709,False,2,123253,800,-1.55500,1.49964,-1.55500,1.49964,1,-3.96173
2,15,15,100.00000,-1.38919,7.87846,0,True,90.00000,99.50000,-0.50000,1926,False,2,127857,818,-0.59238,2.09538,-0.59238,2.09538,1,5.78600
2,16,16,120.00000,-4.00000,6.92820,0,True,110.00000,121.00000,1.00000,1842,False,2,132543,766,-0.94411,1.84887,-0.94411,1.84887,1,-2.94925
2,17,17,80.00000,1.38919,7.87846,0,True,70.00000,80.00000,0.00000,1793,False,2,137214,951,0.51833,2.01321,0.51833,2.01321,1,-4.43805
2,18,18,120.00000,-4.00000,6.92820,0,True,110.00000,120.75000,0.75000,2080,False,2,142418,951,-1.05518,1.84887,-1.05518,1.84887,1,-0.28590
2,19,19,160.00000,-7.51754,2.73616,0,True,150.00000,158.50000,-1.50000,1542,False,2,147021,900,-2.11036,0.63683,-2.11036,0.63683,1,3.20809
2,20,20,140.00000,-6.12836,5.14230,0,True,130.00000,140.00000,0.00000,2085,False,2,152442,951,-1.68458,1.08878,-1.68458,1.08878,1,7.12455
2,21,21,40.00000,6.12836,5.14230,0,True,30.00000,39.25000,-0.75000,1806,False,2,157930,1101,1.53649,1.45855,1.53649,1.45855,1,3.50933
2,22,22,100.00000,-1.38919,7.87846,0,True,90.00000,99.50000,-0.50000,3042,False,2,163951,834,-0.42577,2.01321,-0.42577,2.01321,1,1.94142
2,23,23,60.00000,4.00000,6.92820,0,True,50.00000,59.25000,-0.75000,1891,False,2,168955,951,1.09220,1.68452,1.09220,1.68452,1,-2.95835
2,24,24,20.00000,7.51754,2.73616,0,True,10.00000,20.25000,0.25000,1773,False,2,174092,784,1.83268,0.98606,1.83268,0.98606,1,8.28215
3,1,25,100.00000,-1.38919,7.87846,0,True,90.00000,99.75000,-0.25000,1842,False,2,179246,984,-0.18512,2.13647,-0.37094,2.10370,1,-5.04783
