task_idx,trial_idx,cutrial_no,targetangle_deg,targetx_cm,targety_cm,rotation_deg,doaiming_bool,aimstart_deg,aim_deg,aimdeviation_deg,aimtime_ms,zeroclamped_bool,phase,cutime_ms,time_ms,mousex_cm,mousey_cm,cursorx_cm,cursory_cm,deviation_bool
8,15,103,120.00000,-4.00000,6.92820,-50,True,110.00000,119.00000,-1.00000,1779,False,0,755358,0,0.03702,-0.10271,-0.05489,-0.09439,0
8,15,103,120.00000,-4.00000,6.92820,-50,True,110.00000,119.00000,-1.00000,1779,False,1,755374,16,0.03702,-0.10271,-0.05489,-0.09439,0
8,15,103,120.00000,-4.00000,6.92820,-50,True,110.00000,119.00000,-1.00000,1779,False,1,755391,33,0.03702,-0.10271,-0.05489,-0.09439,0
8,15,103,120.00000,-4.00000,6.92820,-50,True,110.00000,119.00000,-1.00000,1779,False,1,755407,49,0.03702,-0.10271,-0.05489,-0.09439,0
8,15,103,120.00000,-4.00000,6.92820,-50,True,110.00000,119.00000,-1.00000,1779,False,1,755424,66,0.03702,-0.10271,-0.05489,-0.09439,0
8,15,103,120.00000,-4.00000,6.92820,-50,True,110.00000,119.00000,-1.00000,1779,False,1,755441,83,0.03702,-0.10271,-0.05489,-0.09439,0
8,15,103,120.00000,-4.00000,6.92820,-50,True,110.00000,119.00000,-1.00000,1779,False,1,755458,100,0.03702,-0.10271,-0.05489,-0.09439,0
8,15,103,120.00000,-4.00000,6.92820,-50,True,110.00000,119.00000,-1.00000,1779,False,1,755475,117,0.03702,-0.10271,-0.05489,-0.09439,0
8,15,103,120.00000,-4.00000,6.92820,-50,True,110.00000,119.00000,-1.00000,1779,False,1,755491,133,0.03702,-0.10271,-0.05489,-0.09439,0
8,15,103,120.00000,-4.00000,6.92820,-50,True,110.00000,119.00000,-1.00000,1779,False,1,755508,150,0.03702,-0.10271,-0.05489,-0.09439,0
8,15,103,120.00000,-4.00000,6.92820,-50,True,110.00000,119.00000,-1.00000,1779,False,1,755524,166,0.03702,-0.10271,-0.05489,-0.09439,0
8,15,103,120.00000,-4.00000,6.92820,-50,True,110.00000,119.00000,-1.00000,1779,False,1,755541,183,0.03702,-0.10271,-0.05489,-0.09439,0
8,15,103,120.00000,-4.00000,6.92820,-50,True,110.00000,119.00000,-1.00000,1779,False,1,755558,200,0.03702,-0.10271,-0.05489,-0.09439,0
8,15,103,120.00000,-4.00000,6.92820,-50,True,110.00000,119.00000,-1.00000,1779,False,1,755574,216,0.03702,-0.10271,-0.05489,-0.09439,0
8,15,103,120.00000,-4.00000,6.92820,-50,True,110.00000,119.00000,-1.00000,1779,False,1,755591,233,0.03702,-0.10271,-0.05489,-0.09439,0
8,15,103,120.00000,-4.00000,6.92820,-50,True,110.00000,119.00000,-1.00000,1779,False,1,755608,250,0.03702,-0.10271,-0.05489,-0.09439,0
8,15,103,120.00000,-4.00000,6.92820,-50,True,110.00000,119.00000,-1.00000,1779,False,1,755625,267,0.03702,-0.10271,-0.05489,-0.09439,0
8,15,103,120.00000,-4.00000,6.92820,-50,True,110.00000,119.00000,-1.00000,1779,False,1,755641,283,0.03702,-0.10271,-0.05489,-0.09439,0
8,15,103,120.00000,-4.00000,6.92820,-50,True,110.00000,119.00000,-1.00000,1779,False,1,755658,300,0.03702,-0.10271,-0.05489,-0.09439,0
8,15,103,120.00000,-4.00000,6.92820,-50,True,110.00000,119.00000,-1.00000,1779,False,1,755674,316,0.03702,-0.10271,-0.05489,-0.09439,0
8,15,103,120.00000,-4.00000,6.92820,-50,True,110.00000,119.00000,-1.00000,1779,False,1,755691,333,0.03702,-0.10271,-0.05489,-0.09439,0
8,15,103,120.00000,-4.00000,6.92820,-50,True,110.00000,119.00000,-1.00000,1779,False,1,755708,350,0.03702,-0.10271,-0.05489,-0.09439,0
8,15,103,120.00000,-4.00000,6.92820,-50,True,110.00000,119.00000,-1.00000,1779,False,2,755724,366,0.03702,-0.10271,-0.05489,-0.09439,0
8,15,103,120.00000,-4.00000,6.92820,-50,True,110.00000,119.00000,-1.00000,1779,False,2,755741,383,0.03702,-0.10271,-0.05489,-0.09439,0
8,15,103,120.00000,-4.00000,6.92820,-50,True,110.00000,119.00000,-1.00000,1779,False,2,755758,400,0.03702,-0.10271,-0.05489,-0.09439,0
8,15,103,120.00000,-4.00000,6.92820,-50,True,110.00000,119.00000,-1.00000,1779,False,2,755774,416,0.03702,-0.10271,-0.05489,-0.09439,0
8,15,103,120.00000,-4.00000,6.92820,-50,True,110.00000,119.00000,-1.00000,1779,False,2,755791,433,0.03702,-0.10271,-0.05489,-0.09439,0
8,15,103,120.00000,-4.00000,6.92820,-50,True,110.00000,119.00000,-1.00000,1779,False,2,755808,450,0.03702,-0.10271,-0.05489,-0.09439,0
8,15,103,120.00000,-4.00000,6.92820,-50,True,110.00000,119.00000,-1.00000,1779,False,2,755824,466,0.03702,-0.10271,-0.05489,-0.09439,0
8,15,103,120.00000,-4.00000,6.92820,-50,True,110.00000,119.00000,-1.00000,1779,False,2,755841,483,0.03702,-0.10271,-0.05489,-0.09439,0
8,15,103,120.00000,-4.00000,6.92820,-50,True,110.00000,119.00000,-1.00000,1779,False,2,755858,500,0.03702,-0.10271,-0.05489,-0.09439,0
8,15,103,120.00000,-4.00000,6.92820,-50,True,110.00000,119.00000,-1.00000,1779,False,2,755875,517,0.03702,-0.10271,-0.05489,-0.09439,0
8,15,103,120.00000,-4.00000,6.92820,-50,True,110.00000,119.00000,-1.00000,1779,False,2,755891,533,0.03702,-0.10271,-0.05489,-0.09439,0
8,15,103,120.00000,-4.00000,6.92820,-50,True,110.00000,119.00000,-1.00000,1779,False,2,755908,550,0.03702,-0.10271,-0.05489,-0.09439,0
8,15,103,120.00000,-4.00000,6.92820,-50,True,110.00000,119.00000,-1.00000,1779,False,2,755925,567,0.03702,-0.10271,-0.05489,-0.09439,0
8,15,103,120.00000,-4.00000,6.92820,-50,True,110.00000,119.00000,-1.00000,1779,False,2,755941,583,0.03702,-0.10271,-0.05489,-0.09439,0
8,15,103,120.00000,-4.00000,6.92820,-50,True,110.00000,119.00000,-1.00000,1779,False,2,755958,600,0.03702,-0.10271,-0.05489,-0.09439,0
8,15,103,120.00000,-4.00000,6.92820,-50,True,110.00000,119.00000,-1.00000,1779,False,2,755975,617,0.03702,-0.10271,-0.05489,-0.09439,0
8,15,103,120.00000,-4.00000,6.92820,-50,True,110.00000,119.00000,-1.00000,1779,False,2,755991,633,0.03702,-0.10271,-0.05489,-0.09439,0
8,15,103,120.00000,-4.00000,6.92820,-50,True,110.00000,119.00000,-1.00000,1779,False,2,756008,650,0.03702,-0.10271,-0.05489,-0.09439,0
