task_idx,trial_idx,cutrial_no,targetangle_deg,targetx_cm,targety_cm,rotation_deg,doaiming_bool,aimstart_deg,aim_deg,aimdeviation_deg,aimtime_ms,zeroclamped_bool,phase,cutime_ms,time_ms,mousex_cm,mousey_cm,cursorx_cm,cursory_cm,deviation_bool,reachdeviation_deg
2,1,1,40.00000,6.12836,5.14230,0,True,30.00000,38.50000,-1.50000,3202,False,2,47216,1985,1.53649,1.47909,1.53649,1.47909,1,3.90954
2,2,2,140.00000,-6.12836,5.14230,0,True,130.00000,139.00000,-1.00000,2990,False,2,54204,850,-1.49946,1.52018,-1.49946,1.52018,1,-5.39314
2,3,3,60.00000,4.00000,6.92820,0,True,50.00000,59.50000,-0.50000,6406,False,2,65596,1150,1.22179,1.62289,1.22179,1.62289,1,-6.97420
2,4,4,160.00000,-7.51754,2.73616,0,True,150.00000,159.25000,-0.75000,6006,False,2,76521,967,-1.96226,0.41086,-1.96226,0.41086,1,8.17419
2,5,5,20.00000,7.51754,2.73616,0,True,10.00000,19.75000,-0.25000,3185,False,2,85261,1201,1.88821,0.84226,1.88821,0.84226,1,4.03987
2,6,6,120.00000,-4.00000,6.92820,0,True,110.00000,119.25000,-0.75000,4667,False,2,95569,901,-1.29583,1.60235,-1.29583,1.60235,1,8.96267
2,7,7,80.00000,1.38919,7.87846,0,True,70.00000,79.25000,-0.75000,6190,False,2,106377,1084,0.33321,2.01321,0.33321,2.01321,1,0.60207
2,8,8,100.00000,-1.38919,7.87846,0,True,90.00000,100.00000,0.00000,4621,False,2,115568,1018,-0.37024,2.01321,-0.37024,2.01321,1,0.42056
2,9,9,20.00000,7.51754,2.73616,0,True,10.00000,19.00000,-1.00000,3407,False,2,123257,1051,1.96226,1.04769,1.96226,1.04769,1,8.09865
2,10,10,100.00000,-1.38919,7.87846,0,True,90.00000,100.50000,0.50000,4386,False,2,134097,1934,-0.24065,2.05430,-0.24065,2.05430,1,-3.31856
2,11,11,40.00000,6.12836,5.14230,0,True,30.00000,38.00000,-2.00000,2835,False,2,141270,1218,1.59202,1.52018,1.59202,1.52018,1,3.67766
2,12,12,60.00000,4.00000,6.92820,0,True,50.00000,59.00000,-1.00000,5125,False,2,150010,1034,1.07369,1.84887,1.07369,1.84887,1,-0.14492
2,13,13,80.00000,1.38919,7.87846,0,True,70.00000,79.50000,-0.50000,2621,False,2,156899,1001,0.44429,2.05430,0.44429,2.05430,1,-2.20359
2,14,14,140.00000,-6.12836,5.14230,0,True,130.00000,139.00000,-1.00000,3201,False,2,165405,984,-1.59202,1.56127,-1.59202,1.56127,1,-4.44129
2,15,15,120.00000,-4.00000,6.92820,0,True,110.00000,118.50000,-1.50000,2704,False,2,172327,1000,-1.20327,1.68452,-1.20327,1.68452,1,5.53861
2,16,16,160.00000,-7.51754,2.73616,0,True,150.00000,158.75000,-1.25000,4303,False,2,181885,1018,-1.92524,1.06823,-1.92524,1.06823,1,-9.02394
2,17,17,60.00000,4.00000,6.92820,0,True,50.00000,59.25000,-0.75000,4053,False,2,191659,1235,0.96262,1.82832,0.96262,1.82832,1,2.23296
2,18,18,140.00000,-6.12836,5.14230,0,True,130.00000,140.00000,0.00000,2420,False,2,198997,1050,-1.55500,1.27366,-1.55500,1.27366,1,0.67999
2,19,19,40.00000,6.12836,5.14230,0,True,30.00000,38.75000,-1.25000,2856,False,2,205736,934,1.55500,1.41746,1.55500,1.41746,1,2.35073
2,20,20,120.00000,-4.00000,6.92820,0,True,110.00000,118.75000,-1.25000,2823,False,2,212641,1101,-1.11071,1.70507,-1.11071,1.70507,1,3.08087
2,21,21,160.00000,-7.51754,2.73616,0,True,150.00000,160.75000,0.75000,4238,False,2,221698,1051,-1.79565,0.88335,-1.79565,0.88335,1,-6.19437
2,22,22,20.00000,7.51754,2.73616,0,True,10.00000,20.00000,0.00000,3055,False,2,228553,1017,1.81417,0.86280,1.81417,0.86280,1,5.43526
2,23,23,80.00000,1.38919,7.87846,0,True,70.00000,80.25000,0.25000,3423,False,2,237060,2202,0.61089,1.97212,0.61089,1.97212,1,-7.21105
2,24,24,100.00000,-1.38919,7.87846,0,True,90.00000,100.25000,0.25000,2522,False,2,242714,1017,-0.12958,2.05430,-0.12958,2.05430,1,-6.39071
3,1,25,120.00000,-4.00000,6.92820,0,True,110.00000,120.75000,0.75000,3406,False,2,250353,1250,-1.05518,1.72561,-1.01101,1.75111,1,1.44505
3,2,26,140.00000,-6.12836,5.14230,0,True,130.00000,140.00000,0.00000,2256,False,2,255974,1017,-1.62905,1.17095,-1.53254,1.28596,1,4.29168
3,3,27,60.00000,4.00000,6.92820,0,True,50.00000,59.50000,-0.50000,1925,False,2,261178,1100,0.88857,1.84887,1.02273,1.77141,1,4.33098
3,4,28,80.00000,1.38919,7.87846,0,True,70.00000,80.00000,0.00000,2476,False,2,266832,917,0.37024,2.07484,0.36598,2.07559,1,-0.11752
3,5,29,40.00000,6.12836,5.14230,0,True,30.00000,40.00000,0.00000,2592,False,2,272403,951,1.38839,1.80778,1.70490,1.43058,1,12.47544
3,6,30,100.00000,-1.38919,7.87846,0,True,90.00000,101.00000,1.00000,2376,False,2,277824,967,-0.29619,2.17755,-0.38131,2.16254,1,-2.25417
3,7,31,160.00000,-7.51754,2.73616,0,True,150.00000,160.50000,0.50000,2708,False,2,284029,951,-2.09185,0.63683,-2.05182,0.74680,1,3.06797
3,8,32,20.00000,7.51754,2.73616,0,True,10.00000,20.75000,0.75000,2423,False,2,290184,1035,1.92524,1.17095,2.07636,0.75573,1,11.30838
3,9,33,60.00000,4.00000,6.92820,0,True,50.00000,59.50000,-0.50000,2307,False,2,295638,967,1.11071,1.78724,1.05158,1.82138,1,-1.85957
3,10,34,100.00000,-1.38919,7.87846,0,True,90.00000,101.50000,1.50000,2341,False,2,301392,1000,-0.22214,2.09538,-0.36503,2.07019,1,-3.94844
3,11,35,140.00000,-6.12836,5.14230,0,True,130.00000,139.00000,-1.00000,2574,False,2,307463,950,-2.01780,0.76009,-1.55836,1.30762,1,19.35899
3,12,36,160.00000,-7.51754,2.73616,0,True,150.00000,161.00000,1.00000,3457,False,2,314519,1018,-1.92524,0.73955,-1.93771,0.70527,1,-1.01348
3,13,37,40.00000,6.12836,5.14230,0,True,30.00000,40.50000,0.50000,2657,False,2,321040,1017,1.36988,1.62289,1.60300,1.34508,1,9.83232
3,14,38,80.00000,1.38919,7.87846,0,True,70.00000,79.75000,-0.25000,2456,False,2,327195,934,0.44429,2.19810,0.38929,2.20779,1,-1.42693
3,15,39,20.00000,7.51754,2.73616,0,True,10.00000,20.00000,0.00000,3775,False,2,334717,967,1.77714,0.98606,1.88617,0.68651,1,9.02405
3,16,40,120.00000,-4.00000,6.92820,0,True,110.00000,119.50000,-0.50000,5728,False,2,345109,2002,-1.62905,1.52018,-1.06552,1.84553,1,16.97995
4,1,41,120.00000,-4.00000,6.92820,0,True,110.00000,120.50000,0.50000,2620,False,2,351931,1084,-1.40690,1.49964,-1.40690,1.49964,1,13.17246
4,2,42,100.00000,-1.38919,7.87846,0,True,90.00000,100.50000,0.50000,8544,False,2,364824,1701,-0.81452,2.07484,-0.81452,2.07484,1,11.43348
4,3,43,20.00000,7.51754,2.73616,0,True,10.00000,21.25000,1.25000,4256,False,2,372463,1184,1.90673,0.98606,1.90673,0.98606,1,7.34562
4,4,44,160.00000,-7.51754,2.73616,0,True,150.00000,158.50000,-1.50000,4570,False,2,382620,950,-1.94375,0.53412,-1.94375,0.53412,1,4.63502
4,5,45,40.00000,6.12836,5.14230,0,True,30.00000,39.75000,-0.25000,2756,False,2,389642,1351,1.59202,1.37638,1.59202,1.37638,1,0.84504
4,6,46,60.00000,4.00000,6.92820,0,True,50.00000,58.00000,-2.00000,4040,False,2,398382,1834,0.98113,1.93104,0.98113,1.93104,1,3.06562
4,7,47,140.00000,-6.12836,5.14230,0,True,130.00000,139.75000,-0.25000,2388,False,2,404270,984,-1.57351,1.29421,-1.57351,1.29421,1,0.56275
4,8,48,80.00000,1.38919,7.87846,0,True,70.00000,80.25000,0.25000,2805,False,2,411542,1050,0.27768,2.13647,0.27768,2.13647,1,2.59470
5,1,49,100.00000,-1.38919,7.87846,0,True,90.00000,99.75000,-0.25000,6337,False,2,439664,2218,-0.38875,2.13647,-0.38875,2.13647,1,0.31266
5,2,50,140.00000,-6.12836,5.14230,0,True,130.00000,140.50000,0.50000,3418,False,2,447353,834,-1.51798,1.56127,-1.51798,1.56127,1,-5.80545
5,3,51,120.00000,-4.00000,6.92820,0,True,110.00000,121.25000,1.25000,3007,False,2,454141,967,-1.46244,1.60235,-1.46244,1.60235,1,12.38622
5,4,52,60.00000,4.00000,6.92820,0,True,50.00000,58.50000,-1.50000,2270,False,2,462665,2802,0.66643,2.03375,0.66643,2.03375,1,11.85679
5,5,53,80.00000,1.38919,7.87846,0,True,70.00000,79.50000,-0.50000,2300,False,2,469537,1134,0.77750,2.01321,0.77750,2.01321,1,-11.11652
5,6,54,40.00000,6.12836,5.14230,0,True,30.00000,39.50000,-0.50000,2739,False,2,475875,851,1.36988,1.66398,1.36988,1.66398,1,10.53691
5,7,55,20.00000,7.51754,2.73616,0,True,10.00000,20.25000,0.25000,2404,False,2,483514,917,2.03631,0.80118,2.03631,0.80118,1,1.47701
5,8,56,160.00000,-7.51754,2.73616,0,True,150.00000,159.25000,-0.75000,3372,False,2,493138,2769,-1.96226,0.67792,-1.96226,0.67792,1,0.94103
5,9,57,40.00000,6.12836,5.14230,0,True,30.00000,39.50000,-0.50000,2818,False,2,500243,1017,1.68458,1.25312,1.68458,1.25312,1,-3.35530
5,10,58,100.00000,-1.38919,7.87846,0,True,90.00000,100.75000,0.75000,5141,False,2,509250,867,-0.70345,1.99267,-0.70345,1.99267,1,9.44399
5,11,59,140.00000,-6.12836,5.14230,0,True,130.00000,139.50000,-0.50000,2822,False,2,515988,867,-1.59202,1.23258,-1.59202,1.23258,1,2.25211
5,12,60,120.00000,-4.00000,6.92820,0,True,110.00000,119.50000,-0.50000,2759,False,2,522010,918,-1.29583,1.64344,-1.29583,1.64344,1,8.25530
5,13,61,160.00000,-7.51754,2.73616,0,True,150.00000,159.25000,-0.75000,2673,False,2,528415,884,-1.72161,1.12986,-1.72161,1.12986,1,-13.27613
