task_idx,trial_idx,cutrial_no,targetangle_deg,targetx_cm,targety_cm,rotation_deg,doaiming_bool,aimstart_deg,aim_deg,aimdeviation_deg,aimtime_ms,zeroclamped_bool,phase,cutime_ms,time_ms,mousex_cm,mousey_cm,cursorx_cm,cursory_cm,deviation_bool
8,110,198,120.00000,-4.00000,6.92820,-50,True,110.00000,142.50000,22.50000,2541,False,0,1493304,0,0.00000,0.04109,0.03147,0.02641,0
8,110,198,120.00000,-4.00000,6.92820,-50,True,110.00000,142.50000,22.50000,2541,False,1,1493321,17,0.00000,0.04109,0.03147,0.02641,0
8,110,198,120.00000,-4.00000,6.92820,-50,True,110.00000,142.50000,22.50000,2541,False,1,1493338,34,0.00000,0.04109,0.03147,0.02641,0
8,110,198,120.00000,-4.00000,6.92820,-50,True,110.00000,142.50000,22.50000,2541,False,1,1493355,51,0.00000,0.04109,0.03147,0.02641,0
8,110,198,120.00000,-4.00000,6.92820,-50,True,110.00000,142.50000,22.50000,2541,False,1,1493371,67,0.00000,0.04109,0.03147,0.02641,0
8,110,198,120.00000,-4.00000,6.92820,-50,True,110.00000,142.50000,22.50000,2541,False,1,1493388,84,0.00000,0.04109,0.03147,0.02641,0
8,110,198,120.00000,-4.00000,6.92820,-50,True,110.00000,142.50000,22.50000,2541,False,1,1493405,101,0.00000,0.04109,0.03147,0.02641,0
8,110,198,120.00000,-4.00000,6.92820,-50,True,110.00000,142.50000,22.50000,2541,False,1,1493421,117,0.00000,0.04109,0.03147,0.02641,0
8,110,198,120.00000,-4.00000,6.92820,-50,True,110.00000,142.50000,22.50000,2541,False,1,1493438,134,-0.01851,0.04109,0.01957,0.04059,0
8,110,198,120.00000,-4.00000,6.92820,-50,True,110.00000,142.50000,22.50000,2541,False,1,1493455,151,-0.01851,0.04109,0.01957,0.04059,0
8,110,198,120.00000,-4.00000,6.92820,-50,True,110.00000,142.50000,22.50000,2541,False,1,1493471,167,-0.05554,0.06163,0.01151,0.08216,0
8,110,198,120.00000,-4.00000,6.92820,-50,True,110.00000,142.50000,22.50000,2541,False,1,1493488,184,-0.07405,0.08217,0.01535,0.10954,0
8,110,198,120.00000,-4.00000,6.92820,-50,True,110.00000,142.50000,22.50000,2541,False,1,1493505,201,-0.14810,0.08217,-0.03225,0.16627,0
8,110,198,120.00000,-4.00000,6.92820,-50,True,110.00000,142.50000,22.50000,2541,False,1,1493521,217,-0.20363,0.10271,-0.05221,0.22201,0
8,110,198,120.00000,-4.00000,6.92820,-50,True,110.00000,142.50000,22.50000,2541,False,1,1493538,234,-0.27768,0.10271,-0.09980,0.27874,0
8,110,198,120.00000,-4.00000,6.92820,-50,True,110.00000,142.50000,22.50000,2541,False,0,1493555,251,-0.42577,0.10271,-0.19500,0.39219,0
8,110,198,120.00000,-4.00000,6.92820,-50,True,110.00000,142.50000,22.50000,2541,False,0,1493571,267,-0.53685,0.10271,-0.26639,0.47727,0
8,110,198,120.00000,-4.00000,6.92820,-50,True,110.00000,142.50000,22.50000,2541,False,0,1493588,284,-0.64792,0.12326,-0.32205,0.57556,0
