task_idx,trial_idx,cutrial_no,targetangle_deg,targetx_cm,targety_cm,rotation_deg,doaiming_bool,aimstart_deg,aim_deg,aimdeviation_deg,aimtime_ms,zeroclamped_bool,phase,cutime_ms,time_ms,mousex_cm,mousey_cm,cursorx_cm,cursory_cm,deviation_bool,reachdeviation_deg
2,1,1,100.00000,-1.38919,7.87846,0,True,90.00000,100.50000,0.50000,3770,False,2,49271,12476,-0.40726,2.03375,-0.40726,2.03375,1,1.32375
2,2,2,140.00000,-6.12836,5.14230,0,True,130.00000,141.75000,1.75000,2552,False,2,55759,1134,-1.40690,1.45855,-1.40690,1.45855,1,-6.03265
2,3,3,60.00000,4.00000,6.92820,0,True,50.00000,59.75000,-0.25000,1729,False,2,64749,917,1.27732,1.58181,1.27732,1.58181,1,-8.92106
2,4,4,40.00000,6.12836,5.14230,0,True,30.00000,42.00000,2.00000,1618,False,2,71271,684,1.70310,1.31475,1.70310,1.31475,1,-2.33277
2,5,5,20.00000,7.51754,2.73616,0,True,10.00000,21.00000,1.00000,1859,False,2,80728,884,1.86970,0.82172,1.86970,0.82172,1,3.72515
2,6,6,160.00000,-7.51754,2.73616,0,True,150.00000,159.75000,-0.25000,1504,False,2,86416,917,-2.09185,0.49303,-2.09185,0.49303,1,6.73794
2,7,7,80.00000,1.38919,7.87846,0,True,70.00000,79.75000,-0.25000,1683,False,2,93338,784,0.35173,2.05430,0.35173,2.05430,1,0.28423
2,8,8,120.00000,-4.00000,6.92820,0,True,110.00000,120.50000,0.50000,2541,False,2,99443,684,-1.03667,1.84887,-1.03667,1.84887,1,-0.72045
2,9,9,120.00000,-4.00000,6.92820,0,True,110.00000,120.25000,0.25000,1956,False,2,105047,717,-1.36988,1.56127,-1.36988,1.56127,1,11.26416
2,10,10,140.00000,-6.12836,5.14230,0,True,130.00000,138.25000,-1.75000,1437,False,2,110818,900,-1.77714,1.27366,-1.77714,1.27366,1,4.37118
2,11,11,60.00000,4.00000,6.92820,0,True,50.00000,60.25000,0.25000,1418,False,2,117223,650,1.46244,1.66398,1.46244,1.66398,1,-11.31162
2,12,12,40.00000,6.12836,5.14230,0,True,30.00000,38.75000,-1.25000,1370,False,2,123178,651,1.59202,1.27366,1.59202,1.27366,1,-1.33923
2,13,13,100.00000,-1.38919,7.87846,0,True,90.00000,99.75000,-0.25000,1587,False,2,129232,734,-0.46280,2.19810,-0.46280,2.19810,1,1.88971
2,14,14,80.00000,1.38919,7.87846,0,True,70.00000,81.25000,1.25000,1540,False,2,136938,3319,0.61089,1.95158,0.61089,1.95158,1,-7.38134
2,15,15,20.00000,7.51754,2.73616,0,True,10.00000,21.25000,1.25000,1715,False,2,147196,5204,1.75863,1.35584,1.75863,1.35584,1,17.63092
2,16,16,160.00000,-7.51754,2.73616,0,True,150.00000,159.25000,-0.75000,1407,False,2,154919,1001,-2.09185,0.71900,-2.09185,0.71900,1,1.03139
2,17,17,20.00000,7.51754,2.73616,0,True,10.00000,20.25000,0.25000,1365,False,2,161957,733,1.74012,1.00661,1.74012,1.00661,1,10.04816
2,18,18,160.00000,-7.51754,2.73616,0,True,150.00000,159.25000,-0.75000,1507,False,2,167462,1118,-1.98077,0.63683,-1.98077,0.63683,1,2.17708
2,19,19,120.00000,-4.00000,6.92820,0,True,110.00000,121.25000,1.25000,1517,False,2,174100,784,-1.55500,1.39692,-1.55500,1.39692,1,18.06535
2,20,20,140.00000,-6.12836,5.14230,0,True,130.00000,138.00000,-2.00000,1223,False,2,178754,667,-1.92524,0.84226,-1.92524,0.84226,1,16.37143
2,21,21,40.00000,6.12836,5.14230,0,True,30.00000,38.75000,-1.25000,1735,False,2,186026,801,1.55500,1.47909,1.55500,1.47909,1,3.56681
2,22,22,80.00000,1.38919,7.87846,0,True,70.00000,80.25000,0.25000,1598,False,2,194266,951,0.79601,1.84887,0.79601,1.84887,1,-13.29375
2,23,23,100.00000,-1.38919,7.87846,0,True,90.00000,100.75000,0.75000,1420,False,2,201638,2752,-0.22214,2.09538,-0.22214,2.09538,1,-3.94844
2,24,24,60.00000,4.00000,6.92820,0,True,50.00000,58.75000,-1.25000,1398,False,2,208026,667,1.01815,1.74615,1.01815,1.74615,1,-0.24573
3,1,25,60.00000,4.00000,6.92820,0,True,50.00000,61.50000,1.50000,1720,False,2,213897,617,1.18476,1.72561,1.04340,1.80722,1,-4.47250
3,2,26,120.00000,-4.00000,6.92820,0,True,110.00000,121.75000,1.75000,1437,False,2,222137,2852,-1.25881,1.82832,-1.10639,1.91632,1,4.54766
3,3,27,160.00000,-7.51754,2.73616,0,True,150.00000,159.25000,-0.75000,2149,False,2,229326,1217,-1.99929,0.86280,-2.04271,0.74349,1,-3.34277
3,4,28,80.00000,1.38919,7.87846,0,True,70.00000,80.75000,0.75000,1823,False,2,234347,634,-0.01851,2.09538,0.35777,2.02903,1,10.50612
3,5,29,140.00000,-6.12836,5.14230,0,True,130.00000,137.25000,-2.75000,1259,False,2,239384,1585,-1.66607,1.27366,-1.60485,1.34663,1,2.60318
3,6,30,100.00000,-1.38919,7.87846,0,True,90.00000,100.00000,0.00000,1440,False,2,243887,934,-1.18476,1.82832,-0.34839,1.97580,1,22.94343
3,7,31,20.00000,7.51754,2.73616,0,True,10.00000,18.25000,-1.75000,1155,False,2,248608,884,1.81417,0.98606,1.91886,0.69841,1,8.52551
3,8,32,40.00000,6.12836,5.14230,0,True,30.00000,39.00000,-1.00000,1440,False,2,253361,967,1.99929,0.92443,1.62842,1.36641,1,-15.18516
3,9,33,100.00000,-1.38919,7.87846,0,True,90.00000,99.50000,-0.50000,1457,False,2,258165,867,-0.51833,1.99267,-0.35640,2.02122,1,4.58057
3,10,34,120.00000,-4.00000,6.92820,0,True,110.00000,119.50000,-0.50000,1173,False,2,262635,734,-1.20327,1.68452,-1.03024,1.78442,1,5.53861
3,11,35,40.00000,6.12836,5.14230,0,True,30.00000,40.00000,0.00000,1740,False,2,269824,2402,1.62905,1.41746,1.65393,1.38781,1,1.02700
3,12,36,160.00000,-7.51754,2.73616,0,True,150.00000,160.00000,0.00000,1453,False,2,273944,784,-1.96226,0.65737,-1.94400,0.70756,1,1.47881
3,13,37,80.00000,1.38919,7.87846,0,True,70.00000,78.25000,-1.75000,1260,False,2,280399,3186,0.48131,2.09538,0.37284,2.11451,1,-2.93647
