task_idx,trial_idx,cutrial_no,targetangle_deg,targetx_cm,targety_cm,cursortype,rotation_deg,doaiming_bool,aimstart_deg,aim_deg,aimdeviation_deg,aimtime_ms,phase,cutime_ms,time_ms,mousex_cm,mousey_cm,cursorx_cm,cursory_cm,deviation_bool
12,26,138,120.00000,-4.00000,6.92820,regular,-50,True,110.00000,119.75000,-0.25000,2741,0,1244404,0,0.03702,0.06163,0.07101,0.01125,0
12,26,138,120.00000,-4.00000,6.92820,regular,-50,True,110.00000,119.75000,-0.25000,2741,1,1244421,17,0.03702,0.06163,0.07101,0.01125,0
12,26,138,120.00000,-4.00000,6.92820,regular,-50,True,110.00000,119.75000,-0.25000,2741,1,1244437,33,0.03702,0.06163,0.07101,0.01125,0
12,26,138,120.00000,-4.00000,6.92820,regular,-50,True,110.00000,119.75000,-0.25000,2741,1,1244454,50,0.03702,0.06163,0.07101,0.01125,0
12,26,138,120.00000,-4.00000,6.92820,regular,-50,True,110.00000,119.75000,-0.25000,2741,1,1244471,67,0.03702,0.06163,0.07101,0.01125,0
12,26,138,120.00000,-4.00000,6.92820,regular,-50,True,110.00000,119.75000,-0.25000,2741,1,1244488,84,0.03702,0.06163,0.07101,0.01125,0
12,26,138,120.00000,-4.00000,6.92820,regular,-50,True,110.00000,119.75000,-0.25000,2741,1,1244504,100,0.03702,0.06163,0.07101,0.01125,0
12,26,138,120.00000,-4.00000,6.92820,regular,-50,True,110.00000,119.75000,-0.25000,2741,1,1244521,117,0.03702,0.06163,0.07101,0.01125,0
12,26,138,120.00000,-4.00000,6.92820,regular,-50,True,110.00000,119.75000,-0.25000,2741,1,1244537,133,0.01851,0.08217,0.07485,0.03864,0
12,26,138,120.00000,-4.00000,6.92820,regular,-50,True,110.00000,119.75000,-0.25000,2741,1,1244554,150,0.01851,0.08217,0.07485,0.03864,0
12,26,138,120.00000,-4.00000,6.92820,regular,-50,True,110.00000,119.75000,-0.25000,2741,1,1244571,167,0.01851,0.08217,0.07485,0.03864,0
12,26,138,120.00000,-4.00000,6.92820,regular,-50,True,110.00000,119.75000,-0.25000,2741,1,1244588,184,0.00000,0.08217,0.06295,0.05282,0
12,26,138,120.00000,-4.00000,6.92820,regular,-50,True,110.00000,119.75000,-0.25000,2741,1,1244604,200,0.00000,0.08217,0.06295,0.05282,0
12,26,138,120.00000,-4.00000,6.92820,regular,-50,True,110.00000,119.75000,-0.25000,2741,1,1244621,217,0.00000,0.08217,0.06295,0.05282,0
12,26,138,120.00000,-4.00000,6.92820,regular,-50,True,110.00000,119.75000,-0.25000,2741,1,1244638,234,0.00000,0.08217,0.06295,0.05282,0
12,26,138,120.00000,-4.00000,6.92820,regular,-50,True,110.00000,119.75000,-0.25000,2741,1,1244654,250,0.00000,0.08217,0.06295,0.05282,0
12,26,138,120.00000,-4.00000,6.92820,regular,-50,True,110.00000,119.75000,-0.25000,2741,1,1244671,267,0.00000,0.08217,0.06295,0.05282,0
12,26,138,120.00000,-4.00000,6.92820,regular,-50,True,110.00000,119.75000,-0.25000,2741,1,1244687,283,0.00000,0.08217,0.06295,0.05282,0
12,26,138,120.00000,-4.00000,6.92820,regular,-50,True,110.00000,119.75000,-0.25000,2741,1,1244704,300,0.00000,0.08217,0.06295,0.05282,0
12,26,138,120.00000,-4.00000,6.92820,regular,-50,True,110.00000,119.75000,-0.25000,2741,1,1244721,317,0.00000,0.08217,0.06295,0.05282,0
12,26,138,120.00000,-4.00000,6.92820,regular,-50,True,110.00000,119.75000,-0.25000,2741,1,1244738,334,-0.01851,0.08217,0.05105,0.06700,0
12,26,138,120.00000,-4.00000,6.92820,regular,-50,True,110.00000,119.75000,-0.25000,2741,1,1244754,350,-0.01851,0.08217,0.05105,0.06700,0
12,26,138,120.00000,-4.00000,6.92820,regular,-50,True,110.00000,119.75000,-0.25000,2741,2,1244771,367,-0.01851,0.08217,0.05105,0.06700,0
12,26,138,120.00000,-4.00000,6.92820,regular,-50,True,110.00000,119.75000,-0.25000,2741,2,1244788,384,-0.01851,0.08217,0.05105,0.06700,0
12,26,138,120.00000,-4.00000,6.92820,regular,-50,True,110.00000,119.75000,-0.25000,2741,2,1244804,400,-0.01851,0.08217,0.05105,0.06700,0
12,26,138,120.00000,-4.00000,6.92820,regular,-50,True,110.00000,119.75000,-0.25000,2741,2,1244821,417,-0.01851,0.08217,0.05105,0.06700,0
12,26,138,120.00000,-4.00000,6.92820,regular,-50,True,110.00000,119.75000,-0.25000,2741,2,1244838,434,-0.01851,0.08217,0.05105,0.06700,0
12,26,138,120.00000,-4.00000,6.92820,regular,-50,True,110.00000,119.75000,-0.25000,2741,2,1244854,450,-0.01851,0.08217,0.05105,0.06700,0
12,26,138,120.00000,-4.00000,6.92820,regular,-50,True,110.00000,119.75000,-0.25000,2741,2,1244871,467,-0.01851,0.08217,0.05105,0.06700,0
12,26,138,120.00000,-4.00000,6.92820,regular,-50,True,110.00000,119.75000,-0.25000,2741,2,1244888,484,-0.01851,0.08217,0.05105,0.06700,0
12,26,138,120.00000,-4.00000,6.92820,regular,-50,True,110.00000,119.75000,-0.25000,2741,2,1244904,500,-0.01851,0.08217,0.05105,0.06700,0
12,26,138,120.00000,-4.00000,6.92820,regular,-50,True,110.00000,119.75000,-0.25000,2741,2,1244921,517,-0.01851,0.08217,0.05105,0.06700,0
12,26,138,120.00000,-4.00000,6.92820,regular,-50,True,110.00000,119.75000,-0.25000,2741,2,1244938,534,-0.01851,0.08217,0.05105,0.06700,0
12,26,138,120.00000,-4.00000,6.92820,regular,-50,True,110.00000,119.75000,-0.25000,2741,2,1244954,550,-0.01851,0.08217,0.05105,0.06700,0
12,26,138,120.00000,-4.00000,6.92820,regular,-50,True,110.00000,119.75000,-0.25000,2741,2,1244971,567,-0.01851,0.08217,0.05105,0.06700,0
12,26,138,120.00000,-4.00000,6.92820,regular,-50,True,110.00000,119.75000,-0.25000,2741,2,1244988,584,-0.01851,0.08217,0.05105,0.06700,0
12,26,138,120.00000,-4.00000,6.92820,regular,-50,True,110.00000,119.75000,-0.25000,2741,2,1245005,601,-0.01851,0.08217,0.05105,0.06700,0
12,26,138,120.00000,-4.00000,6.92820,regular,-50,True,110.00000,119.75000,-0.25000,2741,2,1245021,617,-0.01851,0.08217,0.05105,0.06700,0
12,26,138,120.00000,-4.00000,6.92820,regular,-50,True,110.00000,119.75000,-0.25000,2741,2,1245038,634,-0.01851,0.08217,0.05105,0.06700,0
12,26,138,120.00000,-4.00000,6.92820,regular,-50,True,110.00000,119.75000,-0.25000,2741,2,1245055,651,-0.03702,0.08217,0.03915,0.08118,0
12,26,138,120.00000,-4.00000,6.92820,regular,-50,True,110.00000,119.75000,-0.25000,2741,2,1245071,667,-0.03702,0.08217,0.03915,0.08118,0
12,26,138,120.00000,-4.00000,6.92820,regular,-50,True,110.00000,119.75000,-0.25000,2741,2,1245088,684,-0.05554,0.08217,0.02725,0.09536,0
12,26,138,120.00000,-4.00000,6.92820,regular,-50,True,110.00000,119.75000,-0.25000,2741,2,1245104,700,-0.05554,0.08217,0.02725,0.09536,0
12,26,138,120.00000,-4.00000,6.92820,regular,-50,True,110.00000,119.75000,-0.25000,2741,2,1245121,717,-0.05554,0.08217,0.02725,0.09536,0
12,26,138,120.00000,-4.00000,6.92820,regular,-50,True,110.00000,119.75000,-0.25000,2741,2,1245138,734,-0.07405,0.10271,0.03109,0.12275,0
12,26,138,120.00000,-4.00000,6.92820,regular,-50,True,110.00000,119.75000,-0.25000,2741,2,1245155,751,-0.09256,0.12326,0.03492,0.15013,0
12,26,138,120.00000,-4.00000,6.92820,regular,-50,True,110.00000,119.75000,-0.25000,2741,2,1245171,767,-0.11107,0.12326,0.02303,0.16431,0
12,26,138,120.00000,-4.00000,6.92820,regular,-50,True,110.00000,119.75000,-0.25000,2741,2,1245188,784,-0.12958,0.14380,0.02686,0.19170,0
