task_idx,trial_idx,cutrial_no,targetangle_deg,targetx_cm,targety_cm,rotation_deg,doaiming_bool,aimstart_deg,aim_deg,aimdeviation_deg,aimtime_ms,zeroclamped_bool,phase,cutime_ms,time_ms,mousex_cm,mousey_cm,cursorx_cm,cursory_cm,deviation_bool,reachdeviation_deg
2,1,1,60.00000,4.00000,6.92820,0,True,50.00000,59.00000,-1.00000,6505,False,2,55191,6455,1.49946,1.68452,1.49946,1.68452,1,-11.67358
2,2,2,120.00000,-4.00000,6.92820,0,True,110.00000,119.25000,-0.75000,5437,False,2,64849,1952,-0.96262,1.82832,-0.96262,1.82832,1,-2.23296
2,3,3,100.00000,-1.38919,7.87846,0,True,90.00000,99.50000,-0.50000,5724,False,2,74156,934,-0.51833,2.07484,-0.51833,2.07484,1,4.02637
2,4,4,140.00000,-6.12836,5.14230,0,True,130.00000,138.00000,-2.00000,4659,False,2,82696,1284,-1.79565,1.12986,-1.79565,1.12986,1,7.82105
2,5,5,20.00000,7.51754,2.73616,0,True,10.00000,18.00000,-2.00000,8311,False,2,94188,784,1.86970,0.90389,1.86970,0.90389,1,5.80104
2,6,6,80.00000,1.38919,7.87846,0,True,70.00000,80.00000,0.00000,3844,False,2,101227,851,0.72196,2.07484,0.72196,2.07484,1,-9.18582
2,7,7,40.00000,6.12836,5.14230,0,True,30.00000,39.50000,-0.50000,4525,False,2,109316,833,1.85119,1.45855,1.85119,1.45855,1,-1.76547
2,8,8,160.00000,-7.51754,2.73616,0,True,150.00000,158.50000,-1.50000,3708,False,2,116439,868,-1.99929,0.51357,-1.99929,0.51357,1,5.59356
2,9,9,100.00000,-1.38919,7.87846,0,True,90.00000,100.25000,0.25000,3475,False,2,123394,750,-0.51833,2.05430,-0.51833,2.05430,1,4.16099
2,10,10,140.00000,-6.12836,5.14230,0,True,130.00000,137.75000,-2.25000,3057,False,2,130850,1251,-1.88821,0.90389,-1.88821,0.90389,1,14.41947
2,11,11,20.00000,7.51754,2.73616,0,True,10.00000,19.25000,-0.75000,3491,False,2,137505,784,2.07333,0.57520,2.07333,0.57520,1,-4.49449
2,12,12,60.00000,4.00000,6.92820,0,True,50.00000,59.75000,-0.25000,3077,False,2,145278,2669,1.44393,1.80778,1.44393,1.80778,1,-8.61545
2,13,13,40.00000,6.12836,5.14230,0,True,30.00000,40.00000,0.00000,4536,False,2,153550,634,1.66607,1.31475,1.66607,1.31475,1,-1.72188
2,14,14,80.00000,1.38919,7.87846,0,True,70.00000,78.75000,-1.25000,3719,False,2,159955,634,0.81452,2.03375,0.81452,2.03375,1,-11.82618
2,15,15,120.00000,-4.00000,6.92820,0,True,110.00000,120.00000,0.00000,3135,False,2,168295,2786,-1.44393,2.01321,-1.44393,2.01321,1,5.64914
2,16,16,160.00000,-7.51754,2.73616,0,True,150.00000,158.75000,-1.25000,5304,False,2,179103,2135,-2.29548,0.41086,-2.29548,0.41086,1,9.85228
2,17,17,140.00000,-6.12836,5.14230,0,True,130.00000,138.00000,-2.00000,3969,False,2,186275,800,-1.90673,1.23258,-1.90673,1.23258,1,7.11989
2,18,18,40.00000,6.12836,5.14230,0,True,30.00000,39.00000,-1.00000,2818,False,2,192063,701,1.70310,1.31475,1.70310,1.31475,1,-2.33277
2,19,19,120.00000,-4.00000,6.92820,0,True,110.00000,119.25000,-0.75000,2518,False,2,197450,800,-1.24030,1.76669,-1.24030,1.76669,1,5.07067
2,20,20,60.00000,4.00000,6.92820,0,True,50.00000,59.50000,-0.50000,2952,False,2,203789,584,1.49946,1.64344,1.49946,1.64344,1,-12.37705
2,21,21,100.00000,-1.38919,7.87846,0,True,90.00000,100.50000,0.50000,2735,False,2,209443,817,0.03702,2.09538,0.03702,2.09538,1,-11.01216
2,22,22,20.00000,7.51754,2.73616,0,True,10.00000,19.25000,-0.75000,4220,False,2,218850,567,1.79565,1.00661,1.79565,1.00661,1,9.27423
2,23,23,160.00000,-7.51754,2.73616,0,True,150.00000,159.50000,-0.50000,3403,False,2,226957,2301,-1.92524,0.65737,-1.92524,0.65737,1,1.14761
2,24,24,80.00000,1.38919,7.87846,0,True,70.00000,79.50000,-0.50000,3470,False,2,233896,851,0.12958,2.32135,0.12958,2.32135,1,6.80501
3,1,25,80.00000,1.38919,7.87846,0,True,70.00000,80.50000,0.50000,2938,False,2,240701,550,0.96262,1.95158,0.36277,2.05735,1,-16.25489
3,2,26,60.00000,4.00000,6.92820,0,True,50.00000,58.75000,-1.25000,3276,False,2,246839,517,1.59202,1.64344,1.10964,1.92194,1,-14.08950
3,3,27,120.00000,-4.00000,6.92820,0,True,110.00000,118.00000,-2.00000,2546,False,2,251626,450,-0.49982,2.05430,-1.01449,1.75715,1,-16.32539
3,4,28,40.00000,6.12836,5.14230,0,True,30.00000,40.00000,0.00000,3014,False,2,258448,2135,1.88821,0.98606,1.59359,1.33718,1,-12.42556
3,5,29,160.00000,-7.51754,2.73616,0,True,150.00000,157.75000,-2.25000,3191,False,2,265053,1684,-2.11036,0.76009,-2.10778,0.76717,1,0.19246
3,6,30,100.00000,-1.38919,7.87846,0,True,90.00000,98.25000,-1.75000,2349,False,2,269974,584,-0.44429,2.23918,-0.39632,2.24764,1,1.22266
3,7,31,140.00000,-6.12836,5.14230,0,True,130.00000,138.00000,-2.00000,2927,False,2,277146,2035,-1.44393,1.49964,-1.58576,1.33061,1,-6.08425
3,8,32,20.00000,7.51754,2.73616,0,True,10.00000,19.25000,-0.75000,3175,False,2,283284,1201,2.01780,0.67792,1.99964,0.72781,1,-1.42920
3,9,33,100.00000,-1.38919,7.87846,0,True,90.00000,99.25000,-0.75000,2960,False,2,289188,1350,-0.05554,2.19810,-0.37757,2.14131,1,-8.55260
3,10,34,20.00000,7.51754,2.73616,0,True,10.00000,19.00000,-1.00000,2693,False,2,295143,1367,1.98077,0.88335,2.03297,0.73994,1,4.03510
