task_idx,trial_idx,cutrial_no,targetangle_deg,targetx_cm,targety_cm,rotation_deg,doaiming_bool,aimstart_deg,aim_deg,aimdeviation_deg,aimtime_ms,zeroclamped_bool,phase,cutime_ms,time_ms,mousex_cm,mousey_cm,cursorx_cm,cursory_cm,deviation_bool,reachdeviation_deg
2,1,1,60.00000,4.00000,6.92820,0,True,50.00000,59.25000,-0.75000,7355,False,2,46158,3302,0.94411,1.82832,0.94411,1.82832,1,2.68902
2,2,2,140.00000,-6.12836,5.14230,0,True,130.00000,138.75000,-1.25000,1682,False,2,52630,2402,-1.36988,1.54072,-1.36988,1.54072,1,-8.35917
2,3,3,40.00000,6.12836,5.14230,0,True,30.00000,40.25000,0.25000,2201,False,2,58267,617,1.40690,1.47909,1.40690,1.47909,1,6.43289
2,4,4,120.00000,-4.00000,6.92820,0,True,110.00000,119.00000,-1.00000,2076,False,2,63304,667,-1.16625,1.76669,-1.16625,1.76669,1,3.43011
2,5,5,160.00000,-7.51754,2.73616,0,True,150.00000,157.75000,-2.25000,1675,False,2,68092,684,-1.92524,0.73955,-1.92524,0.73955,1,-1.01348
2,6,6,80.00000,1.38919,7.87846,0,True,70.00000,79.75000,-0.25000,2126,False,2,73145,683,0.62940,2.01321,0.62940,2.01321,1,-7.36107
2,7,7,20.00000,7.51754,2.73616,0,True,10.00000,20.25000,0.25000,2244,False,2,78199,633,1.88821,1.04769,1.88821,1.04769,1,9.02409
2,8,8,100.00000,-1.38919,7.87846,0,True,90.00000,100.75000,0.75000,1810,False,2,86889,4786,-0.51833,1.97212,-0.51833,1.97212,1,4.72593
2,9,9,20.00000,7.51754,2.73616,0,True,10.00000,20.50000,0.50000,2046,False,2,92861,868,1.72161,1.04769,1.72161,1.04769,1,11.32271
2,10,10,140.00000,-6.12836,5.14230,0,True,130.00000,139.75000,-0.25000,1727,False,2,97064,651,-1.77714,1.19149,-1.77714,1.19149,1,6.15998
2,11,11,60.00000,4.00000,6.92820,0,True,50.00000,59.75000,-0.25000,1897,False,2,101050,700,1.16625,1.64344,1.16625,1.64344,1,-5.36102
2,12,12,40.00000,6.12836,5.14230,0,True,30.00000,40.50000,0.50000,2294,False,2,107589,2319,1.59202,1.25312,1.59202,1.25312,1,-1.79280
2,13,13,120.00000,-4.00000,6.92820,0,True,110.00000,119.25000,-0.75000,1471,False,2,112692,1918,-0.90708,1.80778,-0.90708,1.80778,1,-3.35412
2,14,14,100.00000,-1.38919,7.87846,0,True,90.00000,100.75000,0.75000,1606,False,2,117963,1784,-0.46280,2.13647,-0.46280,2.13647,1,2.22251
2,15,15,160.00000,-7.51754,2.73616,0,True,150.00000,158.50000,-1.50000,1756,False,2,122400,700,-1.90673,0.69846,-1.90673,0.69846,1,-0.11844
2,16,16,80.00000,1.38919,7.87846,0,True,70.00000,79.25000,-0.75000,2343,False,2,127737,683,0.18512,2.03375,0.18512,2.03375,1,4.79904
2,17,17,160.00000,-7.51754,2.73616,0,True,150.00000,158.50000,-1.50000,1293,False,2,133375,2268,-1.92524,0.88335,-1.92524,0.88335,1,-4.64688
2,18,18,120.00000,-4.00000,6.92820,0,True,110.00000,120.25000,0.25000,2056,False,2,139897,2819,-1.29583,1.74615,-1.29583,1.74615,1,6.57937
