task_idx,trial_idx,cutrial_no,targetangle_deg,targetx_cm,targety_cm,rotation_deg,doaiming_bool,aimstart_deg,aim_deg,aimdeviation_deg,aimtime_ms,zeroclamped_bool,phase,cutime_ms,time_ms,mousex_cm,mousey_cm,cursorx_cm,cursory_cm,deviation_bool
8,60,148,40.00000,6.12836,5.14230,-50,True,30.00000,63.50000,23.50000,3706,False,0,1265215,0,0.18512,-0.08217,0.05604,-0.19463,0
8,60,148,40.00000,6.12836,5.14230,-50,True,30.00000,63.50000,23.50000,3706,False,1,1265231,16,0.18512,-0.10271,0.04031,-0.20783,0
8,60,148,40.00000,6.12836,5.14230,-50,True,30.00000,63.50000,23.50000,3706,False,1,1265248,33,0.18512,-0.10271,0.04031,-0.20783,0
8,60,148,40.00000,6.12836,5.14230,-50,True,30.00000,63.50000,23.50000,3706,False,1,1265264,49,0.18512,-0.10271,0.04031,-0.20783,0
8,60,148,40.00000,6.12836,5.14230,-50,True,30.00000,63.50000,23.50000,3706,False,1,1265281,66,0.18512,-0.10271,0.04031,-0.20783,0
8,60,148,40.00000,6.12836,5.14230,-50,True,30.00000,63.50000,23.50000,3706,False,1,1265298,83,0.18512,-0.12326,0.02457,-0.22104,0
8,60,148,40.00000,6.12836,5.14230,-50,True,30.00000,63.50000,23.50000,3706,False,1,1265315,100,0.18512,-0.12326,0.02457,-0.22104,0
8,60,148,40.00000,6.12836,5.14230,-50,True,30.00000,63.50000,23.50000,3706,False,1,1265331,116,0.18512,-0.14380,0.00883,-0.23424,0
8,60,148,40.00000,6.12836,5.14230,-50,True,30.00000,63.50000,23.50000,3706,False,1,1265348,133,0.18512,-0.14380,0.00883,-0.23424,0
8,60,148,40.00000,6.12836,5.14230,-50,True,30.00000,63.50000,23.50000,3706,False,1,1265364,149,0.20363,-0.16434,0.00500,-0.26163,0
8,60,148,40.00000,6.12836,5.14230,-50,True,30.00000,63.50000,23.50000,3706,False,0,1265381,166,0.20363,-0.16434,0.00500,-0.26163,0
8,60,148,40.00000,6.12836,5.14230,-50,True,30.00000,63.50000,23.50000,3706,False,0,1265398,183,0.20363,-0.18489,-0.01074,-0.27483,0
8,60,148,40.00000,6.12836,5.14230,-50,True,30.00000,63.50000,23.50000,3706,False,0,1265414,199,0.20363,-0.18489,-0.01074,-0.27483,0
8,60,148,40.00000,6.12836,5.14230,-50,True,30.00000,63.50000,23.50000,3706,False,0,1265431,216,0.20363,-0.20543,-0.02648,-0.28804,0
8,60,148,40.00000,6.12836,5.14230,-50,True,30.00000,63.50000,23.50000,3706,False,0,1265448,233,0.20363,-0.20543,-0.02648,-0.28804,0
8,60,148,40.00000,6.12836,5.14230,-50,True,30.00000,63.50000,23.50000,3706,False,0,1265465,250,0.20363,-0.20543,-0.02648,-0.28804,0
8,60,148,40.00000,6.12836,5.14230,-50,True,30.00000,63.50000,23.50000,3706,False,0,1265481,266,0.20363,-0.20543,-0.02648,-0.28804,0
8,60,148,40.00000,6.12836,5.14230,-50,True,30.00000,63.50000,23.50000,3706,False,0,1265498,283,0.20363,-0.22597,-0.04221,-0.30124,0
8,60,148,40.00000,6.12836,5.14230,-50,True,30.00000,63.50000,23.50000,3706,False,0,1265515,300,0.20363,-0.22597,-0.04221,-0.30124,0
8,60,148,40.00000,6.12836,5.14230,-50,True,30.00000,63.50000,23.50000,3706,False,0,1265531,316,0.20363,-0.22597,-0.04221,-0.30124,0
8,60,148,40.00000,6.12836,5.14230,-50,True,30.00000,63.50000,23.50000,3706,False,0,1265548,333,0.20363,-0.22597,-0.04221,-0.30124,0
8,60,148,40.00000,6.12836,5.14230,-50,True,30.00000,63.50000,23.50000,3706,False,0,1265565,350,0.20363,-0.22597,-0.04221,-0.30124,0
8,60,148,40.00000,6.12836,5.14230,-50,True,30.00000,63.50000,23.50000,3706,False,0,1265581,366,0.20363,-0.22597,-0.04221,-0.30124,0
8,60,148,40.00000,6.12836,5.14230,-50,True,30.00000,63.50000,23.50000,3706,False,0,1265598,383,0.20363,-0.22597,-0.04221,-0.30124,0
8,60,148,40.00000,6.12836,5.14230,-50,True,30.00000,63.50000,23.50000,3706,False,0,1265615,400,0.20363,-0.22597,-0.04221,-0.30124,0
