task_idx,trial_idx,cutrial_no,targetangle_deg,targetx_cm,targety_cm,cursortype,rotation_deg,doaiming_bool,aimstart_deg,aim_deg,aimdeviation_deg,aimtime_ms,phase,cutime_ms,time_ms,mousex_cm,mousey_cm,cursorx_cm,cursory_cm,deviation_bool
2,21,21,20.00000,7.51754,2.73616,regular,0,True,10.00000,19.00000,-1.00000,1285,0,203216,0,1.25881,0.71900,1.25881,0.71900,0
2,21,21,20.00000,7.51754,2.73616,regular,0,True,10.00000,19.00000,-1.00000,1285,0,203233,17,1.25881,0.71900,1.25881,0.71900,0
2,21,21,20.00000,7.51754,2.73616,regular,0,True,10.00000,19.00000,-1.00000,1285,0,203249,33,1.25881,0.71900,1.25881,0.71900,0
2,21,21,20.00000,7.51754,2.73616,regular,0,True,10.00000,19.00000,-1.00000,1285,0,203266,50,1.25881,0.71900,1.25881,0.71900,0
2,21,21,20.00000,7.51754,2.73616,regular,0,True,10.00000,19.00000,-1.00000,1285,0,203282,66,1.25881,0.71900,1.25881,0.71900,0
2,21,21,20.00000,7.51754,2.73616,regular,0,True,10.00000,19.00000,-1.00000,1285,0,203299,83,1.25881,0.71900,1.25881,0.71900,0
2,21,21,20.00000,7.51754,2.73616,regular,0,True,10.00000,19.00000,-1.00000,1285,0,203316,100,1.25881,0.71900,1.25881,0.71900,0
2,21,21,20.00000,7.51754,2.73616,regular,0,True,10.00000,19.00000,-1.00000,1285,0,203333,117,1.25881,0.71900,1.25881,0.71900,0
2,21,21,20.00000,7.51754,2.73616,regular,0,True,10.00000,19.00000,-1.00000,1285,0,203349,133,1.25881,0.71900,1.25881,0.71900,0
2,21,21,20.00000,7.51754,2.73616,regular,0,True,10.00000,19.00000,-1.00000,1285,0,203366,150,1.27732,0.71900,1.27732,0.71900,0
2,21,21,20.00000,7.51754,2.73616,regular,0,True,10.00000,19.00000,-1.00000,1285,0,203383,167,1.27732,0.71900,1.27732,0.71900,0
2,21,21,20.00000,7.51754,2.73616,regular,0,True,10.00000,19.00000,-1.00000,1285,0,203399,183,1.29583,0.69846,1.29583,0.69846,0
2,21,21,20.00000,7.51754,2.73616,regular,0,True,10.00000,19.00000,-1.00000,1285,0,203416,200,1.31435,0.69846,1.31435,0.69846,0
2,21,21,20.00000,7.51754,2.73616,regular,0,True,10.00000,19.00000,-1.00000,1285,0,203433,217,1.35137,0.69846,1.35137,0.69846,0
2,21,21,20.00000,7.51754,2.73616,regular,0,True,10.00000,19.00000,-1.00000,1285,0,203449,233,1.38839,0.67792,1.38839,0.67792,0
2,21,21,20.00000,7.51754,2.73616,regular,0,True,10.00000,19.00000,-1.00000,1285,0,203466,250,1.42542,0.67792,1.42542,0.67792,0
