task_idx,trial_idx,cutrial_no,targetangle_deg,targetx_cm,targety_cm,rotation_deg,doaiming_bool,aimstart_deg,aim_deg,aimdeviation_deg,aimtime_ms,zeroclamped_bool,phase,cutime_ms,time_ms,mousex_cm,mousey_cm,cursorx_cm,cursory_cm,deviation_bool,reachdeviation_deg
2,1,1,60.00000,4.00000,6.92820,0,True,50.00000,60.50000,0.50000,3052,False,2,46432,734,0.88857,1.82832,0.88857,1.82832,1,4.08008
2,2,2,140.00000,-6.12836,5.14230,0,True,130.00000,138.50000,-1.50000,2151,False,2,52070,617,-1.59202,1.21203,-1.59202,1.21203,1,2.71741
2,3,3,100.00000,-1.38919,7.87846,0,True,90.00000,101.25000,1.25000,2556,False,2,59525,1884,-0.51833,2.05430,-0.51833,2.05430,1,4.16099
2,4,4,120.00000,-4.00000,6.92820,0,True,110.00000,119.25000,-0.75000,2319,False,2,65797,1001,-1.16625,1.68452,-1.16625,1.68452,1,4.69616
2,5,5,160.00000,-7.51754,2.73616,0,True,150.00000,158.00000,-2.00000,1777,False,2,70317,917,-2.03631,0.69846,-2.03631,0.69846,1,1.06789
2,6,6,80.00000,1.38919,7.87846,0,True,70.00000,80.00000,0.00000,2089,False,2,77105,1534,0.20363,2.11593,0.20363,2.11593,1,4.50298
2,7,7,40.00000,6.12836,5.14230,0,True,30.00000,39.00000,-1.00000,1905,False,2,82426,900,1.42542,1.49964,1.42542,1.49964,1,6.45350
2,8,8,20.00000,7.51754,2.73616,0,True,10.00000,20.75000,0.75000,3042,False,2,88548,717,1.98077,0.96552,1.98077,0.96552,1,5.98677
2,9,9,20.00000,7.51754,2.73616,0,True,10.00000,20.25000,0.25000,2092,False,2,93868,933,1.94375,0.90389,1.94375,0.90389,1,4.93955
2,10,10,100.00000,-1.38919,7.87846,0,True,90.00000,99.75000,-0.25000,2155,False,2,100140,1084,-0.07405,2.03375,-0.07405,2.03375,1,-7.91475
2,11,11,120.00000,-4.00000,6.92820,0,True,110.00000,119.50000,-0.50000,2022,False,2,105861,817,-1.29583,1.66398,-1.29583,1.66398,1,7.90979
2,12,12,60.00000,4.00000,6.92820,0,True,50.00000,60.00000,0.00000,1986,False,2,112466,967,1.03667,1.84887,1.03667,1.84887,1,0.72045
2,13,13,160.00000,-7.51754,2.73616,0,True,150.00000,156.75000,-3.25000,1524,False,2,117570,1067,-1.86970,0.86280,-1.86970,0.86280,1,-4.77164
2,14,14,140.00000,-6.12836,5.14230,0,True,130.00000,138.75000,-1.25000,2019,False,2,124359,1068,-1.68458,1.27366,-1.68458,1.27366,1,2.90818
2,15,15,40.00000,6.12836,5.14230,0,True,30.00000,38.75000,-1.25000,2652,False,2,131764,1734,1.57351,1.29421,1.57351,1.29421,1,-0.56275
2,16,16,80.00000,1.38919,7.87846,0,True,70.00000,78.50000,-1.50000,1654,False,2,137235,967,0.42577,1.99267,0.42577,1.99267,1,-2.06092
2,17,17,140.00000,-6.12836,5.14230,0,True,130.00000,138.25000,-1.75000,2123,False,2,143073,984,-1.74012,1.08878,-1.74012,1.08878,1,7.96609
2,18,18,40.00000,6.12836,5.14230,0,True,30.00000,39.00000,-1.00000,2335,False,2,149928,851,1.57351,1.35584,1.57351,1.35584,1,0.75036
2,19,19,60.00000,4.00000,6.92820,0,True,50.00000,58.25000,-1.75000,2018,False,2,155915,917,1.07369,1.70507,1.07369,1.70507,1,-2.19880
2,20,20,100.00000,-1.38919,7.87846,0,True,90.00000,100.75000,0.75000,2823,False,2,162655,1018,-0.12958,2.09538,-0.12958,2.09538,1,-6.46129
2,21,21,20.00000,7.51754,2.73616,0,True,10.00000,20.75000,0.75000,2375,False,2,169109,983,1.88821,0.94498,1.88821,0.94498,1,6.58629
2,22,22,120.00000,-4.00000,6.92820,0,True,110.00000,120.75000,0.75000,2839,False,2,175998,1067,-0.99964,1.84887,-0.99964,1.84887,1,-1.60097
2,23,23,80.00000,1.38919,7.87846,0,True,70.00000,80.00000,0.00000,3242,False,2,182486,1033,0.01851,2.13647,0.01851,2.13647,1,9.50361
2,24,24,160.00000,-7.51754,2.73616,0,True,150.00000,157.50000,-2.50000,2437,False,2,189142,1151,-1.85119,0.82172,-1.85119,0.82172,1,-3.93583
3,1,25,80.00000,1.38919,7.87846,0,True,70.00000,77.75000,-2.25000,4654,False,2,197265,1001,-0.37024,2.17755,0.36122,2.04858,1,19.64949
3,2,26,100.00000,-1.38919,7.87846,0,True,90.00000,100.75000,0.75000,2759,False,2,204237,2085,-0.92560,1.88995,-0.35111,1.99125,1,16.09323
3,3,27,40.00000,6.12836,5.14230,0,True,30.00000,39.75000,-0.25000,2120,False,2,210541,1951,1.48095,1.35584,1.53668,1.28943,1,2.47474
3,4,28,140.00000,-6.12836,5.14230,0,True,130.00000,138.50000,-1.50000,2487,False,2,219332,3736,-1.62905,1.21203,-1.55277,1.30293,1,3.35037
3,5,29,60.00000,4.00000,6.92820,0,True,50.00000,60.75000,0.75000,2699,False,2,226070,1050,0.68494,2.01321,1.04298,1.80650,1,11.21052
3,6,30,20.00000,7.51754,2.73616,0,True,10.00000,19.50000,-0.50000,2571,False,2,234126,2418,1.88821,0.80118,1.92483,0.70058,1,2.99183
3,7,31,160.00000,-7.51754,2.73616,0,True,150.00000,158.75000,-1.25000,1968,False,2,239864,967,-1.98077,0.59575,-1.94054,0.70630,1,3.26045
3,8,32,120.00000,-4.00000,6.92820,0,True,110.00000,120.25000,0.25000,1872,False,2,245219,918,-1.64756,1.54072,-1.07904,1.86896,1,16.91928
3,9,33,60.00000,4.00000,6.92820,0,True,50.00000,59.50000,-0.50000,2291,False,2,252074,2352,0.92560,1.88995,1.04977,1.81826,1,3.90677
3,10,34,100.00000,-1.38919,7.87846,0,True,90.00000,99.75000,-0.25000,2219,False,2,258745,1651,-0.49982,1.99267,-0.35584,2.01806,1,4.08095
3,11,35,160.00000,-7.51754,2.73616,0,True,150.00000,157.50000,-2.50000,1771,False,2,264834,1635,-2.03631,0.30814,-1.89714,0.69050,1,11.39513
3,12,36,20.00000,7.51754,2.73616,0,True,10.00000,20.00000,0.00000,1890,False,2,270972,2085,1.99929,0.80118,2.02291,0.73628,1,1.83757
3,13,37,40.00000,6.12836,5.14230,0,True,30.00000,38.25000,-1.75000,1768,False,2,276693,1034,1.79565,1.06823,1.57974,1.32556,1,-9.25164
3,14,38,80.00000,1.38919,7.87846,0,True,70.00000,80.75000,0.75000,2192,False,2,284249,3419,0.70345,2.01321,0.36549,2.07280,1,-9.26029
3,15,39,140.00000,-6.12836,5.14230,0,True,130.00000,140.75000,0.75000,2102,False,2,291071,2702,-1.66607,1.21203,-1.57450,1.32116,1,3.96492
3,16,40,120.00000,-4.00000,6.92820,0,True,110.00000,120.25000,0.25000,2102,False,2,298126,2952,-1.27732,1.58181,-1.00427,1.73945,1,8.92106
4,1,41,20.00000,7.51754,2.73616,0,True,10.00000,19.75000,-0.25000,1769,False,2,303914,1902,1.88821,0.71900,1.88821,0.71900,1,0.84603
4,2,42,160.00000,-7.51754,2.73616,0,True,150.00000,158.50000,-1.50000,1714,False,2,311353,1201,-1.99929,0.63683,-1.99929,0.63683,1,2.33186
4,3,43,100.00000,-1.38919,7.87846,0,True,90.00000,101.25000,1.25000,2019,False,2,317825,1068,-0.77750,1.93104,-0.77750,1.93104,1,11.93133
4,4,44,120.00000,-4.00000,6.92820,0,True,110.00000,121.00000,1.00000,1851,False,2,326048,1635,-1.05518,1.70507,-1.05518,1.70507,1,1.75123
4,5,45,60.00000,4.00000,6.92820,0,True,50.00000,60.50000,0.50000,2017,False,2,333687,1051,1.16625,1.78724,1.16625,1.78724,1,-3.12615
4,6,46,140.00000,-6.12836,5.14230,0,True,130.00000,140.50000,0.50000,2702,False,2,345246,4437,-1.38839,1.56127,-1.38839,1.56127,1,-8.35428
