task_idx,trial_idx,cutrial_no,targetangle_deg,targetx_cm,targety_cm,rotation_deg,doaiming_bool,aimstart_deg,aim_deg,aimdeviation_deg,aimtime_ms,zeroclamped_bool,phase,cutime_ms,time_ms,mousex_cm,mousey_cm,cursorx_cm,cursory_cm,deviation_bool
8,111,199,40.00000,6.12836,5.14230,-60,True,30.00000,43.00000,3.00000,2457,False,0,1905649,0,0.03702,-0.10271,-0.07044,-0.08342,0
8,111,199,40.00000,6.12836,5.14230,-60,True,30.00000,43.00000,3.00000,2457,False,1,1905665,16,0.03702,-0.10271,-0.07044,-0.08342,0
8,111,199,40.00000,6.12836,5.14230,-60,True,30.00000,43.00000,3.00000,2457,False,1,1905682,33,0.03702,-0.10271,-0.07044,-0.08342,0
8,111,199,40.00000,6.12836,5.14230,-60,True,30.00000,43.00000,3.00000,2457,False,1,1905698,49,0.03702,-0.10271,-0.07044,-0.08342,0
8,111,199,40.00000,6.12836,5.14230,-60,True,30.00000,43.00000,3.00000,2457,False,1,1905715,66,0.03702,-0.10271,-0.07044,-0.08342,0
8,111,199,40.00000,6.12836,5.14230,-60,True,30.00000,43.00000,3.00000,2457,False,1,1905732,83,0.03702,-0.10271,-0.07044,-0.08342,0
8,111,199,40.00000,6.12836,5.14230,-60,True,30.00000,43.00000,3.00000,2457,False,1,1905749,100,0.03702,-0.10271,-0.07044,-0.08342,0
8,111,199,40.00000,6.12836,5.14230,-60,True,30.00000,43.00000,3.00000,2457,False,1,1905765,116,0.03702,-0.10271,-0.07044,-0.08342,0
8,111,199,40.00000,6.12836,5.14230,-60,True,30.00000,43.00000,3.00000,2457,False,1,1905782,133,0.03702,-0.10271,-0.07044,-0.08342,0
8,111,199,40.00000,6.12836,5.14230,-60,True,30.00000,43.00000,3.00000,2457,False,1,1905799,150,0.03702,-0.10271,-0.07044,-0.08342,0
8,111,199,40.00000,6.12836,5.14230,-60,True,30.00000,43.00000,3.00000,2457,False,1,1905815,166,0.03702,-0.10271,-0.07044,-0.08342,0
8,111,199,40.00000,6.12836,5.14230,-60,True,30.00000,43.00000,3.00000,2457,False,1,1905832,183,0.03702,-0.10271,-0.07044,-0.08342,0
8,111,199,40.00000,6.12836,5.14230,-60,True,30.00000,43.00000,3.00000,2457,False,1,1905849,200,0.03702,-0.10271,-0.07044,-0.08342,0
8,111,199,40.00000,6.12836,5.14230,-60,True,30.00000,43.00000,3.00000,2457,False,1,1905865,216,0.03702,-0.10271,-0.07044,-0.08342,0
8,111,199,40.00000,6.12836,5.14230,-60,True,30.00000,43.00000,3.00000,2457,False,1,1905882,233,0.03702,-0.10271,-0.07044,-0.08342,0
8,111,199,40.00000,6.12836,5.14230,-60,True,30.00000,43.00000,3.00000,2457,False,1,1905899,250,0.03702,-0.10271,-0.07044,-0.08342,0
