task_idx,trial_idx,cutrial_no,targetangle_deg,targetx_cm,targety_cm,cursortype,rotation_deg,doaiming_bool,aimstart_deg,aim_deg,aimdeviation_deg,aimtime_ms,phase,cutime_ms,time_ms,mousex_cm,mousey_cm,cursorx_cm,cursory_cm,deviation_bool,reachdeviation_deg
2,1,1,80.00000,1.38919,7.87846,regular,0,True,70.00000,80.00000,0.00000,4786.00000,2,67878,7589,0.24065,2.05430,0.24065,2.05430,1,3.31856
2,2,2,120.00000,-4.00000,6.92820,regular,0,True,110.00000,119.50000,-0.50000,3729.00000,2,78152,3285,-1.70310,1.15041,-1.70310,1.15041,1,25.96176
2,3,3,160.00000,-7.51754,2.73616,regular,0,True,150.00000,159.00000,-1.00000,2582.00000,2,87510,3119,-1.81417,0.96552,-1.81417,0.96552,1,-8.02237
2,4,4,60.00000,4.00000,6.92820,regular,0,True,50.00000,59.25000,-0.75000,3479.00000,2,97784,1001,1.96226,0.41086,1.96226,0.41086,1,-48.17419
2,5,5,100.00000,-1.38919,7.87846,regular,0,True,90.00000,100.25000,0.25000,8478.00000,2,115131,5721,-0.79601,1.93104,-0.79601,1.93104,1,12.40235
2,6,6,140.00000,-6.12836,5.14230,regular,0,True,130.00000,138.75000,-1.25000,2192.00000,2,122153,1168,-1.55500,1.39692,-1.55500,1.39692,1,-1.93465
2,7,7,40.00000,6.12836,5.14230,regular,0,True,30.00000,39.25000,-0.75000,2334.00000,2,129925,1151,1.64756,1.25312,1.64756,1.25312,1,-2.74369
2,8,8,20.00000,7.51754,2.73616,regular,0,True,10.00000,20.00000,0.00000,3152.00000,2,138499,1101,1.81417,0.90389,1.81417,0.90389,1,6.48427
2,9,9,120.00000,-4.00000,6.92820,regular,0,True,110.00000,119.50000,-0.50000,2365.00000,2,148290,1702,-1.14774,1.64344,-1.14774,1.64344,1,4.92955
2,10,10,60.00000,4.00000,6.92820,regular,0,True,50.00000,58.50000,-1.50000,2061.00000,2,157313,817,1.11071,1.76669,1.11071,1.76669,1,-2.15739
2,11,11,80.00000,1.38919,7.87846,regular,0,True,70.00000,79.50000,-0.50000,1772.00000,2,163818,1100,0.59238,1.93104,0.59238,1.93104,1,-7.05430
2,12,12,40.00000,6.12836,5.14230,regular,0,True,30.00000,39.25000,-0.75000,1803.00000,2,170573,933,1.55500,1.39692,1.55500,1.39692,1,1.93465
2,13,13,20.00000,7.51754,2.73616,regular,0,True,10.00000,19.50000,-0.50000,3221.00000,2,178630,1035,1.85119,0.84226,1.85119,0.84226,1,4.46473
2,14,14,140.00000,-6.12836,5.14230,regular,0,True,130.00000,138.50000,-1.50000,2148.00000,2,190188,2968,-1.61054,1.27366,-1.61054,1.27366,1,1.66207
2,15,15,100.00000,-1.38919,7.87846,regular,0,True,90.00000,100.75000,0.75000,2911.00000,2,199462,1151,-0.53685,1.99267,-0.53685,1.99267,1,5.07819
2,16,16,160.00000,-7.51754,2.73616,regular,0,True,150.00000,159.00000,-1.00000,2363.00000,2,208736,1134,-1.77714,0.98606,-1.77714,0.98606,1,-9.02405
2,17,17,160.00000,-7.51754,2.73616,regular,0,True,150.00000,158.25000,-1.75000,1970.00000,2,215174,1167,-1.90673,0.80118,-1.90673,0.80118,1,-2.79143
2,18,18,100.00000,-1.38919,7.87846,regular,0,True,90.00000,101.00000,1.00000,2102.00000,2,222647,1384,-0.61089,1.95158,-0.61089,1.95158,1,7.38134
2,19,19,60.00000,4.00000,6.92820,regular,0,True,50.00000,58.50000,-1.50000,1465.00000,2,230503,1284,1.25881,1.56127,1.25881,1.56127,1,-8.87830
2,20,20,40.00000,6.12836,5.14230,regular,0,True,30.00000,39.50000,-0.50000,2201.00000,2,237842,918,1.59202,1.23258,1.59202,1.23258,1,-2.25211
2,21,21,140.00000,-6.12836,5.14230,regular,0,True,130.00000,138.75000,-1.25000,1756.00000,2,243913,1001,-1.46244,1.41746,-1.46244,1.41746,1,-4.10519
2,22,22,120.00000,-4.00000,6.92820,regular,0,True,110.00000,119.25000,-0.75000,2321.00000,2,250768,867,-0.98113,1.78724,-0.98113,1.78724,1,-1.23481
2,23,23,80.00000,1.38919,7.87846,regular,0,True,70.00000,80.50000,0.50000,2228.00000,2,261593,1334,0.40726,1.99267,0.40726,1.99267,1,-1.55098
2,24,24,20.00000,7.51754,2.73616,regular,0,True,10.00000,20.50000,0.50000,2883.00000,2,270817,1351,1.83268,0.92443,1.83268,0.92443,1,6.76703
3,1,25,160.00000,-7.51754,2.73616,nocursor,0,False,,,,,2,301624,4653,-1.86970,0.84226,0.00000,0.00000,1,-4.25055
3,2,26,80.00000,1.38919,7.87846,nocursor,0,False,,,,,2,308229,2053,0.74048,1.91050,0.00000,0.00000,1,-11.18555
3,3,27,120.00000,-4.00000,6.92820,nocursor,0,False,,,,,2,323274,9496,-0.90708,1.84887,0.00000,0.00000,1,-3.86682
3,4,28,40.00000,6.12836,5.14230,nocursor,0,False,,,,,2,329578,1511,1.29583,1.58181,0.00000,0.00000,1,10.67542
3,5,29,60.00000,4.00000,6.92820,nocursor,0,False,,,,,2,335217,1527,0.90708,1.80778,0.00000,0.00000,1,3.35412
3,6,30,20.00000,7.51754,2.73616,nocursor,0,False,,,,,2,341521,1656,1.79565,0.98606,0.00000,0.00000,1,8.77287
3,7,31,100.00000,-1.38919,7.87846,nocursor,0,False,,,,,2,348843,1620,-1.05518,1.72561,0.00000,0.00000,1,21.44505
3,8,32,140.00000,-6.12836,5.14230,nocursor,0,False,,,,,2,355883,1439,-1.85119,0.96552,0.00000,0.00000,1,12.45493
3,9,33,40.00000,6.12836,5.14230,nocursor,0,False,,,,,2,361120,1142,1.36988,1.47909,0.00000,0.00000,1,7.19525
3,10,34,60.00000,4.00000,6.92820,nocursor,0,False,,,,,2,365740,1145,1.36988,1.49964,0.00000,0.00000,1,-12.41084
3,11,35,140.00000,-6.12836,5.14230,nocursor,0,False,,,,,2,370060,1175,-1.49946,1.37638,0.00000,0.00000,1,-2.54935
3,12,36,160.00000,-7.51754,2.73616,nocursor,0,False,,,,,2,375298,1246,-1.98077,0.55466,0.00000,0.00000,1,4.35656
3,13,37,20.00000,7.51754,2.73616,nocursor,0,False,,,,,2,379334,1162,1.83268,0.96552,0.00000,0.00000,1,7.78183
3,14,38,120.00000,-4.00000,6.92820,nocursor,0,False,,,,,2,384121,1262,-1.55500,1.41746,0.00000,0.00000,1,17.64927
3,15,39,100.00000,-1.38919,7.87846,nocursor,0,False,,,,,2,388491,1096,-0.94411,1.80778,0.00000,0.00000,1,17.57574
3,16,40,80.00000,1.38919,7.87846,nocursor,0,False,,,,,2,392661,1235,0.22214,2.09538,0.00000,0.00000,1,3.94844
4,1,41,60.00000,4.00000,6.92820,regular,0,True,50.00000,60.25000,0.25000,4103.00000,2,412977,2118,1.05518,1.72561,1.05518,1.72561,1,-1.44505
4,2,42,40.00000,6.12836,5.14230,regular,0,True,30.00000,39.50000,-0.50000,2521.00000,2,418814,683,1.53649,1.29421,1.53649,1.29421,1,0.10797
4,3,43,100.00000,-1.38919,7.87846,regular,0,True,90.00000,100.75000,0.75000,1593.00000,2,423268,634,-0.14810,2.05430,-0.14810,2.05430,1,-5.87653
4,4,44,120.00000,-4.00000,6.92820,regular,0,True,110.00000,118.75000,-1.25000,1540.00000,2,428455,750,-0.96262,1.84887,-0.96262,1.84887,1,-2.49612
4,5,45,20.00000,7.51754,2.73616,regular,0,True,10.00000,19.25000,-0.75000,1640.00000,2,433392,717,1.79565,1.08878,1.79565,1.08878,1,11.23024
4,6,46,140.00000,-6.12836,5.14230,regular,0,True,130.00000,137.75000,-2.25000,1639.00000,2,438613,567,-1.79565,1.21203,-1.79565,1.21203,1,5.98139
4,7,47,160.00000,-7.51754,2.73616,regular,0,True,150.00000,159.75000,-0.25000,1506.00000,2,443650,567,-1.92524,1.00661,-1.92524,1.00661,1,-7.60278
4,8,48,80.00000,1.38919,7.87846,regular,0,True,70.00000,78.75000,-1.25000,1542.00000,2,448304,617,0.18512,2.09538,0.18512,2.09538,1,4.95121
4,9,49,140.00000,-6.12836,5.14230,regular,0,True,130.00000,138.75000,-1.25000,1291.00000,2,452940,666,-1.49946,1.54072,-1.49946,1.54072,1,-5.77755
4,10,50,120.00000,-4.00000,6.92820,regular,0,True,110.00000,119.75000,-0.25000,1406.00000,2,464066,6738,-1.18476,1.82832,-1.18476,1.82832,1,2.94343
4,11,51,20.00000,7.51754,2.73616,regular,0,True,10.00000,18.25000,-1.75000,1524.00000,2,469187,617,1.98077,0.65737,1.98077,0.65737,1,-1.64023
4,12,52,80.00000,1.38919,7.87846,regular,0,True,70.00000,79.50000,-0.50000,1541.00000,2,477476,4153,0.33321,2.05430,0.33321,2.05430,1,0.78679
4,13,53,60.00000,4.00000,6.92820,regular,0,True,50.00000,60.50000,0.50000,1648.00000,2,485416,3903,0.96262,2.05430,0.96262,2.05430,1,4.89278
4,14,54,160.00000,-7.51754,2.73616,regular,0,True,150.00000,159.50000,-0.50000,1715.00000,2,490336,617,-1.99929,0.73955,-1.99929,0.73955,1,-0.29975
4,15,55,100.00000,-1.38919,7.87846,regular,0,True,90.00000,99.25000,-0.75000,1408.00000,2,501345,7072,-0.53685,1.97212,-0.53685,1.97212,1,5.22805
4,16,56,40.00000,6.12836,5.14230,regular,0,True,30.00000,38.00000,-2.00000,1389.00000,2,510018,4353,1.57351,1.29421,1.57351,1.29421,1,-0.56275
5,1,57,80.00000,1.38919,7.87846,clamped,-80,True,70.00000,79.75000,-0.25000,22617.00000,2,565227,19248,0.53685,1.93104,1.99492,0.00000,1,-5.53651
5,2,58,20.00000,7.51754,2.73616,clamped,-100,True,10.00000,19.50000,-0.50000,2179.00000,2,583691,1934,-1.29583,-1.54072,-0.30295,1.71814,1,-150.06568
5,3,59,160.00000,-7.51754,2.73616,clamped,-80,True,150.00000,159.25000,-0.75000,2018.00000,2,591131,1602,1.83268,-0.82172,-0.34785,-1.97277,1,175.84993
5,4,60,60.00000,4.00000,6.92820,clamped,100,True,50.00000,58.75000,-1.25000,2176.00000,2,604591,1868,-1.40690,-1.52018,1.89815,-0.69087,1,167.21628
5,5,61,120.00000,-4.00000,6.92820,clamped,80,True,110.00000,119.75000,-0.25000,2440.00000,2,610929,1384,1.53649,-1.64344,2.05934,0.74954,1,-166.92629
5,6,62,100.00000,-1.38919,7.87846,clamped,80,True,90.00000,99.75000,-0.25000,1600.00000,2,619652,1250,1.53649,1.43801,-1.14935,0.00000,1,-56.89626
5,7,63,40.00000,6.12836,5.14230,clamped,100,True,30.00000,38.00000,-2.00000,1373.00000,2,625490,2051,-0.59238,1.93104,-0.60323,0.50617,1,67.05430
5,8,64,140.00000,-6.12836,5.14230,clamped,-100,True,130.00000,139.25000,-0.75000,2473.00000,2,632396,1701,1.36988,1.52018,-0.05534,-0.04643,1,-92.02297
6,1,65,140.00000,-6.12836,5.14230,regular,0,True,130.00000,138.75000,-1.25000,2302.00000,2,642971,1134,-1.35137,1.52018,-1.35137,1.52018,1,-8.36438
6,2,66,40.00000,6.12836,5.14230,regular,0,True,30.00000,39.75000,-0.25000,1538.00000,2,648491,667,1.55500,1.33529,1.55500,1.33529,1,0.65293
