task_idx,trial_idx,cutrial_no,targetangle_deg,targetx_cm,targety_cm,cursortype,rotation_deg,doaiming_bool,aimstart_deg,aim_deg,aimdeviation_deg,aimtime_ms,phase,cutime_ms,time_ms,mousex_cm,mousey_cm,cursorx_cm,cursory_cm,deviation_bool
5,7,63,40.00000,6.12836,5.14230,clamped,100,True,30.00000,38.00000,-2.00000,1373,0,623439,0,0.16661,0.00000,-0.09777,0.08204,0
5,7,63,40.00000,6.12836,5.14230,clamped,100,True,30.00000,38.00000,-2.00000,1373,1,623455,16,0.16661,0.00000,-0.09777,0.08204,0
5,7,63,40.00000,6.12836,5.14230,clamped,100,True,30.00000,38.00000,-2.00000,1373,1,623472,33,0.16661,0.00000,-0.09777,0.08204,0
5,7,63,40.00000,6.12836,5.14230,clamped,100,True,30.00000,38.00000,-2.00000,1373,1,623489,50,0.16661,0.00000,-0.09777,0.08204,0
5,7,63,40.00000,6.12836,5.14230,clamped,100,True,30.00000,38.00000,-2.00000,1373,1,623505,66,0.16661,0.00000,-0.09777,0.08204,0
5,7,63,40.00000,6.12836,5.14230,clamped,100,True,30.00000,38.00000,-2.00000,1373,1,623522,83,0.16661,0.00000,-0.09777,0.08204,0
5,7,63,40.00000,6.12836,5.14230,clamped,100,True,30.00000,38.00000,-2.00000,1373,1,623539,100,0.16661,0.00000,-0.09777,0.08204,0
5,7,63,40.00000,6.12836,5.14230,clamped,100,True,30.00000,38.00000,-2.00000,1373,1,623555,116,0.16661,0.00000,-0.09777,0.08204,0
5,7,63,40.00000,6.12836,5.14230,clamped,100,True,30.00000,38.00000,-2.00000,1373,1,623572,133,0.16661,0.00000,-0.09777,0.08204,0
5,7,63,40.00000,6.12836,5.14230,clamped,100,True,30.00000,38.00000,-2.00000,1373,1,623589,150,0.16661,0.00000,-0.09777,0.08204,0
5,7,63,40.00000,6.12836,5.14230,clamped,100,True,30.00000,38.00000,-2.00000,1373,1,623605,166,0.16661,0.00000,-0.09777,0.08204,0
5,7,63,40.00000,6.12836,5.14230,clamped,100,True,30.00000,38.00000,-2.00000,1373,1,623622,183,0.16661,0.00000,-0.09777,0.08204,0
5,7,63,40.00000,6.12836,5.14230,clamped,100,True,30.00000,38.00000,-2.00000,1373,1,623639,200,0.16661,0.00000,-0.09777,0.08204,0
5,7,63,40.00000,6.12836,5.14230,clamped,100,True,30.00000,38.00000,-2.00000,1373,1,623655,216,0.16661,0.00000,-0.09777,0.08204,0
