task_idx,trial_idx,cutrial_no,targetangle_deg,targetx_cm,targety_cm,rotation_deg,doaiming_bool,aimstart_deg,aim_deg,aimdeviation_deg,aimtime_ms,zeroclamped_bool,phase,cutime_ms,time_ms,mousex_cm,mousey_cm,cursorx_cm,cursory_cm,deviation_bool,reachdeviation_deg
2,1,1,60.00000,4.00000,6.92820,0,True,50.00000,61.75000,1.75000,4153,False,2,43748,5804,1.38839,1.49964,1.38839,1.49964,1,-12.79400
2,2,2,100.00000,-1.38919,7.87846,0,True,90.00000,100.00000,0.00000,2585,False,2,52304,3386,-0.11107,2.19810,-0.11107,2.19810,1,-7.10730
2,3,3,80.00000,1.38919,7.87846,0,True,70.00000,80.25000,0.25000,2682,False,2,58926,1151,0.46280,1.97212,0.46280,1.97212,1,-3.20670
2,4,4,40.00000,6.12836,5.14230,0,True,30.00000,40.00000,0.00000,2877,False,2,68366,4736,1.55500,1.27366,1.55500,1.27366,1,-0.67999
2,5,5,140.00000,-6.12836,5.14230,0,True,130.00000,140.25000,0.25000,2467,False,2,75472,2819,-1.36988,1.70507,-1.36988,1.70507,1,-11.22106
2,6,6,20.00000,7.51754,2.73616,0,True,10.00000,20.00000,0.00000,2386,False,2,84145,4369,1.88821,0.78063,1.88821,0.78063,1,2.46134
2,7,7,160.00000,-7.51754,2.73616,0,True,150.00000,159.50000,-0.50000,3234,False,2,92552,3169,-1.90673,0.61629,-1.90673,0.61629,1,2.08822
2,8,8,120.00000,-4.00000,6.92820,0,True,110.00000,118.50000,-1.50000,2720,False,2,98523,1384,-1.38839,1.72561,-1.38839,1.72561,1,8.81943
2,9,9,40.00000,6.12836,5.14230,0,True,30.00000,39.00000,-1.00000,2209,False,2,103610,1150,1.92524,1.31475,1.92524,1.31475,1,-5.67076
2,10,10,160.00000,-7.51754,2.73616,0,True,150.00000,159.50000,-0.50000,2276,False,2,108264,667,-1.98077,0.98606,-1.98077,0.98606,1,-6.46488
2,11,11,60.00000,4.00000,6.92820,0,True,50.00000,60.25000,0.25000,2343,False,2,113334,700,0.99964,1.78724,0.99964,1.78724,1,0.78082
2,12,12,20.00000,7.51754,2.73616,0,True,10.00000,19.00000,-1.00000,2159,False,2,118188,434,1.90673,1.04769,1.90673,1.04769,1,8.78745
2,13,13,80.00000,1.38919,7.87846,0,True,70.00000,80.50000,0.50000,2230,False,2,126694,4586,0.37024,2.32135,0.37024,2.32135,1,0.93803
2,14,14,120.00000,-4.00000,6.92820,0,True,110.00000,119.25000,-0.75000,2468,False,2,133383,2885,-1.05518,1.76669,-1.05518,1.76669,1,0.84834
2,15,15,140.00000,-6.12836,5.14230,0,True,130.00000,137.25000,-2.75000,2336,False,2,138871,1368,-1.86970,1.49964,-1.86970,1.49964,1,1.26777
2,16,16,100.00000,-1.38919,7.87846,0,True,90.00000,99.50000,-0.50000,2325,False,2,144275,1201,-0.92560,2.03375,-0.92560,2.03375,1,14.47122
