task_idx,trial_idx,cutrial_no,targetangle_deg,targetx_cm,targety_cm,cursortype,rotation_deg,doaiming_bool,aimstart_deg,aim_deg,aimdeviation_deg,aimtime_ms,phase,cutime_ms,time_ms,mousex_cm,mousey_cm,cursorx_cm,cursory_cm,deviation_bool
11,5,109,20.00000,7.51754,2.73616,regular,0,True,10.00000,17.00000,-3.00000,3007,0,1082509,0,0.12958,-0.12326,0.12958,-0.12326,0
11,5,109,20.00000,7.51754,2.73616,regular,0,True,10.00000,17.00000,-3.00000,3007,1,1082526,17,0.12958,-0.12326,0.12958,-0.12326,0
11,5,109,20.00000,7.51754,2.73616,regular,0,True,10.00000,17.00000,-3.00000,3007,1,1082543,34,0.12958,-0.12326,0.12958,-0.12326,0
11,5,109,20.00000,7.51754,2.73616,regular,0,True,10.00000,17.00000,-3.00000,3007,1,1082559,50,0.12958,-0.12326,0.12958,-0.12326,0
11,5,109,20.00000,7.51754,2.73616,regular,0,True,10.00000,17.00000,-3.00000,3007,1,1082576,67,0.12958,-0.12326,0.12958,-0.12326,0
11,5,109,20.00000,7.51754,2.73616,regular,0,True,10.00000,17.00000,-3.00000,3007,1,1082593,84,0.12958,-0.12326,0.12958,-0.12326,0
11,5,109,20.00000,7.51754,2.73616,regular,0,True,10.00000,17.00000,-3.00000,3007,1,1082609,100,0.12958,-0.12326,0.12958,-0.12326,0
11,5,109,20.00000,7.51754,2.73616,regular,0,True,10.00000,17.00000,-3.00000,3007,1,1082626,117,0.12958,-0.12326,0.12958,-0.12326,0
11,5,109,20.00000,7.51754,2.73616,regular,0,True,10.00000,17.00000,-3.00000,3007,1,1082642,133,0.12958,-0.12326,0.12958,-0.12326,0
11,5,109,20.00000,7.51754,2.73616,regular,0,True,10.00000,17.00000,-3.00000,3007,1,1082659,150,0.12958,-0.12326,0.12958,-0.12326,0
11,5,109,20.00000,7.51754,2.73616,regular,0,True,10.00000,17.00000,-3.00000,3007,1,1082676,167,0.12958,-0.12326,0.12958,-0.12326,0
11,5,109,20.00000,7.51754,2.73616,regular,0,True,10.00000,17.00000,-3.00000,3007,1,1082693,184,0.12958,-0.12326,0.12958,-0.12326,0
11,5,109,20.00000,7.51754,2.73616,regular,0,True,10.00000,17.00000,-3.00000,3007,1,1082709,200,0.12958,-0.12326,0.12958,-0.12326,0
11,5,109,20.00000,7.51754,2.73616,regular,0,True,10.00000,17.00000,-3.00000,3007,1,1082726,217,0.12958,-0.12326,0.12958,-0.12326,0
11,5,109,20.00000,7.51754,2.73616,regular,0,True,10.00000,17.00000,-3.00000,3007,1,1082743,234,0.12958,-0.12326,0.12958,-0.12326,0
11,5,109,20.00000,7.51754,2.73616,regular,0,True,10.00000,17.00000,-3.00000,3007,1,1082759,250,0.12958,-0.12326,0.12958,-0.12326,0
11,5,109,20.00000,7.51754,2.73616,regular,0,True,10.00000,17.00000,-3.00000,3007,1,1082776,267,0.12958,-0.12326,0.12958,-0.12326,0
11,5,109,20.00000,7.51754,2.73616,regular,0,True,10.00000,17.00000,-3.00000,3007,1,1082793,284,0.12958,-0.12326,0.12958,-0.12326,0
11,5,109,20.00000,7.51754,2.73616,regular,0,True,10.00000,17.00000,-3.00000,3007,1,1082809,300,0.12958,-0.12326,0.12958,-0.12326,0
11,5,109,20.00000,7.51754,2.73616,regular,0,True,10.00000,17.00000,-3.00000,3007,1,1082826,317,0.12958,-0.12326,0.12958,-0.12326,0
11,5,109,20.00000,7.51754,2.73616,regular,0,True,10.00000,17.00000,-3.00000,3007,1,1082843,334,0.14810,-0.12326,0.14810,-0.12326,0
11,5,109,20.00000,7.51754,2.73616,regular,0,True,10.00000,17.00000,-3.00000,3007,1,1082860,351,0.18512,-0.12326,0.18512,-0.12326,0
11,5,109,20.00000,7.51754,2.73616,regular,0,True,10.00000,17.00000,-3.00000,3007,2,1082876,367,0.20363,-0.10271,0.20363,-0.10271,0
11,5,109,20.00000,7.51754,2.73616,regular,0,True,10.00000,17.00000,-3.00000,3007,2,1082893,384,0.25917,-0.08217,0.25917,-0.08217,0
11,5,109,20.00000,7.51754,2.73616,regular,0,True,10.00000,17.00000,-3.00000,3007,2,1082909,400,0.33321,-0.06163,0.33321,-0.06163,0
11,5,109,20.00000,7.51754,2.73616,regular,0,True,10.00000,17.00000,-3.00000,3007,2,1082926,417,0.38875,-0.04109,0.38875,-0.04109,0
11,5,109,20.00000,7.51754,2.73616,regular,0,True,10.00000,17.00000,-3.00000,3007,2,1082943,434,0.49982,0.02054,0.49982,0.02054,0
11,5,109,20.00000,7.51754,2.73616,regular,0,True,10.00000,17.00000,-3.00000,3007,2,1082960,451,0.59238,0.06163,0.59238,0.06163,0
11,5,109,20.00000,7.51754,2.73616,regular,0,True,10.00000,17.00000,-3.00000,3007,2,1082976,467,0.74048,0.12326,0.74048,0.12326,0
11,5,109,20.00000,7.51754,2.73616,regular,0,True,10.00000,17.00000,-3.00000,3007,2,1082993,484,0.87006,0.18489,0.87006,0.18489,0
11,5,109,20.00000,7.51754,2.73616,regular,0,True,10.00000,17.00000,-3.00000,3007,2,1083009,500,0.99964,0.24652,0.99964,0.24652,0
11,5,109,20.00000,7.51754,2.73616,regular,0,True,10.00000,17.00000,-3.00000,3007,2,1083026,517,1.27732,0.36977,1.27732,0.36977,0
11,5,109,20.00000,7.51754,2.73616,regular,0,True,10.00000,17.00000,-3.00000,3007,2,1083043,534,1.48095,0.47249,1.48095,0.47249,0
11,5,109,20.00000,7.51754,2.73616,regular,0,True,10.00000,17.00000,-3.00000,3007,2,1083059,550,1.66607,0.55466,1.66607,0.55466,0
11,5,109,20.00000,7.51754,2.73616,regular,0,True,10.00000,17.00000,-3.00000,3007,2,1083076,567,1.86970,0.63683,1.86970,0.63683,0
11,5,109,20.00000,7.51754,2.73616,regular,0,True,10.00000,17.00000,-3.00000,3007,2,1083093,584,2.14738,0.76009,2.14738,0.76009,1
11,5,109,20.00000,7.51754,2.73616,regular,0,True,10.00000,17.00000,-3.00000,3007,2,1083110,601,2.36952,0.84226,2.36952,0.84226,0
11,5,109,20.00000,7.51754,2.73616,regular,0,True,10.00000,17.00000,-3.00000,3007,2,1083126,617,2.66571,0.96552,2.66571,0.96552,0
11,5,109,20.00000,7.51754,2.73616,regular,0,True,10.00000,17.00000,-3.00000,3007,2,1083143,634,2.88786,1.06823,2.88786,1.06823,0
11,5,109,20.00000,7.51754,2.73616,regular,0,True,10.00000,17.00000,-3.00000,3007,2,1083160,651,3.11000,1.17095,3.11000,1.17095,0
11,5,109,20.00000,7.51754,2.73616,regular,0,True,10.00000,17.00000,-3.00000,3007,2,1083176,667,3.42470,1.31475,3.42470,1.31475,0
11,5,109,20.00000,7.51754,2.73616,regular,0,True,10.00000,17.00000,-3.00000,3007,2,1083193,684,3.64685,1.41746,3.64685,1.41746,0
11,5,109,20.00000,7.51754,2.73616,regular,0,True,10.00000,17.00000,-3.00000,3007,2,1083210,701,3.96155,1.56127,3.96155,1.56127,0
11,5,109,20.00000,7.51754,2.73616,regular,0,True,10.00000,17.00000,-3.00000,3007,2,1083226,717,4.20220,1.64344,4.20220,1.64344,0
11,5,109,20.00000,7.51754,2.73616,regular,0,True,10.00000,17.00000,-3.00000,3007,2,1083243,734,4.46137,1.74615,4.46137,1.74615,0
11,5,109,20.00000,7.51754,2.73616,regular,0,True,10.00000,17.00000,-3.00000,3007,2,1083260,751,4.72054,1.84887,4.72054,1.84887,0
11,5,109,20.00000,7.51754,2.73616,regular,0,True,10.00000,17.00000,-3.00000,3007,2,1083276,767,5.07226,1.97212,5.07226,1.97212,0
11,5,109,20.00000,7.51754,2.73616,regular,0,True,10.00000,17.00000,-3.00000,3007,2,1083293,784,5.34994,2.07484,5.34994,2.07484,0
11,5,109,20.00000,7.51754,2.73616,regular,0,True,10.00000,17.00000,-3.00000,3007,2,1083310,801,5.68315,2.19810,5.68315,2.19810,0
11,5,109,20.00000,7.51754,2.73616,regular,0,True,10.00000,17.00000,-3.00000,3007,2,1083326,817,5.92381,2.28027,5.92381,2.28027,0
11,5,109,20.00000,7.51754,2.73616,regular,0,True,10.00000,17.00000,-3.00000,3007,2,1083343,834,6.14595,2.36244,6.14595,2.36244,0
11,5,109,20.00000,7.51754,2.73616,regular,0,True,10.00000,17.00000,-3.00000,3007,2,1083360,851,6.42363,2.46516,6.42363,2.46516,0
11,5,109,20.00000,7.51754,2.73616,regular,0,True,10.00000,17.00000,-3.00000,3007,2,1083376,867,6.60875,2.52678,6.60875,2.52678,0
11,5,109,20.00000,7.51754,2.73616,regular,0,True,10.00000,17.00000,-3.00000,3007,2,1083393,884,6.79387,2.58841,6.79387,2.58841,0
11,5,109,20.00000,7.51754,2.73616,regular,0,True,10.00000,17.00000,-3.00000,3007,2,1083410,901,7.01601,2.65004,7.01601,2.65004,0
11,5,109,20.00000,7.51754,2.73616,regular,0,True,10.00000,17.00000,-3.00000,3007,2,1083427,918,7.12708,2.69113,7.12708,2.69113,0
11,5,109,20.00000,7.51754,2.73616,regular,0,True,10.00000,17.00000,-3.00000,3007,2,1083443,934,7.27518,2.73221,7.27518,2.73221,0
11,5,109,20.00000,7.51754,2.73616,regular,0,True,10.00000,17.00000,-3.00000,3007,3,1083460,951,7.42327,2.77330,7.42327,2.77330,0
11,5,109,20.00000,7.51754,2.73616,regular,0,True,10.00000,17.00000,-3.00000,3007,3,1083476,967,7.51583,2.79384,7.51583,2.79384,0
11,5,109,20.00000,7.51754,2.73616,regular,0,True,10.00000,17.00000,-3.00000,3007,3,1083493,984,7.51583,2.79384,7.51583,2.79384,0
11,5,109,20.00000,7.51754,2.73616,regular,0,True,10.00000,17.00000,-3.00000,3007,3,1083510,1001,7.51583,2.77330,7.51583,2.77330,0
11,5,109,20.00000,7.51754,2.73616,regular,0,True,10.00000,17.00000,-3.00000,3007,3,1083527,1018,7.51583,2.77330,7.51583,2.77330,0
11,5,109,20.00000,7.51754,2.73616,regular,0,True,10.00000,17.00000,-3.00000,3007,3,1083543,1034,7.51583,2.77330,7.51583,2.77330,0
11,5,109,20.00000,7.51754,2.73616,regular,0,True,10.00000,17.00000,-3.00000,3007,3,1083560,1051,7.51583,2.77330,7.51583,2.77330,0
11,5,109,20.00000,7.51754,2.73616,regular,0,True,10.00000,17.00000,-3.00000,3007,3,1083577,1068,7.51583,2.77330,7.51583,2.77330,0
11,5,109,20.00000,7.51754,2.73616,regular,0,True,10.00000,17.00000,-3.00000,3007,3,1083593,1084,7.53435,2.77330,7.53435,2.77330,0
11,5,109,20.00000,7.51754,2.73616,regular,0,True,10.00000,17.00000,-3.00000,3007,3,1083610,1101,7.53435,2.77330,7.53435,2.77330,0
11,5,109,20.00000,7.51754,2.73616,regular,0,True,10.00000,17.00000,-3.00000,3007,3,1083627,1118,7.53435,2.77330,7.53435,2.77330,0
11,5,109,20.00000,7.51754,2.73616,regular,0,True,10.00000,17.00000,-3.00000,3007,3,1083644,1135,7.53435,2.77330,7.53435,2.77330,0
11,5,109,20.00000,7.51754,2.73616,regular,0,True,10.00000,17.00000,-3.00000,3007,3,1083660,1151,7.53435,2.77330,7.53435,2.77330,0
11,5,109,20.00000,7.51754,2.73616,regular,0,True,10.00000,17.00000,-3.00000,3007,3,1083677,1168,7.53435,2.77330,7.53435,2.77330,0
11,5,109,20.00000,7.51754,2.73616,regular,0,True,10.00000,17.00000,-3.00000,3007,3,1083693,1184,7.53435,2.77330,7.53435,2.77330,0
11,5,109,20.00000,7.51754,2.73616,regular,0,True,10.00000,17.00000,-3.00000,3007,3,1083710,1201,7.53435,2.77330,7.53435,2.77330,0
11,5,109,20.00000,7.51754,2.73616,regular,0,True,10.00000,17.00000,-3.00000,3007,3,1083727,1218,7.53435,2.77330,7.53435,2.77330,0
11,5,109,20.00000,7.51754,2.73616,regular,0,True,10.00000,17.00000,-3.00000,3007,3,1083743,1234,7.53435,2.77330,7.53435,2.77330,0
11,5,109,20.00000,7.51754,2.73616,regular,0,True,10.00000,17.00000,-3.00000,3007,3,1083760,1251,7.51583,2.77330,7.51583,2.77330,0
11,5,109,20.00000,7.51754,2.73616,regular,0,True,10.00000,17.00000,-3.00000,3007,3,1083777,1268,7.47881,2.75276,7.47881,2.75276,0
11,5,109,20.00000,7.51754,2.73616,regular,0,True,10.00000,17.00000,-3.00000,3007,3,1083793,1284,7.40476,2.75276,7.40476,2.75276,0
11,5,109,20.00000,7.51754,2.73616,regular,0,True,10.00000,17.00000,-3.00000,3007,3,1083810,1301,7.29369,2.71167,7.29369,2.71167,0
11,5,109,20.00000,7.51754,2.73616,regular,0,True,10.00000,17.00000,-3.00000,3007,3,1083827,1318,7.18262,2.67059,7.18262,2.67059,0
11,5,109,20.00000,7.51754,2.73616,regular,0,True,10.00000,17.00000,-3.00000,3007,3,1083844,1335,6.99750,2.60896,6.99750,2.60896,0
11,5,109,20.00000,7.51754,2.73616,regular,0,True,10.00000,17.00000,-3.00000,3007,3,1083860,1351,6.83089,2.52678,6.83089,2.52678,0
11,5,109,20.00000,7.51754,2.73616,regular,0,True,10.00000,17.00000,-3.00000,3007,3,1083877,1368,6.62726,2.44461,6.62726,2.44461,0
11,5,109,20.00000,7.51754,2.73616,regular,0,True,10.00000,17.00000,-3.00000,3007,3,1083893,1384,6.38661,2.34190,6.38661,2.34190,0
11,5,109,20.00000,7.51754,2.73616,regular,0,True,10.00000,17.00000,-3.00000,3007,3,1083910,1401,6.20149,2.28027,6.20149,2.28027,0
11,5,109,20.00000,7.51754,2.73616,regular,0,True,10.00000,17.00000,-3.00000,3007,3,1083927,1418,6.01637,2.21864,6.01637,2.21864,0
11,5,109,20.00000,7.51754,2.73616,regular,0,True,10.00000,17.00000,-3.00000,3007,3,1083944,1435,5.83125,2.13647,5.83125,2.13647,0
11,5,109,20.00000,7.51754,2.73616,regular,0,True,10.00000,17.00000,-3.00000,3007,3,1083960,1451,5.59060,2.05430,5.59060,2.05430,0
11,5,109,20.00000,7.51754,2.73616,regular,0,True,10.00000,17.00000,-3.00000,3007,3,1083977,1468,5.40548,1.99267,5.40548,1.99267,0
11,5,109,20.00000,7.51754,2.73616,regular,0,True,10.00000,17.00000,-3.00000,3007,3,1083994,1485,5.14631,1.91050,5.14631,1.91050,0
11,5,109,20.00000,7.51754,2.73616,regular,0,True,10.00000,17.00000,-3.00000,3007,3,1084010,1501,4.96119,1.84887,4.96119,1.84887,0
11,5,109,20.00000,7.51754,2.73616,regular,0,True,10.00000,17.00000,-3.00000,3007,3,1084027,1518,4.77607,1.76669,4.77607,1.76669,0
11,5,109,20.00000,7.51754,2.73616,regular,0,True,10.00000,17.00000,-3.00000,3007,3,1084044,1535,4.53542,1.68452,4.53542,1.68452,0
11,5,109,20.00000,7.51754,2.73616,regular,0,True,10.00000,17.00000,-3.00000,3007,3,1084060,1551,4.35030,1.62289,4.35030,1.62289,0
11,5,109,20.00000,7.51754,2.73616,regular,0,True,10.00000,17.00000,-3.00000,3007,3,1084077,1568,4.12815,1.54072,4.12815,1.54072,0
11,5,109,20.00000,7.51754,2.73616,regular,0,True,10.00000,17.00000,-3.00000,3007,3,1084094,1585,3.96155,1.49964,3.96155,1.49964,0
11,5,109,20.00000,7.51754,2.73616,regular,0,True,10.00000,17.00000,-3.00000,3007,3,1084110,1601,3.81345,1.43801,3.81345,1.43801,0
11,5,109,20.00000,7.51754,2.73616,regular,0,True,10.00000,17.00000,-3.00000,3007,3,1084127,1618,3.64685,1.37638,3.64685,1.37638,0
11,5,109,20.00000,7.51754,2.73616,regular,0,True,10.00000,17.00000,-3.00000,3007,3,1084143,1634,3.49875,1.31475,3.49875,1.31475,0
11,5,109,20.00000,7.51754,2.73616,regular,0,True,10.00000,17.00000,-3.00000,3007,3,1084160,1651,3.38768,1.27366,3.38768,1.27366,0
11,5,109,20.00000,7.51754,2.73616,regular,0,True,10.00000,17.00000,-3.00000,3007,3,1084177,1668,3.25810,1.21203,3.25810,1.21203,0
11,5,109,20.00000,7.51754,2.73616,regular,0,True,10.00000,17.00000,-3.00000,3007,3,1084194,1685,3.09149,1.15041,3.09149,1.15041,0
11,5,109,20.00000,7.51754,2.73616,regular,0,True,10.00000,17.00000,-3.00000,3007,3,1084210,1701,2.96190,1.10932,2.96190,1.10932,0
11,5,109,20.00000,7.51754,2.73616,regular,0,True,10.00000,17.00000,-3.00000,3007,3,1084227,1718,2.79530,1.02715,2.79530,1.02715,0
11,5,109,20.00000,7.51754,2.73616,regular,0,True,10.00000,17.00000,-3.00000,3007,3,1084244,1735,2.66571,0.98606,2.66571,0.98606,0
11,5,109,20.00000,7.51754,2.73616,regular,0,True,10.00000,17.00000,-3.00000,3007,3,1084260,1751,2.55464,0.92443,2.55464,0.92443,0
11,5,109,20.00000,7.51754,2.73616,regular,0,True,10.00000,17.00000,-3.00000,3007,3,1084277,1768,2.44357,0.88335,2.44357,0.88335,0
11,5,109,20.00000,7.51754,2.73616,regular,0,True,10.00000,17.00000,-3.00000,3007,3,1084294,1785,2.29548,0.80118,2.29548,0.80118,0
11,5,109,20.00000,7.51754,2.73616,regular,0,True,10.00000,17.00000,-3.00000,3007,3,1084311,1802,2.14738,0.71900,2.14738,0.71900,0
11,5,109,20.00000,7.51754,2.73616,regular,0,True,10.00000,17.00000,-3.00000,3007,3,1084327,1818,2.05482,0.67792,2.05482,0.67792,0
11,5,109,20.00000,7.51754,2.73616,regular,0,True,10.00000,17.00000,-3.00000,3007,3,1084344,1835,1.96226,0.63683,1.96226,0.63683,0
11,5,109,20.00000,7.51754,2.73616,regular,0,True,10.00000,17.00000,-3.00000,3007,3,1084360,1851,1.86970,0.57520,1.86970,0.57520,0
11,5,109,20.00000,7.51754,2.73616,regular,0,True,10.00000,17.00000,-3.00000,3007,3,1084377,1868,1.75863,0.51357,1.75863,0.51357,0
11,5,109,20.00000,7.51754,2.73616,regular,0,True,10.00000,17.00000,-3.00000,3007,3,1084394,1885,1.68458,0.49303,1.68458,0.49303,0
11,5,109,20.00000,7.51754,2.73616,regular,0,True,10.00000,17.00000,-3.00000,3007,3,1084411,1902,1.57351,0.43140,1.57351,0.43140,0
11,5,109,20.00000,7.51754,2.73616,regular,0,True,10.00000,17.00000,-3.00000,3007,3,1084427,1918,1.51798,0.41086,1.51798,0.41086,0
11,5,109,20.00000,7.51754,2.73616,regular,0,True,10.00000,17.00000,-3.00000,3007,3,1084444,1935,1.44393,0.36977,1.44393,0.36977,0
11,5,109,20.00000,7.51754,2.73616,regular,0,True,10.00000,17.00000,-3.00000,3007,3,1084461,1952,1.36988,0.34923,1.36988,0.34923,0
11,5,109,20.00000,7.51754,2.73616,regular,0,True,10.00000,17.00000,-3.00000,3007,3,1084477,1968,1.31435,0.30814,1.31435,0.30814,0
11,5,109,20.00000,7.51754,2.73616,regular,0,True,10.00000,17.00000,-3.00000,3007,3,1084494,1985,1.25881,0.30814,1.25881,0.30814,0
11,5,109,20.00000,7.51754,2.73616,regular,0,True,10.00000,17.00000,-3.00000,3007,3,1084511,2002,1.22179,0.28760,1.22179,0.28760,0
11,5,109,20.00000,7.51754,2.73616,regular,0,True,10.00000,17.00000,-3.00000,3007,3,1084527,2018,1.18476,0.26706,1.18476,0.26706,0
11,5,109,20.00000,7.51754,2.73616,regular,0,True,10.00000,17.00000,-3.00000,3007,3,1084544,2035,1.14774,0.24652,1.14774,0.24652,0
11,5,109,20.00000,7.51754,2.73616,regular,0,True,10.00000,17.00000,-3.00000,3007,3,1084561,2052,1.12923,0.24652,1.12923,0.24652,0
11,5,109,20.00000,7.51754,2.73616,regular,0,True,10.00000,17.00000,-3.00000,3007,3,1084577,2068,1.09220,0.22597,1.09220,0.22597,0
11,5,109,20.00000,7.51754,2.73616,regular,0,True,10.00000,17.00000,-3.00000,3007,3,1084594,2085,1.05518,0.20543,1.05518,0.20543,0
11,5,109,20.00000,7.51754,2.73616,regular,0,True,10.00000,17.00000,-3.00000,3007,3,1084611,2102,1.01815,0.20543,1.01815,0.20543,0
11,5,109,20.00000,7.51754,2.73616,regular,0,True,10.00000,17.00000,-3.00000,3007,3,1084627,2118,0.98113,0.18489,0.98113,0.18489,0
11,5,109,20.00000,7.51754,2.73616,regular,0,True,10.00000,17.00000,-3.00000,3007,3,1084644,2135,0.94411,0.16434,0.94411,0.16434,0
11,5,109,20.00000,7.51754,2.73616,regular,0,True,10.00000,17.00000,-3.00000,3007,3,1084660,2151,0.90708,0.14380,0.90708,0.14380,0
11,5,109,20.00000,7.51754,2.73616,regular,0,True,10.00000,17.00000,-3.00000,3007,3,1084677,2168,0.88857,0.14380,0.88857,0.14380,0
11,5,109,20.00000,7.51754,2.73616,regular,0,True,10.00000,17.00000,-3.00000,3007,3,1084694,2185,0.87006,0.12326,0.87006,0.12326,0
11,5,109,20.00000,7.51754,2.73616,regular,0,True,10.00000,17.00000,-3.00000,3007,3,1084710,2201,0.85155,0.12326,0.85155,0.12326,0
11,5,109,20.00000,7.51754,2.73616,regular,0,True,10.00000,17.00000,-3.00000,3007,3,1084727,2218,0.83304,0.10271,0.83304,0.10271,0
11,5,109,20.00000,7.51754,2.73616,regular,0,True,10.00000,17.00000,-3.00000,3007,3,1084744,2235,0.81452,0.10271,0.81452,0.10271,0
11,5,109,20.00000,7.51754,2.73616,regular,0,True,10.00000,17.00000,-3.00000,3007,3,1084761,2252,0.79601,0.10271,0.79601,0.10271,0
11,5,109,20.00000,7.51754,2.73616,regular,0,True,10.00000,17.00000,-3.00000,3007,3,1084777,2268,0.79601,0.08217,0.79601,0.08217,0
11,5,109,20.00000,7.51754,2.73616,regular,0,True,10.00000,17.00000,-3.00000,3007,3,1084794,2285,0.77750,0.08217,0.77750,0.08217,0
11,5,109,20.00000,7.51754,2.73616,regular,0,True,10.00000,17.00000,-3.00000,3007,3,1084811,2302,0.75899,0.08217,0.75899,0.08217,0
11,5,109,20.00000,7.51754,2.73616,regular,0,True,10.00000,17.00000,-3.00000,3007,3,1084828,2319,0.75899,0.06163,0.75899,0.06163,0
11,5,109,20.00000,7.51754,2.73616,regular,0,True,10.00000,17.00000,-3.00000,3007,3,1084844,2335,0.74048,0.06163,0.74048,0.06163,0
11,5,109,20.00000,7.51754,2.73616,regular,0,True,10.00000,17.00000,-3.00000,3007,3,1084861,2352,0.72196,0.06163,0.72196,0.06163,0
11,5,109,20.00000,7.51754,2.73616,regular,0,True,10.00000,17.00000,-3.00000,3007,3,1084878,2369,0.72196,0.06163,0.72196,0.06163,0
11,5,109,20.00000,7.51754,2.73616,regular,0,True,10.00000,17.00000,-3.00000,3007,3,1084894,2385,0.70345,0.06163,0.70345,0.06163,0
11,5,109,20.00000,7.51754,2.73616,regular,0,True,10.00000,17.00000,-3.00000,3007,3,1084911,2402,0.68494,0.04109,0.68494,0.04109,0
11,5,109,20.00000,7.51754,2.73616,regular,0,True,10.00000,17.00000,-3.00000,3007,3,1084928,2419,0.66643,0.04109,0.66643,0.04109,0
11,5,109,20.00000,7.51754,2.73616,regular,0,True,10.00000,17.00000,-3.00000,3007,3,1084944,2435,0.64792,0.02054,0.64792,0.02054,0
11,5,109,20.00000,7.51754,2.73616,regular,0,True,10.00000,17.00000,-3.00000,3007,3,1084961,2452,0.59238,0.00000,0.59238,0.00000,0
11,5,109,20.00000,7.51754,2.73616,regular,0,True,10.00000,17.00000,-3.00000,3007,3,1084978,2469,0.53685,-0.02054,0.53685,-0.02054,0
11,5,109,20.00000,7.51754,2.73616,regular,0,True,10.00000,17.00000,-3.00000,3007,3,1084994,2485,0.46280,-0.04109,0.46280,-0.04109,0
11,5,109,20.00000,7.51754,2.73616,regular,0,True,10.00000,17.00000,-3.00000,3007,3,1085011,2502,0.38875,-0.06163,0.38875,-0.06163,0
11,5,109,20.00000,7.51754,2.73616,regular,0,True,10.00000,17.00000,-3.00000,3007,3,1085028,2519,0.31470,-0.10271,0.31470,-0.10271,0
11,5,109,20.00000,7.51754,2.73616,regular,0,True,10.00000,17.00000,-3.00000,3007,3,1085044,2535,0.24065,-0.12326,0.24065,-0.12326,0
11,5,109,20.00000,7.51754,2.73616,regular,0,True,10.00000,17.00000,-3.00000,3007,3,1085061,2552,0.14810,-0.16434,0.14810,-0.16434,0
