task_idx,trial_idx,cutrial_no,targetangle_deg,targetx_cm,targety_cm,cursortype,rotation_deg,doaiming_bool,aimstart_deg,aim_deg,aimdeviation_deg,aimtime_ms,phase,cutime_ms,time_ms,mousex_cm,mousey_cm,cursorx_cm,cursory_cm,deviation_bool,reachdeviation_deg
2,1,1,60.00000,4.00000,6.92820,regular,0,True,50.00000,59.50000,-0.50000,5738.00000,2,89742,5204,1.12923,1.88995,1.12923,1.88995,1,-0.85798
2,2,2,160.00000,-7.51754,2.73616,regular,0,True,150.00000,159.50000,-0.50000,4333.00000,2,100167,1485,-1.98077,0.65737,-1.98077,0.65737,1,1.64023
2,3,3,80.00000,1.38919,7.87846,regular,0,True,70.00000,80.00000,0.00000,4081.00000,2,111509,1851,0.29619,2.03375,0.29619,2.03375,1,1.71385
2,4,4,100.00000,-1.38919,7.87846,regular,0,True,90.00000,99.25000,-0.75000,6935.00000,2,125403,1802,-0.24065,1.99267,-0.24065,1.99267,1,-3.11387
2,5,5,20.00000,7.51754,2.73616,regular,0,True,10.00000,19.25000,-0.75000,6451.00000,2,139164,1735,1.96226,0.71900,1.96226,0.71900,1,0.12355
2,6,6,120.00000,-4.00000,6.92820,regular,0,True,110.00000,119.25000,-0.75000,4217.00000,2,150389,1734,-1.16625,1.68452,-1.16625,1.68452,1,4.69616
2,7,7,140.00000,-6.12836,5.14230,regular,0,True,130.00000,138.00000,-2.00000,3614.00000,2,161598,1918,-1.53649,1.37638,-1.53649,1.37638,1,-1.85382
2,8,8,40.00000,6.12836,5.14230,regular,0,True,30.00000,39.00000,-1.00000,4348.00000,2,172439,1501,1.55500,1.37638,1.55500,1.37638,1,1.51306
2,9,9,140.00000,-6.12836,5.14230,regular,0,True,130.00000,139.50000,-0.50000,3465.00000,2,182180,1451,-1.64756,1.15041,-1.64756,1.15041,1,5.07530
2,10,10,100.00000,-1.38919,7.87846,regular,0,True,90.00000,99.25000,-0.75000,4720.00000,2,193239,1401,-0.07405,2.01321,-0.07405,2.01321,1,-7.89349
2,11,11,120.00000,-4.00000,6.92820,regular,0,True,110.00000,119.50000,-0.50000,3197.00000,2,203597,1835,-1.01815,1.76669,-1.01815,1.76669,1,-0.04499
2,12,12,40.00000,6.12836,5.14230,regular,0,True,30.00000,38.75000,-1.25000,4585.00000,2,214672,1468,1.64756,1.23258,1.64756,1.23258,1,-3.19894
