task_idx,trial_idx,cutrial_no,targetangle_deg,targetx_cm,targety_cm,cursortype,rotation_deg,doaiming_bool,aimstart_deg,aim_deg,aimdeviation_deg,aimtime_ms,phase,cutime_ms,time_ms,mousex_cm,mousey_cm,cursorx_cm,cursory_cm,deviation_bool
10,2,98,100.00000,-1.38919,7.87846,regular,0,True,90.00000,99.50000,-0.50000,2283,0,1154278,0,-0.09256,-0.02054,-0.09256,-0.02054,0
10,2,98,100.00000,-1.38919,7.87846,regular,0,True,90.00000,99.50000,-0.50000,2283,1,1154294,16,-0.09256,-0.02054,-0.09256,-0.02054,0
10,2,98,100.00000,-1.38919,7.87846,regular,0,True,90.00000,99.50000,-0.50000,2283,1,1154311,33,-0.09256,-0.02054,-0.09256,-0.02054,0
10,2,98,100.00000,-1.38919,7.87846,regular,0,True,90.00000,99.50000,-0.50000,2283,1,1154328,50,-0.09256,-0.02054,-0.09256,-0.02054,0
10,2,98,100.00000,-1.38919,7.87846,regular,0,True,90.00000,99.50000,-0.50000,2283,1,1154344,66,-0.09256,-0.02054,-0.09256,-0.02054,0
10,2,98,100.00000,-1.38919,7.87846,regular,0,True,90.00000,99.50000,-0.50000,2283,1,1154361,83,-0.09256,-0.02054,-0.09256,-0.02054,0
10,2,98,100.00000,-1.38919,7.87846,regular,0,True,90.00000,99.50000,-0.50000,2283,1,1154378,100,-0.09256,-0.02054,-0.09256,-0.02054,0
10,2,98,100.00000,-1.38919,7.87846,regular,0,True,90.00000,99.50000,-0.50000,2283,1,1154394,116,-0.09256,-0.02054,-0.09256,-0.02054,0
10,2,98,100.00000,-1.38919,7.87846,regular,0,True,90.00000,99.50000,-0.50000,2283,1,1154411,133,-0.09256,-0.02054,-0.09256,-0.02054,0
10,2,98,100.00000,-1.38919,7.87846,regular,0,True,90.00000,99.50000,-0.50000,2283,1,1154428,150,-0.09256,-0.02054,-0.09256,-0.02054,0
10,2,98,100.00000,-1.38919,7.87846,regular,0,True,90.00000,99.50000,-0.50000,2283,1,1154445,167,-0.09256,-0.02054,-0.09256,-0.02054,0
10,2,98,100.00000,-1.38919,7.87846,regular,0,True,90.00000,99.50000,-0.50000,2283,1,1154461,183,-0.09256,-0.02054,-0.09256,-0.02054,0
10,2,98,100.00000,-1.38919,7.87846,regular,0,True,90.00000,99.50000,-0.50000,2283,1,1154478,200,-0.09256,-0.02054,-0.09256,-0.02054,0
10,2,98,100.00000,-1.38919,7.87846,regular,0,True,90.00000,99.50000,-0.50000,2283,1,1154495,217,-0.09256,-0.02054,-0.09256,-0.02054,0
10,2,98,100.00000,-1.38919,7.87846,regular,0,True,90.00000,99.50000,-0.50000,2283,1,1154511,233,-0.09256,-0.02054,-0.09256,-0.02054,0
10,2,98,100.00000,-1.38919,7.87846,regular,0,True,90.00000,99.50000,-0.50000,2283,1,1154528,250,-0.09256,-0.02054,-0.09256,-0.02054,0
10,2,98,100.00000,-1.38919,7.87846,regular,0,True,90.00000,99.50000,-0.50000,2283,1,1154544,266,-0.09256,-0.02054,-0.09256,-0.02054,0
