task_idx,trial_idx,cutrial_no,targetangle_deg,targetx_cm,targety_cm,rotation_deg,doaiming_bool,aimstart_deg,aim_deg,aimdeviation_deg,aimtime_ms,zeroclamped_bool,phase,cutime_ms,time_ms,mousex_cm,mousey_cm,cursorx_cm,cursory_cm,deviation_bool
4,2,42,20.00000,7.51754,2.73616,0,True,10.00000,35.25000,15.25000,4738,False,0,700777,0,6.09042,3.10199,6.09042,3.10199,0
4,2,42,20.00000,7.51754,2.73616,0,True,10.00000,35.25000,15.25000,4738,False,0,700794,17,6.09042,3.10199,6.09042,3.10199,0
4,2,42,20.00000,7.51754,2.73616,0,True,10.00000,35.25000,15.25000,4738,False,0,700810,33,6.09042,3.10199,6.09042,3.10199,0
4,2,42,20.00000,7.51754,2.73616,0,True,10.00000,35.25000,15.25000,4738,False,0,700827,50,6.09042,3.10199,6.09042,3.10199,0
4,2,42,20.00000,7.51754,2.73616,0,True,10.00000,35.25000,15.25000,4738,False,0,700844,67,6.09042,3.10199,6.09042,3.10199,0
4,2,42,20.00000,7.51754,2.73616,0,True,10.00000,35.25000,15.25000,4738,False,0,700860,83,6.09042,3.10199,6.09042,3.10199,0
4,2,42,20.00000,7.51754,2.73616,0,True,10.00000,35.25000,15.25000,4738,False,0,700877,100,6.09042,3.10199,6.09042,3.10199,0
4,2,42,20.00000,7.51754,2.73616,0,True,10.00000,35.25000,15.25000,4738,False,0,700894,117,6.09042,3.10199,6.09042,3.10199,0
4,2,42,20.00000,7.51754,2.73616,0,True,10.00000,35.25000,15.25000,4738,False,0,700910,133,6.09042,3.10199,6.09042,3.10199,0
4,2,42,20.00000,7.51754,2.73616,0,True,10.00000,35.25000,15.25000,4738,False,0,700927,150,6.09042,3.10199,6.09042,3.10199,0
4,2,42,20.00000,7.51754,2.73616,0,True,10.00000,35.25000,15.25000,4738,False,0,700944,167,6.09042,3.10199,6.09042,3.10199,0
4,2,42,20.00000,7.51754,2.73616,0,True,10.00000,35.25000,15.25000,4738,False,0,700960,183,6.09042,3.10199,6.09042,3.10199,0
4,2,42,20.00000,7.51754,2.73616,0,True,10.00000,35.25000,15.25000,4738,False,0,700977,200,6.09042,3.10199,6.09042,3.10199,0
4,2,42,20.00000,7.51754,2.73616,0,True,10.00000,35.25000,15.25000,4738,False,0,700994,217,6.09042,3.10199,6.09042,3.10199,0
4,2,42,20.00000,7.51754,2.73616,0,True,10.00000,35.25000,15.25000,4738,False,0,701010,233,6.09042,3.10199,6.09042,3.10199,0
4,2,42,20.00000,7.51754,2.73616,0,True,10.00000,35.25000,15.25000,4738,False,0,701027,250,6.09042,3.10199,6.09042,3.10199,0
4,2,42,20.00000,7.51754,2.73616,0,True,10.00000,35.25000,15.25000,4738,False,0,701044,267,6.09042,3.10199,6.09042,3.10199,0
4,2,42,20.00000,7.51754,2.73616,0,True,10.00000,35.25000,15.25000,4738,False,0,701061,284,6.09042,3.10199,6.09042,3.10199,0
4,2,42,20.00000,7.51754,2.73616,0,True,10.00000,35.25000,15.25000,4738,False,0,701077,300,6.09042,3.10199,6.09042,3.10199,0
4,2,42,20.00000,7.51754,2.73616,0,True,10.00000,35.25000,15.25000,4738,False,0,701094,317,6.09042,3.10199,6.09042,3.10199,0
4,2,42,20.00000,7.51754,2.73616,0,True,10.00000,35.25000,15.25000,4738,False,0,701110,333,6.09042,3.10199,6.09042,3.10199,0
4,2,42,20.00000,7.51754,2.73616,0,True,10.00000,35.25000,15.25000,4738,False,0,701127,350,6.09042,3.10199,6.09042,3.10199,0
4,2,42,20.00000,7.51754,2.73616,0,True,10.00000,35.25000,15.25000,4738,False,0,701144,367,6.09042,3.10199,6.09042,3.10199,0
4,2,42,20.00000,7.51754,2.73616,0,True,10.00000,35.25000,15.25000,4738,False,0,701161,384,6.09042,3.10199,6.09042,3.10199,0
4,2,42,20.00000,7.51754,2.73616,0,True,10.00000,35.25000,15.25000,4738,False,0,701177,400,6.09042,3.10199,6.09042,3.10199,0
4,2,42,20.00000,7.51754,2.73616,0,True,10.00000,35.25000,15.25000,4738,False,0,701194,417,6.09042,3.10199,6.09042,3.10199,0
4,2,42,20.00000,7.51754,2.73616,0,True,10.00000,35.25000,15.25000,4738,False,0,701210,433,6.09042,3.10199,6.09042,3.10199,0
4,2,42,20.00000,7.51754,2.73616,0,True,10.00000,35.25000,15.25000,4738,False,0,701227,450,6.07190,3.08144,6.07190,3.08144,0
4,2,42,20.00000,7.51754,2.73616,0,True,10.00000,35.25000,15.25000,4738,False,0,701244,467,6.03488,3.06090,6.03488,3.06090,0
4,2,42,20.00000,7.51754,2.73616,0,True,10.00000,35.25000,15.25000,4738,False,0,701261,484,5.97934,3.01982,5.97934,3.01982,0
4,2,42,20.00000,7.51754,2.73616,0,True,10.00000,35.25000,15.25000,4738,False,0,701277,500,5.86827,2.95819,5.86827,2.95819,0
4,2,42,20.00000,7.51754,2.73616,0,True,10.00000,35.25000,15.25000,4738,False,0,701294,517,5.77571,2.89656,5.77571,2.89656,0
4,2,42,20.00000,7.51754,2.73616,0,True,10.00000,35.25000,15.25000,4738,False,0,701311,534,5.64613,2.83493,5.64613,2.83493,0
4,2,42,20.00000,7.51754,2.73616,0,True,10.00000,35.25000,15.25000,4738,False,0,701327,550,5.57208,2.77330,5.57208,2.77330,0
