task_idx,trial_idx,cutrial_no,targetangle_deg,targetx_cm,targety_cm,rotation_deg,doaiming_bool,aimstart_deg,aim_deg,aimdeviation_deg,aimtime_ms,zeroclamped_bool,phase,cutime_ms,time_ms,mousex_cm,mousey_cm,cursorx_cm,cursory_cm,deviation_bool,reachdeviation_deg
2,1,1,40.00000,6.12836,5.14230,0,True,30.00000,38.25000,-1.75000,4220,False,2,66838,4086,1.55500,1.39692,1.55500,1.39692,1,1.93465
2,2,2,80.00000,1.38919,7.87846,0,True,70.00000,79.25000,-0.75000,4444,False,2,76295,1084,0.92560,2.01321,0.92560,2.01321,1,-14.69123
2,3,3,60.00000,4.00000,6.92820,0,True,50.00000,59.75000,-0.25000,2269,False,2,83351,951,1.53649,1.43801,1.53649,1.43801,1,-16.89626
2,4,4,120.00000,-4.00000,6.92820,0,True,110.00000,117.75000,-2.25000,2051,False,2,90690,967,-0.75899,1.86941,-0.75899,1.86941,1,-7.90260
2,5,5,140.00000,-6.12836,5.14230,0,True,130.00000,137.50000,-2.50000,1972,False,2,96578,934,-2.03631,1.02715,-2.03631,1.02715,1,13.23283
2,6,6,20.00000,7.51754,2.73616,0,True,10.00000,19.50000,-0.50000,1972,False,2,103467,1518,1.72161,1.10932,1.72161,1.10932,1,12.79572
2,7,7,160.00000,-7.51754,2.73616,0,True,150.00000,159.25000,-0.75000,2236,False,2,111206,1635,-2.05482,0.26706,-2.05482,0.26706,1,12.59491
2,8,8,100.00000,-1.38919,7.87846,0,True,90.00000,99.00000,-1.00000,2117,False,2,118311,934,-0.83304,1.88995,-0.83304,1.88995,1,13.78662
2,9,9,100.00000,-1.38919,7.87846,0,True,90.00000,99.75000,-0.25000,2057,False,2,124283,1235,-0.31470,1.99267,-0.31470,1.99267,1,-1.02547
2,10,10,60.00000,4.00000,6.92820,0,True,50.00000,60.00000,0.00000,2723,False,2,132272,1718,1.03667,1.95158,1.03667,1.95158,1,2.02297
2,11,11,160.00000,-7.51754,2.73616,0,True,150.00000,158.75000,-1.25000,3053,False,2,139294,1000,-2.03631,0.63683,-2.03631,0.63683,1,2.63359
2,12,12,40.00000,6.12836,5.14230,0,True,30.00000,39.25000,-0.75000,8009,False,2,151737,1001,1.59202,1.21203,1.59202,1.21203,1,-2.71741
2,13,13,80.00000,1.38919,7.87846,0,True,70.00000,79.50000,-0.50000,2117,False,2,159593,1368,0.57387,1.93104,0.57387,1.93104,1,-6.55099
2,14,14,140.00000,-6.12836,5.14230,0,True,130.00000,138.00000,-2.00000,1804,False,2,166131,1501,-1.66607,1.39692,-1.66607,1.39692,1,0.02178
2,15,15,120.00000,-4.00000,6.92820,0,True,110.00000,119.00000,-1.00000,3189,False,2,173387,1001,-1.36988,1.64344,-1.36988,1.64344,1,9.81270
2,16,16,20.00000,7.51754,2.73616,0,True,10.00000,19.50000,-0.50000,3556,False,2,181827,1785,1.90673,1.04769,1.90673,1.04769,1,8.78745
2,17,17,160.00000,-7.51754,2.73616,0,True,150.00000,159.50000,-0.50000,2585,False,2,189599,1033,-2.09185,0.45195,-2.09185,0.45195,1,7.80848
2,18,18,120.00000,-4.00000,6.92820,0,True,110.00000,119.00000,-1.00000,3141,False,2,195938,984,-1.18476,1.68452,-1.18476,1.68452,1,5.11956
2,19,19,20.00000,7.51754,2.73616,0,True,10.00000,21.25000,1.25000,3109,False,2,202326,867,1.85119,0.76009,1.85119,0.76009,1,2.32283
2,20,20,40.00000,6.12836,5.14230,0,True,30.00000,39.50000,-0.50000,1657,False,2,207530,834,1.96226,1.08878,1.96226,1.08878,1,-10.97585
2,21,21,80.00000,1.38919,7.87846,0,True,70.00000,81.00000,1.00000,2775,False,2,214218,850,0.74048,1.93104,0.74048,1.93104,1,-10.97991
2,22,22,60.00000,4.00000,6.92820,0,True,50.00000,60.25000,0.25000,2009,False,2,219256,867,0.96262,1.93104,0.96262,1.93104,1,3.50383
2,23,23,100.00000,-1.38919,7.87846,0,True,90.00000,99.00000,-1.00000,1708,False,2,224243,967,-0.75899,1.97212,-0.75899,1.97212,1,11.04972
2,24,24,140.00000,-6.12836,5.14230,0,True,130.00000,137.75000,-2.25000,2090,False,2,230765,1701,-1.68458,1.41746,-1.68458,1.41746,1,-0.07834
3,1,25,60.00000,4.00000,6.92820,0,True,50.00000,59.75000,-0.25000,3350,False,2,237437,918,1.12923,1.74615,1.03841,1.79858,1,-2.89063
3,2,26,120.00000,-4.00000,6.92820,0,True,110.00000,117.75000,-2.25000,3391,False,2,244058,834,-0.88857,1.93104,-1.05831,1.83304,1,-5.29043
3,3,27,160.00000,-7.51754,2.73616,0,True,150.00000,158.25000,-1.75000,2076,False,2,249779,1617,-1.88821,0.82172,-1.93143,0.70298,1,-3.51794
3,4,28,100.00000,-1.38919,7.87846,0,True,90.00000,99.25000,-0.75000,2155,False,2,255684,917,-1.20327,1.95158,-0.37002,2.09851,1,21.65640
3,5,29,80.00000,1.38919,7.87846,0,True,70.00000,81.25000,1.25000,2674,False,2,261322,735,0.33321,2.11593,0.37189,2.10911,1,1.05074
3,6,30,140.00000,-6.12836,5.14230,0,True,130.00000,137.50000,-2.50000,1985,False,2,267193,1968,-1.85119,1.23258,-1.69325,1.42080,1,6.34309
3,7,31,20.00000,7.51754,2.73616,0,True,10.00000,22.00000,2.00000,3336,False,2,275299,1785,1.85119,1.04769,1.97136,0.71752,1,9.50790
3,8,32,40.00000,6.12836,5.14230,0,True,30.00000,38.50000,-1.50000,1638,False,2,279919,700,1.98077,1.06823,1.68837,1.41671,1,-11.66200
3,9,33,140.00000,-6.12836,5.14230,0,True,130.00000,137.75000,-2.25000,1659,False,2,284673,851,-2.07333,0.88335,-1.65165,1.38590,1,16.92339
3,10,34,160.00000,-7.51754,2.73616,0,True,150.00000,159.00000,-1.00000,2024,False,2,290094,851,-2.27696,0.55466,-2.18887,0.79669,1,6.30957
3,11,35,100.00000,-1.38919,7.87846,0,True,90.00000,99.25000,-0.75000,1928,False,2,294497,717,-1.16625,1.91050,-0.36188,2.05233,1,21.40166
3,12,36,120.00000,-4.00000,6.92820,0,True,110.00000,118.50000,-1.50000,1711,False,2,298650,767,-1.59202,1.43801,-1.02068,1.76787,1,17.90972
3,13,37,60.00000,4.00000,6.92820,0,True,50.00000,60.25000,0.25000,4646,False,2,305806,684,0.61089,2.03375,1.03336,1.78984,1,13.28099
