task_idx,trial_idx,cutrial_no,targetangle_deg,targetx_cm,targety_cm,rotation_deg,doaiming_bool,aimstart_deg,aim_deg,aimdeviation_deg,aimtime_ms,zeroclamped_bool,phase,cutime_ms,time_ms,mousex_cm,mousey_cm,cursorx_cm,cursory_cm,deviation_bool
8,3,91,20.00000,7.51754,2.73616,-60,True,10.00000,19.50000,-0.50000,2246,False,0,1019156,0,0.77750,-0.20543,0.21084,-0.77605,0
8,3,91,20.00000,7.51754,2.73616,-60,True,10.00000,19.50000,-0.50000,2246,False,0,1019173,17,0.77750,-0.20543,0.21084,-0.77605,0
8,3,91,20.00000,7.51754,2.73616,-60,True,10.00000,19.50000,-0.50000,2246,False,0,1019189,33,0.77750,-0.20543,0.21084,-0.77605,0
8,3,91,20.00000,7.51754,2.73616,-60,True,10.00000,19.50000,-0.50000,2246,False,0,1019206,50,0.77750,-0.20543,0.21084,-0.77605,0
8,3,91,20.00000,7.51754,2.73616,-60,True,10.00000,19.50000,-0.50000,2246,False,0,1019223,67,0.77750,-0.20543,0.21084,-0.77605,0
8,3,91,20.00000,7.51754,2.73616,-60,True,10.00000,19.50000,-0.50000,2246,False,0,1019239,83,0.79601,-0.20543,0.22010,-0.79208,0
8,3,91,20.00000,7.51754,2.73616,-60,True,10.00000,19.50000,-0.50000,2246,False,0,1019256,100,0.79601,-0.20543,0.22010,-0.79208,0
8,3,91,20.00000,7.51754,2.73616,-60,True,10.00000,19.50000,-0.50000,2246,False,0,1019272,116,0.79601,-0.20543,0.22010,-0.79208,0
8,3,91,20.00000,7.51754,2.73616,-60,True,10.00000,19.50000,-0.50000,2246,False,0,1019289,133,0.79601,-0.20543,0.22010,-0.79208,0
8,3,91,20.00000,7.51754,2.73616,-60,True,10.00000,19.50000,-0.50000,2246,False,0,1019306,150,0.79601,-0.20543,0.22010,-0.79208,0
8,3,91,20.00000,7.51754,2.73616,-60,True,10.00000,19.50000,-0.50000,2246,False,0,1019323,167,0.79601,-0.20543,0.22010,-0.79208,0
8,3,91,20.00000,7.51754,2.73616,-60,True,10.00000,19.50000,-0.50000,2246,False,0,1019339,183,0.79601,-0.20543,0.22010,-0.79208,0
8,3,91,20.00000,7.51754,2.73616,-60,True,10.00000,19.50000,-0.50000,2246,False,0,1019356,200,0.79601,-0.20543,0.22010,-0.79208,0
8,3,91,20.00000,7.51754,2.73616,-60,True,10.00000,19.50000,-0.50000,2246,False,0,1019373,217,0.79601,-0.20543,0.22010,-0.79208,0
8,3,91,20.00000,7.51754,2.73616,-60,True,10.00000,19.50000,-0.50000,2246,False,0,1019389,233,0.79601,-0.20543,0.22010,-0.79208,0
8,3,91,20.00000,7.51754,2.73616,-60,True,10.00000,19.50000,-0.50000,2246,False,0,1019406,250,0.79601,-0.20543,0.22010,-0.79208,0
8,3,91,20.00000,7.51754,2.73616,-60,True,10.00000,19.50000,-0.50000,2246,False,0,1019423,267,0.81452,-0.20543,0.22935,-0.80811,0
8,3,91,20.00000,7.51754,2.73616,-60,True,10.00000,19.50000,-0.50000,2246,False,0,1019439,283,0.81452,-0.20543,0.22935,-0.80811,0
8,3,91,20.00000,7.51754,2.73616,-60,True,10.00000,19.50000,-0.50000,2246,False,0,1019456,300,0.81452,-0.22597,0.21156,-0.81838,0
8,3,91,20.00000,7.51754,2.73616,-60,True,10.00000,19.50000,-0.50000,2246,False,0,1019473,317,0.81452,-0.22597,0.21156,-0.81838,0
8,3,91,20.00000,7.51754,2.73616,-60,True,10.00000,19.50000,-0.50000,2246,False,0,1019489,333,0.81452,-0.22597,0.21156,-0.81838,0
8,3,91,20.00000,7.51754,2.73616,-60,True,10.00000,19.50000,-0.50000,2246,False,0,1019506,350,0.81452,-0.22597,0.21156,-0.81838,0
8,3,91,20.00000,7.51754,2.73616,-60,True,10.00000,19.50000,-0.50000,2246,False,0,1019523,367,0.81452,-0.22597,0.21156,-0.81838,0
8,3,91,20.00000,7.51754,2.73616,-60,True,10.00000,19.50000,-0.50000,2246,False,0,1019539,383,0.81452,-0.22597,0.21156,-0.81838,0
