task_idx,trial_idx,cutrial_no,targetangle_deg,targetx_cm,targety_cm,rotation_deg,doaiming_bool,aimstart_deg,aim_deg,aimdeviation_deg,aimtime_ms,zeroclamped_bool,phase,cutime_ms,time_ms,mousex_cm,mousey_cm,cursorx_cm,cursory_cm,deviation_bool,reachdeviation_deg
2,1,1,60.00000,4.00000,6.92820,0,True,50.00000,59.25000,-0.75000,14077,False,2,78314,8706,0.96262,1.80778,0.96262,1.80778,1,1.96526
2,2,2,120.00000,-4.00000,6.92820,0,True,110.00000,120.00000,0.00000,5399,False,2,89289,3852,-0.81452,2.07484,-0.81452,2.07484,1,-8.56652
2,3,3,140.00000,-6.12836,5.14230,0,True,130.00000,139.25000,-0.75000,2715,False,2,96845,2168,-1.85119,0.98606,-1.85119,0.98606,1,11.95743
2,4,4,160.00000,-7.51754,2.73616,0,True,150.00000,160.50000,0.50000,5406,False,2,107103,2235,-1.99929,0.86280,-1.99929,0.86280,1,-3.34277
2,5,5,100.00000,-1.38919,7.87846,0,True,90.00000,99.00000,-1.00000,2871,False,2,114392,2201,-0.22214,2.25973,-0.22214,2.25973,1,-4.38565
2,6,6,40.00000,6.12836,5.14230,0,True,30.00000,39.25000,-0.75000,3802,False,2,128670,7339,1.57351,1.64344,1.57351,1.64344,1,6.24530
2,7,7,20.00000,7.51754,2.73616,0,True,10.00000,19.00000,-1.00000,2858,False,2,135308,1551,1.88821,0.76009,1.88821,0.76009,1,1.92702
2,8,8,80.00000,1.38919,7.87846,0,True,70.00000,79.25000,-0.75000,4552,False,2,146851,2102,0.83304,2.28027,0.83304,2.28027,1,-10.06852
2,9,9,120.00000,-4.00000,6.92820,0,True,110.00000,118.50000,-1.50000,2969,False,2,155207,2285,-0.94411,2.19810,-0.94411,2.19810,1,-6.75590
2,10,10,40.00000,6.12836,5.14230,0,True,30.00000,38.00000,-2.00000,2422,False,2,161128,1434,1.44393,1.43801,1.44393,1.43801,1,4.88230
2,11,11,140.00000,-6.12836,5.14230,0,True,130.00000,139.25000,-0.75000,2367,False,2,169835,2335,-1.35137,1.49964,-1.35137,1.49964,1,-7.97705
2,12,12,20.00000,7.51754,2.73616,0,True,10.00000,19.25000,-0.75000,3024,False,2,182511,2084,1.75863,0.98606,1.75863,0.98606,1,9.27925
2,13,13,160.00000,-7.51754,2.73616,0,True,150.00000,159.25000,-0.75000,2789,False,2,189967,2001,-1.88821,0.73955,-1.88821,0.73955,1,-1.38865
2,14,14,100.00000,-1.38919,7.87846,0,True,90.00000,100.50000,0.50000,3506,False,2,199458,2936,-0.16661,2.01321,-0.16661,2.01321,1,-5.26908
2,15,15,60.00000,4.00000,6.92820,0,True,50.00000,59.00000,-1.00000,1992,False,2,211350,2185,0.59238,2.05430,0.59238,2.05430,1,13.91450
2,16,16,80.00000,1.38919,7.87846,0,True,70.00000,81.50000,1.50000,5244,False,2,220641,2702,0.59238,1.91050,0.59238,1.91050,1,-7.22686
