task_idx,trial_idx,cutrial_no,targetangle_deg,targetx_cm,targety_cm,rotation_deg,doaiming_bool,aimstart_deg,aim_deg,aimdeviation_deg,aimtime_ms,zeroclamped_bool,phase,cutime_ms,time_ms,mousex_cm,mousey_cm,cursorx_cm,cursory_cm,deviation_bool
10,7,239,80.00000,1.38919,7.87846,-60,True,70.00000,128.00000,48.00000,5076,False,0,3406879,0,-0.48131,0.00000,-0.24065,0.41683,0
10,7,239,80.00000,1.38919,7.87846,-60,True,70.00000,128.00000,48.00000,5076,False,0,3406896,17,-0.48131,0.00000,-0.24065,0.41683,0
10,7,239,80.00000,1.38919,7.87846,-60,True,70.00000,128.00000,48.00000,5076,False,0,3406912,33,-0.48131,0.00000,-0.24065,0.41683,0
10,7,239,80.00000,1.38919,7.87846,-60,True,70.00000,128.00000,48.00000,5076,False,0,3406929,50,-0.48131,0.00000,-0.24065,0.41683,0
10,7,239,80.00000,1.38919,7.87846,-60,True,70.00000,128.00000,48.00000,5076,False,0,3406946,67,-0.48131,0.00000,-0.24065,0.41683,0
10,7,239,80.00000,1.38919,7.87846,-60,True,70.00000,128.00000,48.00000,5076,False,0,3406962,83,-0.48131,0.00000,-0.24065,0.41683,0
10,7,239,80.00000,1.38919,7.87846,-60,True,70.00000,128.00000,48.00000,5076,False,0,3406979,100,-0.48131,-0.02054,-0.25845,0.40655,0
10,7,239,80.00000,1.38919,7.87846,-60,True,70.00000,128.00000,48.00000,5076,False,0,3406995,116,-0.48131,-0.02054,-0.25845,0.40655,0
10,7,239,80.00000,1.38919,7.87846,-60,True,70.00000,128.00000,48.00000,5076,False,0,3407012,133,-0.48131,0.00000,-0.24065,0.41683,0
10,7,239,80.00000,1.38919,7.87846,-60,True,70.00000,128.00000,48.00000,5076,False,0,3407029,150,-0.48131,0.00000,-0.24065,0.41683,0
10,7,239,80.00000,1.38919,7.87846,-60,True,70.00000,128.00000,48.00000,5076,False,0,3407046,167,-0.48131,0.00000,-0.24065,0.41683,0
10,7,239,80.00000,1.38919,7.87846,-60,True,70.00000,128.00000,48.00000,5076,False,0,3407062,183,-0.48131,0.00000,-0.24065,0.41683,0
10,7,239,80.00000,1.38919,7.87846,-60,True,70.00000,128.00000,48.00000,5076,False,0,3407079,200,-0.48131,0.00000,-0.24065,0.41683,0
10,7,239,80.00000,1.38919,7.87846,-60,True,70.00000,128.00000,48.00000,5076,False,0,3407095,216,-0.48131,0.00000,-0.24065,0.41683,0
10,7,239,80.00000,1.38919,7.87846,-60,True,70.00000,128.00000,48.00000,5076,False,0,3407112,233,-0.48131,0.00000,-0.24065,0.41683,0
10,7,239,80.00000,1.38919,7.87846,-60,True,70.00000,128.00000,48.00000,5076,False,0,3407129,250,-0.48131,0.00000,-0.24065,0.41683,0
10,7,239,80.00000,1.38919,7.87846,-60,True,70.00000,128.00000,48.00000,5076,False,0,3407145,266,-0.48131,0.00000,-0.24065,0.41683,0
