task_idx,trial_idx,cutrial_no,targetangle_deg,targetx_cm,targety_cm,rotation_deg,doaiming_bool,aimstart_deg,aim_deg,aimdeviation_deg,aimtime_ms,zeroclamped_bool,phase,cutime_ms,time_ms,mousex_cm,mousey_cm,cursorx_cm,cursory_cm,deviation_bool,reachdeviation_deg
2,1,1,80.00000,1.38919,7.87846,0,True,70.00000,80.00000,0.00000,5671,False,2,40193,3236,0.37024,2.01321,0.37024,2.01321,1,-0.42056
2,2,2,60.00000,4.00000,6.92820,0,True,50.00000,60.00000,0.00000,3340,False,2,47115,717,1.03667,1.80778,1.03667,1.80778,1,0.16792
2,3,3,20.00000,7.51754,2.73616,0,True,10.00000,19.00000,-1.00000,3310,False,2,53670,683,1.92524,0.82172,1.92524,0.82172,1,3.11348
2,4,4,40.00000,6.12836,5.14230,0,True,30.00000,39.25000,-0.75000,4944,False,2,61893,717,1.79565,1.12986,1.79565,1.12986,1,-7.82105
2,5,5,120.00000,-4.00000,6.92820,0,True,110.00000,118.75000,-1.25000,2773,False,2,69049,1118,-1.20327,1.80778,-1.20327,1.80778,1,3.64799
2,6,6,160.00000,-7.51754,2.73616,0,True,150.00000,158.00000,-2.00000,2315,False,2,77005,800,-2.05482,0.51357,-2.05482,0.51357,1,5.96730
2,7,7,100.00000,-1.38919,7.87846,0,True,90.00000,100.50000,0.50000,3258,False,2,83994,734,-0.66643,2.13647,-0.66643,2.13647,1,7.32429
2,8,8,140.00000,-6.12836,5.14230,0,True,130.00000,138.50000,-1.50000,2322,False,2,90965,850,-1.64756,1.33529,-1.64756,1.33529,1,0.97644
2,9,9,40.00000,6.12836,5.14230,0,True,30.00000,38.25000,-1.75000,2974,False,2,97287,667,1.49946,1.43801,1.49946,1.43801,1,3.80158
2,10,10,120.00000,-4.00000,6.92820,0,True,110.00000,120.50000,0.50000,2658,False,2,103659,834,-0.90708,1.88995,-0.90708,1.88995,1,-4.36136
2,11,11,140.00000,-6.12836,5.14230,0,True,130.00000,138.00000,-2.00000,2957,False,2,110347,767,-1.53649,1.37638,-1.53649,1.37638,1,-1.85382
2,12,12,20.00000,7.51754,2.73616,0,True,10.00000,20.50000,0.50000,4609,False,2,121056,3303,1.92524,0.65737,1.92524,0.65737,1,-1.14761
2,13,13,160.00000,-7.51754,2.73616,0,True,150.00000,157.75000,-2.25000,2736,False,2,126893,750,-2.01780,0.92443,-2.01780,0.92443,1,-4.61430
2,14,14,60.00000,4.00000,6.92820,0,True,50.00000,58.25000,-1.75000,2542,False,2,133265,967,1.12923,1.68452,1.12923,1.68452,1,-3.83621
2,15,15,80.00000,1.38919,7.87846,0,True,70.00000,80.00000,0.00000,2325,False,2,139470,1218,0.57387,1.97212,0.57387,1.97212,1,-6.22454
2,16,16,100.00000,-1.38919,7.87846,0,True,90.00000,100.25000,0.25000,2590,False,2,145525,1018,-0.48131,2.19810,-0.48131,2.19810,1,2.35092
2,17,17,100.00000,-1.38919,7.87846,0,True,90.00000,100.75000,0.75000,3191,False,2,152330,1068,-0.37024,2.15701,-0.37024,2.15701,1,-0.26037
2,18,18,20.00000,7.51754,2.73616,0,True,10.00000,17.75000,-2.25000,3424,False,2,159268,850,1.86970,0.94498,1.86970,0.94498,1,6.81285
2,19,19,160.00000,-7.51754,2.73616,0,True,150.00000,158.25000,-1.75000,3472,False,2,168793,2753,-1.92524,0.57520,-1.92524,0.57520,1,3.36554
2,20,20,80.00000,1.38919,7.87846,0,True,70.00000,81.00000,1.00000,2287,False,2,174363,717,0.42577,2.05430,0.42577,2.05430,1,-1.70922
2,21,21,60.00000,4.00000,6.92820,0,True,50.00000,59.00000,-1.00000,2441,False,2,180318,950,0.99964,1.93104,0.99964,1.93104,1,2.63079
2,22,22,140.00000,-6.12836,5.14230,0,True,130.00000,139.00000,-1.00000,2108,False,2,185605,950,-1.61054,1.45855,-1.61054,1.45855,1,-2.16487
2,23,23,120.00000,-4.00000,6.92820,0,True,110.00000,121.00000,1.00000,2391,False,2,191860,1251,-1.25881,1.88995,-1.25881,1.88995,1,3.66578
2,24,24,40.00000,6.12836,5.14230,0,True,30.00000,39.25000,-0.75000,3108,False,2,198899,1167,1.59202,1.37638,1.59202,1.37638,1,0.84504
3,1,25,60.00000,4.00000,6.92820,0,True,50.00000,59.00000,-1.00000,2325,False,2,204620,917,1.11071,1.74615,1.03378,1.79057,1,-2.46007
3,2,26,120.00000,-4.00000,6.92820,0,True,110.00000,119.25000,-0.75000,2225,False,2,210308,917,-1.11071,1.74615,-1.03378,1.79057,1,2.46007
