task_idx,trial_idx,cutrial_no,targetangle_deg,targetx_cm,targety_cm,cursortype,rotation_deg,doaiming_bool,aimstart_deg,aim_deg,aimdeviation_deg,aimtime_ms,phase,cutime_ms,time_ms,mousex_cm,mousey_cm,cursorx_cm,cursory_cm,deviation_bool
12,89,201,80.00000,1.38919,7.87846,regular,-60,True,70.00000,114.25000,34.25000,4305,0,1962161,0,-0.01851,0.12326,0.09749,0.07766,0
12,89,201,80.00000,1.38919,7.87846,regular,-60,True,70.00000,114.25000,34.25000,4305,1,1962178,17,-0.01851,0.12326,0.09749,0.07766,0
12,89,201,80.00000,1.38919,7.87846,regular,-60,True,70.00000,114.25000,34.25000,4305,1,1962194,33,-0.01851,0.12326,0.09749,0.07766,0
12,89,201,80.00000,1.38919,7.87846,regular,-60,True,70.00000,114.25000,34.25000,4305,1,1962211,50,-0.01851,0.12326,0.09749,0.07766,0
12,89,201,80.00000,1.38919,7.87846,regular,-60,True,70.00000,114.25000,34.25000,4305,1,1962227,66,-0.01851,0.12326,0.09749,0.07766,0
12,89,201,80.00000,1.38919,7.87846,regular,-60,True,70.00000,114.25000,34.25000,4305,1,1962244,83,-0.01851,0.12326,0.09749,0.07766,0
12,89,201,80.00000,1.38919,7.87846,regular,-60,True,70.00000,114.25000,34.25000,4305,1,1962261,100,-0.01851,0.12326,0.09749,0.07766,0
12,89,201,80.00000,1.38919,7.87846,regular,-60,True,70.00000,114.25000,34.25000,4305,1,1962277,116,-0.01851,0.12326,0.09749,0.07766,0
12,89,201,80.00000,1.38919,7.87846,regular,-60,True,70.00000,114.25000,34.25000,4305,1,1962294,133,-0.01851,0.12326,0.09749,0.07766,0
12,89,201,80.00000,1.38919,7.87846,regular,-60,True,70.00000,114.25000,34.25000,4305,1,1962311,150,-0.01851,0.12326,0.09749,0.07766,0
12,89,201,80.00000,1.38919,7.87846,regular,-60,True,70.00000,114.25000,34.25000,4305,1,1962328,167,-0.01851,0.12326,0.09749,0.07766,0
12,89,201,80.00000,1.38919,7.87846,regular,-60,True,70.00000,114.25000,34.25000,4305,1,1962344,183,-0.01851,0.12326,0.09749,0.07766,0
12,89,201,80.00000,1.38919,7.87846,regular,-60,True,70.00000,114.25000,34.25000,4305,1,1962361,200,-0.01851,0.12326,0.09749,0.07766,0
12,89,201,80.00000,1.38919,7.87846,regular,-60,True,70.00000,114.25000,34.25000,4305,1,1962378,217,-0.01851,0.12326,0.09749,0.07766,0
12,89,201,80.00000,1.38919,7.87846,regular,-60,True,70.00000,114.25000,34.25000,4305,1,1962394,233,-0.01851,0.12326,0.09749,0.07766,0
12,89,201,80.00000,1.38919,7.87846,regular,-60,True,70.00000,114.25000,34.25000,4305,1,1962411,250,-0.01851,0.12326,0.09749,0.07766,0
12,89,201,80.00000,1.38919,7.87846,regular,-60,True,70.00000,114.25000,34.25000,4305,1,1962428,267,-0.01851,0.12326,0.09749,0.07766,0
12,89,201,80.00000,1.38919,7.87846,regular,-60,True,70.00000,114.25000,34.25000,4305,1,1962444,283,-0.01851,0.12326,0.09749,0.07766,0
12,89,201,80.00000,1.38919,7.87846,regular,-60,True,70.00000,114.25000,34.25000,4305,1,1962461,300,-0.01851,0.12326,0.09749,0.07766,0
12,89,201,80.00000,1.38919,7.87846,regular,-60,True,70.00000,114.25000,34.25000,4305,1,1962477,316,-0.01851,0.14380,0.11528,0.08793,0
12,89,201,80.00000,1.38919,7.87846,regular,-60,True,70.00000,114.25000,34.25000,4305,1,1962494,333,-0.03702,0.14380,0.10602,0.10396,0
12,89,201,80.00000,1.38919,7.87846,regular,-60,True,70.00000,114.25000,34.25000,4305,1,1962511,350,-0.05554,0.14380,0.09677,0.12000,0
12,89,201,80.00000,1.38919,7.87846,regular,-60,True,70.00000,114.25000,34.25000,4305,2,1962528,367,-0.07405,0.16434,0.10530,0.14630,0
12,89,201,80.00000,1.38919,7.87846,regular,-60,True,70.00000,114.25000,34.25000,4305,2,1962545,384,-0.11107,0.16434,0.08679,0.17836,0
12,89,201,80.00000,1.38919,7.87846,regular,-60,True,70.00000,114.25000,34.25000,4305,2,1962561,400,-0.12958,0.16434,0.07753,0.19439,0
12,89,201,80.00000,1.38919,7.87846,regular,-60,True,70.00000,114.25000,34.25000,4305,2,1962578,417,-0.16661,0.18489,0.07681,0.23673,0
12,89,201,80.00000,1.38919,7.87846,regular,-60,True,70.00000,114.25000,34.25000,4305,2,1962594,433,-0.20363,0.22597,0.09388,0.28934,0
12,89,201,80.00000,1.38919,7.87846,regular,-60,True,70.00000,114.25000,34.25000,4305,2,1962611,450,-0.24065,0.24652,0.09316,0.33167,0
