task_idx,trial_idx,cutrial_no,targetangle_deg,targetx_cm,targety_cm,cursortype,rotation_deg,doaiming_bool,aimstart_deg,aim_deg,aimdeviation_deg,aimtime_ms,phase,cutime_ms,time_ms,mousex_cm,mousey_cm,cursorx_cm,cursory_cm,deviation_bool,reachdeviation_deg
2,1,1,40.00000,6.12836,5.14230,regular,0,True,30.00000,40.25000,0.25000,4487.00000,2,68125,3286,1.62905,1.23258,1.62905,1.23258,1,-2.88794
2,2,2,120.00000,-4.00000,6.92820,regular,0,True,110.00000,119.25000,-0.75000,2689.00000,2,74680,1000,-0.64792,2.03375,-0.64792,2.03375,1,-12.32896
2,3,3,20.00000,7.51754,2.73616,regular,0,True,10.00000,19.75000,-0.25000,3224.00000,2,82403,1851,1.98077,0.76009,1.98077,0.76009,1,0.99354
2,4,4,100.00000,-1.38919,7.87846,regular,0,True,90.00000,100.00000,0.00000,6642.00000,2,95579,4252,0.07405,2.09538,0.07405,2.09538,1,-12.02397
2,5,5,60.00000,4.00000,6.92820,regular,0,True,50.00000,60.50000,0.50000,2797.00000,2,102101,1217,1.09220,1.80778,1.09220,1.80778,1,-1.13896
2,6,6,140.00000,-6.12836,5.14230,regular,0,True,130.00000,139.50000,-0.50000,3907.00000,2,110408,2002,-1.44393,1.56127,-1.44393,1.56127,1,-7.23602
2,7,7,80.00000,1.38919,7.87846,regular,0,True,70.00000,81.00000,1.00000,2503.00000,2,117279,2268,0.31470,1.99267,0.31470,1.99267,1,1.02547
2,8,8,160.00000,-7.51754,2.73616,regular,0,True,150.00000,159.00000,-1.00000,2956.00000,2,123351,901,-2.09185,0.86280,-2.09185,0.86280,1,-2.41408
2,9,9,20.00000,7.51754,2.73616,regular,0,True,10.00000,19.25000,-0.75000,3109.00000,2,129906,1034,2.16589,0.59575,2.16589,0.59575,1,-4.62055
2,10,10,160.00000,-7.51754,2.73616,regular,0,True,150.00000,160.50000,0.50000,3343.00000,2,136578,1268,-2.03631,0.88335,-2.03631,0.88335,1,-3.45117
2,11,11,80.00000,1.38919,7.87846,regular,0,True,70.00000,81.75000,1.75000,2157.00000,2,142015,1084,0.35173,1.97212,0.35173,1.97212,1,-0.11244
2,12,12,100.00000,-1.38919,7.87846,regular,0,True,90.00000,100.00000,0.00000,1908.00000,2,147336,1284,-0.37024,2.05430,-0.37024,2.05430,1,0.21656
2,13,13,40.00000,6.12836,5.14230,regular,0,True,30.00000,38.50000,-1.50000,2337.00000,2,153658,1018,1.68458,1.27366,1.68458,1.27366,1,-2.90818
2,14,14,120.00000,-4.00000,6.92820,regular,0,True,110.00000,120.00000,0.00000,3209.00000,2,160513,1218,-0.99964,2.03375,-0.99964,2.03375,1,-3.82471
2,15,15,140.00000,-6.12836,5.14230,regular,0,True,130.00000,139.75000,-0.25000,1989.00000,2,166818,1752,-1.42542,1.49964,-1.42542,1.49964,1,-6.45350
2,16,16,60.00000,4.00000,6.92820,regular,0,True,50.00000,61.50000,1.50000,3189.00000,2,173373,934,0.98113,1.84887,0.98113,1.84887,1,2.04669
2,17,17,140.00000,-6.12836,5.14230,regular,0,True,130.00000,139.25000,-0.75000,2342.00000,2,178810,1017,-1.40690,1.78724,-1.40690,1.78724,1,-11.79048
2,18,18,80.00000,1.38919,7.87846,regular,0,True,70.00000,79.50000,-0.50000,2257.00000,2,184381,1101,0.12958,2.11593,0.12958,2.11593,1,6.49557
2,19,19,20.00000,7.51754,2.73616,regular,0,True,10.00000,20.00000,0.00000,2023.00000,2,189936,1135,1.90673,0.71900,1.90673,0.71900,1,0.66073
2,20,20,120.00000,-4.00000,6.92820,regular,0,True,110.00000,120.25000,0.25000,2070.00000,2,196924,1234,-1.31435,1.64344,-1.31435,1.64344,1,8.65126
2,21,21,160.00000,-7.51754,2.73616,regular,0,True,150.00000,159.50000,-0.50000,2958.00000,2,203112,1184,-1.86970,0.82172,-1.86970,0.82172,1,-3.72515
2,22,22,40.00000,6.12836,5.14230,regular,0,True,30.00000,38.25000,-1.75000,2624.00000,2,209367,1334,1.61054,1.25312,1.61054,1.25312,1,-2.11443
2,23,23,100.00000,-1.38919,7.87846,regular,0,True,90.00000,102.00000,2.00000,3172.00000,2,216439,1167,-0.44429,1.99267,-0.44429,1.99267,1,2.56920
2,24,24,60.00000,4.00000,6.92820,regular,0,True,50.00000,61.25000,1.25000,3241.00000,2,222994,1101,0.94411,1.76669,0.94411,1.76669,1,1.88018
3,1,25,120.00000,-4.00000,6.92820,nocursor,0,False,,,,,2,249631,1717,-0.61089,1.95158,0.00000,0.00000,1,-12.61866
3,2,26,20.00000,7.51754,2.73616,nocursor,0,False,,,,,2,255069,1410,0.61089,1.95158,0.00000,0.00000,1,52.61866
3,3,27,40.00000,6.12836,5.14230,nocursor,0,False,,,,,2,259823,1145,0.72196,1.86941,0.00000,0.00000,1,28.88360
3,4,28,100.00000,-1.38919,7.87846,nocursor,0,False,,,,,2,264593,906,-0.35173,1.99267,0.00000,0.00000,1,0.01028
3,5,29,140.00000,-6.12836,5.14230,nocursor,0,False,,,,,2,269463,1278,-0.31470,2.07484,0.00000,0.00000,1,-41.37544
3,6,30,80.00000,1.38919,7.87846,nocursor,0,False,,,,,2,276485,3495,0.16661,2.07484,0.00000,0.00000,1,5.40899
3,7,31,160.00000,-7.51754,2.73616,nocursor,0,False,,,,,2,280038,1007,-0.37024,2.05430,0.00000,0.00000,1,-59.78344
3,8,32,60.00000,4.00000,6.92820,nocursor,0,False,,,,,2,283524,763,0.66643,1.93104,0.00000,0.00000,1,10.95970
3,9,33,60.00000,4.00000,6.92820,nocursor,0,False,,,,,2,287894,979,0.92560,1.88995,0.00000,0.00000,1,3.90677
3,10,34,20.00000,7.51754,2.73616,nocursor,0,False,,,,,2,291797,947,0.75899,1.86941,0.00000,0.00000,1,47.90260
