task_idx,trial_idx,cutrial_no,targetangle_deg,targetx_cm,targety_cm,cursortype,rotation_deg,doaiming_bool,aimstart_deg,aim_deg,aimdeviation_deg,aimtime_ms,phase,cutime_ms,time_ms,mousex_cm,mousey_cm,cursorx_cm,cursory_cm,deviation_bool,reachdeviation_deg
2,1,1,100.00000,-1.38919,7.87846,regular,0,True,90.00000,100.00000,0.00000,3135.00000,2,64051,9491,-0.44429,1.99267,-0.44429,1.99267,1,2.56920
2,2,2,80.00000,1.38919,7.87846,regular,0,True,70.00000,80.50000,0.50000,3260.00000,2,72774,2051,0.44429,2.03375,0.44429,2.03375,1,-2.32315
2,3,3,60.00000,4.00000,6.92820,regular,0,True,50.00000,59.25000,-0.75000,6038.00000,2,83383,1485,1.12923,1.72561,1.12923,1.72561,1,-3.20052
2,4,4,120.00000,-4.00000,6.92820,regular,0,True,110.00000,119.25000,-0.75000,2570.00000,2,91522,2051,-1.20327,1.60235,-1.20327,1.60235,1,6.90438
2,5,5,160.00000,-7.51754,2.73616,regular,0,True,150.00000,159.50000,-0.50000,3471.00000,2,98795,1235,-1.94375,0.78063,-1.94375,0.78063,1,-1.88090
2,6,6,40.00000,6.12836,5.14230,regular,0,True,30.00000,38.50000,-1.50000,3224.00000,2,111937,1233,1.61054,1.27366,1.61054,1.27366,1,-1.66207
2,7,7,140.00000,-6.12836,5.14230,regular,0,True,130.00000,139.00000,-1.00000,2220.00000,2,118360,1218,-1.59202,1.33529,-1.59202,1.33529,1,0.01211
2,8,8,20.00000,7.51754,2.73616,regular,0,True,10.00000,21.50000,1.50000,3706.00000,2,126349,1601,2.07333,0.78063,2.07333,0.78063,1,0.63187
2,9,9,100.00000,-1.38919,7.87846,regular,0,True,90.00000,100.50000,0.50000,3089.00000,2,133705,1752,-0.48131,1.97212,-0.48131,1.97212,1,3.71533
2,10,10,60.00000,4.00000,6.92820,regular,0,True,50.00000,58.25000,-1.75000,5674.00000,2,143145,1584,1.12923,1.82832,1.12923,1.82832,1,-1.70083
2,11,11,80.00000,1.38919,7.87846,regular,0,True,70.00000,79.75000,-0.25000,4793.00000,2,152419,2268,0.61089,2.01321,0.61089,2.01321,1,-6.87994
2,12,12,20.00000,7.51754,2.73616,regular,0,True,10.00000,20.00000,0.00000,2804.00000,2,158974,1401,1.90673,0.80118,1.90673,0.80118,1,2.79143
2,13,13,160.00000,-7.51754,2.73616,regular,0,True,150.00000,158.75000,-1.25000,2753.00000,2,167381,2669,-1.94375,0.63683,-1.94375,0.63683,1,1.85967
2,14,14,140.00000,-6.12836,5.14230,regular,0,True,130.00000,139.25000,-0.75000,2251.00000,2,173685,1217,-1.72161,1.10932,-1.72161,1.10932,1,7.20428
2,15,15,40.00000,6.12836,5.14230,regular,0,True,30.00000,39.25000,-0.75000,2438.00000,2,179723,967,1.64756,1.33529,1.64756,1.33529,1,-0.97644
2,16,16,120.00000,-4.00000,6.92820,regular,0,True,110.00000,120.00000,0.00000,2305.00000,2,187830,2886,-1.11071,1.68452,-1.11071,1.68452,1,3.39938
