task_idx,trial_idx,cutrial_no,targetangle_deg,targetx_cm,targety_cm,cursortype,rotation_deg,doaiming_bool,aimstart_deg,aim_deg,aimdeviation_deg,aimtime_ms,phase,cutime_ms,time_ms,mousex_cm,mousey_cm,cursorx_cm,cursory_cm,deviation_bool,reachdeviation_deg
2,1,1,60.00000,4.00000,6.92820,regular,0,True,50.00000,58.75000,-1.25000,5804.00000,2,60960,1817,0.90708,1.84887,0.90708,1.84887,1,3.86682
2,2,2,20.00000,7.51754,2.73616,regular,0,True,10.00000,20.00000,0.00000,3762.00000,2,68266,634,1.90673,0.94498,1.90673,0.94498,1,6.36313
2,3,3,100.00000,-1.38919,7.87846,regular,0,True,90.00000,100.25000,0.25000,2075.00000,2,75955,3069,-0.75899,2.05430,-0.75899,2.05430,1,10.27746
2,4,4,120.00000,-4.00000,6.92820,regular,0,True,110.00000,120.50000,0.50000,2716.00000,2,83211,1585,-1.42542,1.70507,-1.42542,1.70507,1,9.89526
2,5,5,80.00000,1.38919,7.87846,regular,0,True,70.00000,80.00000,0.00000,3324.00000,2,90116,1534,0.38875,2.11593,0.38875,2.11593,1,-0.41059
2,6,6,40.00000,6.12836,5.14230,regular,0,True,30.00000,39.50000,-0.50000,2140.00000,2,95387,851,1.38839,1.47909,1.38839,1.47909,1,6.81169
2,7,7,140.00000,-6.12836,5.14230,regular,0,True,130.00000,139.50000,-0.50000,1957.00000,2,101658,1417,-1.70310,1.29421,-1.70310,1.29421,1,2.76828
2,8,8,160.00000,-7.51754,2.73616,regular,0,True,150.00000,158.75000,-1.25000,2123.00000,2,107229,967,-2.01780,0.65737,-2.01780,0.65737,1,1.95514
2,9,9,120.00000,-4.00000,6.92820,regular,0,True,110.00000,120.75000,0.75000,3452.00000,2,116636,950,-1.48095,1.41746,-1.48095,1.41746,1,16.25487
2,10,10,40.00000,6.12836,5.14230,regular,0,True,30.00000,38.50000,-1.50000,1574.00000,2,121223,834,1.29583,1.54072,1.29583,1.54072,1,9.93432
2,11,11,140.00000,-6.12836,5.14230,regular,0,True,130.00000,139.00000,-1.00000,2041.00000,2,126510,900,-1.68458,1.21203,-1.68458,1.21203,1,4.26555
2,12,12,160.00000,-7.51754,2.73616,regular,0,True,150.00000,158.75000,-1.25000,2092.00000,2,131998,984,-1.98077,0.65737,-1.98077,0.65737,1,1.64023
2,13,13,100.00000,-1.38919,7.87846,regular,0,True,90.00000,100.50000,0.50000,2170.00000,2,138370,1051,-0.59238,2.03375,-0.59238,2.03375,1,6.23951
2,14,14,20.00000,7.51754,2.73616,regular,0,True,10.00000,20.75000,0.75000,3017.00000,2,147093,1034,1.90673,1.08878,1.90673,1.08878,1,9.72721
2,15,15,80.00000,1.38919,7.87846,regular,0,True,70.00000,80.25000,0.25000,3457.00000,2,154682,1084,0.53685,2.07484,0.53685,2.07484,1,-4.50673
2,16,16,60.00000,4.00000,6.92820,regular,0,True,50.00000,59.25000,-0.75000,2140.00000,2,160520,967,0.99964,1.84887,0.99964,1.84887,1,1.60097
2,17,17,100.00000,-1.38919,7.87846,regular,0,True,90.00000,100.75000,0.75000,2507.00000,2,166474,900,-0.59238,2.15701,-0.59238,2.15701,1,5.35655
2,18,18,80.00000,1.38919,7.87846,regular,0,True,70.00000,79.75000,-0.25000,2076.00000,2,171728,850,0.18512,2.15701,0.18512,2.15701,1,5.09475
2,19,19,60.00000,4.00000,6.92820,regular,0,True,50.00000,59.75000,-0.25000,1691.00000,2,176399,801,0.83304,1.99267,0.83304,1.99267,1,7.31253
2,20,20,20.00000,7.51754,2.73616,regular,0,True,10.00000,20.00000,0.00000,3376.00000,2,182854,701,1.96226,0.94498,1.96226,0.94498,1,5.71441
