task_idx,trial_idx,cutrial_no,targetangle_deg,targetx_cm,targety_cm,cursortype,rotation_deg,doaiming_bool,aimstart_deg,aim_deg,aimdeviation_deg,aimtime_ms,phase,cutime_ms,time_ms,mousex_cm,mousey_cm,cursorx_cm,cursory_cm,deviation_bool,reachdeviation_deg
2,1,1,100.00000,-1.38919,7.87846,regular,0,True,90.00000,100.25000,0.25000,3836.00000,2,78606,4654,-0.42577,2.09538,-0.42577,2.09538,1,1.48582
2,2,2,20.00000,7.51754,2.73616,regular,0,True,10.00000,19.50000,-0.50000,4007.00000,2,88230,4203,2.03631,0.86280,2.03631,0.86280,1,2.96274
2,3,3,160.00000,-7.51754,2.73616,regular,0,True,150.00000,160.75000,0.75000,2301.00000,2,95802,3469,-1.94375,0.76009,-1.94375,0.76009,1,-1.35764
2,4,4,140.00000,-6.12836,5.14230,regular,0,True,130.00000,140.25000,0.25000,2587.00000,2,102807,2985,-1.46244,1.41746,-1.46244,1.41746,1,-4.10519
2,5,5,60.00000,4.00000,6.92820,regular,0,True,50.00000,59.00000,-1.00000,2635.00000,2,108211,483,1.42542,1.47909,1.42542,1.47909,1,-13.94140
2,6,6,120.00000,-4.00000,6.92820,regular,0,True,110.00000,119.75000,-0.25000,2995.00000,2,115984,2669,-1.14774,1.76669,-1.14774,1.76669,1,3.00999
2,7,7,80.00000,1.38919,7.87846,regular,0,True,70.00000,79.25000,-0.75000,2052.00000,2,121221,600,0.77750,2.09538,0.77750,2.09538,1,-10.35759
2,8,8,40.00000,6.12836,5.14230,regular,0,True,30.00000,38.75000,-1.25000,2477.00000,2,126308,500,1.35137,1.58181,1.35137,1.58181,1,9.49211
2,9,9,160.00000,-7.51754,2.73616,regular,0,True,150.00000,161.25000,1.25000,2926.00000,2,134898,3386,-2.11036,0.82172,-2.11036,0.82172,1,-1.27466
2,10,10,40.00000,6.12836,5.14230,regular,0,True,30.00000,39.50000,-0.50000,3332.00000,2,143037,3169,1.61054,1.56127,1.61054,1.56127,1,4.11006
2,11,11,100.00000,-1.38919,7.87846,regular,0,True,90.00000,100.50000,0.50000,2617.00000,2,154246,6539,-0.38875,2.07484,-0.38875,2.07484,1,0.61212
2,12,12,120.00000,-4.00000,6.92820,regular,0,True,110.00000,120.75000,0.75000,2395.00000,2,160851,2735,-1.33286,1.74615,-1.33286,1.74615,1,7.35499
2,13,13,80.00000,1.38919,7.87846,regular,0,True,70.00000,79.50000,-0.50000,3251.00000,2,173077,6138,0.44429,2.23918,0.44429,2.23918,1,-1.22266
2,14,14,140.00000,-6.12836,5.14230,regular,0,True,130.00000,139.50000,-0.50000,1980.00000,2,179682,2852,-1.53649,1.56127,-1.53649,1.56127,1,-5.45832
