task_idx,trial_idx,cutrial_no,targetangle_deg,targetx_cm,targety_cm,cursortype,rotation_deg,doaiming_bool,aimstart_deg,aim_deg,aimdeviation_deg,aimtime_ms,phase,cutime_ms,time_ms,mousex_cm,mousey_cm,cursorx_cm,cursory_cm,deviation_bool,reachdeviation_deg
2,1,1,80.00000,1.38919,7.87846,regular,0,True,70.00000,80.25000,0.25000,10391.00000,2,81824,8907,0.53685,1.95158,0.53685,1.95158,1,-5.38077
2,2,2,60.00000,4.00000,6.92820,regular,0,True,50.00000,59.50000,-0.50000,4341.00000,2,94567,2735,1.22179,1.74615,1.22179,1.74615,1,-4.98068
2,3,3,20.00000,7.51754,2.73616,regular,0,True,10.00000,19.50000,-0.50000,2870.00000,2,101806,2035,1.92524,0.84226,1.92524,0.84226,1,3.62857
2,4,4,100.00000,-1.38919,7.87846,regular,0,True,90.00000,99.75000,-0.25000,2788.00000,2,108194,984,-0.01851,2.01321,-0.01851,2.01321,1,-9.47322
2,5,5,40.00000,6.12836,5.14230,regular,0,True,30.00000,40.75000,0.75000,4242.00000,2,115766,833,1.79565,1.35584,1.79565,1.35584,1,-2.94467
2,6,6,140.00000,-6.12836,5.14230,regular,0,True,130.00000,138.50000,-1.50000,5277.00000,2,125257,1801,-1.51798,1.58181,-1.51798,1.58181,1,-6.17965
2,7,7,120.00000,-4.00000,6.92820,regular,0,True,110.00000,118.00000,-2.00000,4624.00000,2,133280,934,-1.18476,1.62289,-1.18476,1.62289,1,6.13060
2,8,8,160.00000,-7.51754,2.73616,regular,0,True,150.00000,157.00000,-3.00000,2542.00000,2,139201,950,-1.98077,0.69846,-1.98077,0.69846,1,0.57631
2,9,9,20.00000,7.51754,2.73616,regular,0,True,10.00000,20.50000,0.50000,2326.00000,2,147324,3402,2.09185,0.14380,2.09185,0.14380,1,-16.06750
2,10,10,100.00000,-1.38919,7.87846,regular,0,True,90.00000,100.00000,0.00000,2479.00000,2,156515,2002,-0.40726,2.01321,-0.40726,2.01321,1,1.43625
2,11,11,60.00000,4.00000,6.92820,regular,0,True,50.00000,58.50000,-1.50000,2071.00000,2,162503,1435,1.31435,1.60235,1.31435,1.60235,1,-9.36080
2,12,12,120.00000,-4.00000,6.92820,regular,0,True,110.00000,117.75000,-2.25000,6628.00000,2,172377,867,-0.18512,1.99267,-0.18512,1.99267,1,-24.69243
2,13,13,40.00000,6.12836,5.14230,regular,0,True,30.00000,41.00000,1.00000,2441.00000,2,178048,801,1.68458,1.37638,1.68458,1.37638,1,-0.74958
2,14,14,80.00000,1.38919,7.87846,regular,0,True,70.00000,80.25000,0.25000,2258.00000,2,184136,1401,0.77750,1.93104,0.77750,1.93104,1,-11.93133
2,15,15,140.00000,-6.12836,5.14230,regular,0,True,130.00000,137.00000,-3.00000,2021.00000,2,190090,984,-1.49946,1.54072,-1.49946,1.54072,1,-5.77755
2,16,16,160.00000,-7.51754,2.73616,regular,0,True,150.00000,158.50000,-1.50000,3955.00000,2,198330,967,-2.11036,0.47249,-2.11036,0.47249,1,7.38013
2,17,17,160.00000,-7.51754,2.73616,regular,0,True,150.00000,158.00000,-2.00000,2023.00000,2,204385,984,-1.94375,0.71900,-1.94375,0.71900,1,-0.29961
2,18,18,80.00000,1.38919,7.87846,regular,0,True,70.00000,78.75000,-1.25000,1787.00000,2,210640,968,0.42577,2.01321,0.42577,2.01321,1,-1.94142
2,19,19,60.00000,4.00000,6.92820,regular,0,True,50.00000,58.50000,-1.50000,1707.00000,2,215827,934,1.35137,1.70507,1.35137,1.70507,1,-8.39893
2,20,20,20.00000,7.51754,2.73616,regular,0,True,10.00000,19.00000,-1.00000,2508.00000,2,224083,3352,1.99929,0.61629,1.99929,0.61629,1,-2.86785
2,21,21,140.00000,-6.12836,5.14230,regular,0,True,130.00000,136.25000,-3.75000,1584.00000,2,228904,1001,-1.62905,1.45855,-1.62905,1.45855,1,-1.83929
2,22,22,40.00000,6.12836,5.14230,regular,0,True,30.00000,39.25000,-0.75000,2810.00000,2,234291,734,1.86970,1.23258,1.86970,1.23258,1,-6.60555
2,23,23,100.00000,-1.38919,7.87846,regular,0,True,90.00000,100.00000,0.00000,2391.00000,2,240179,917,-0.20363,2.09538,-0.20363,2.09538,1,-4.44940
2,24,24,120.00000,-4.00000,6.92820,regular,0,True,110.00000,118.75000,-1.25000,2242.00000,2,246017,1368,-0.79601,2.03375,-0.79601,2.03375,1,-8.62462
3,1,25,160.00000,-7.51754,2.73616,nocursor,0,False,,,,,2,276307,5738,-1.98077,0.59575,0.00000,0.00000,1,3.26045
3,2,26,60.00000,4.00000,6.92820,nocursor,0,False,,,,,2,284196,1972,1.22179,1.62289,0.00000,0.00000,1,-6.97420
3,3,27,100.00000,-1.38919,7.87846,nocursor,0,False,,,,,2,288116,1229,0.09256,2.09538,0.00000,0.00000,1,-12.52930
3,4,28,20.00000,7.51754,2.73616,nocursor,0,False,,,,,2,293070,1294,1.90673,0.63683,0.00000,0.00000,1,-1.53116
3,5,29,120.00000,-4.00000,6.92820,nocursor,0,False,,,,,2,297256,1412,-0.83304,1.82832,0.00000,0.00000,1,-5.50450
3,6,30,80.00000,1.38919,7.87846,nocursor,0,False,,,,,2,301710,1211,0.64792,1.95158,0.00000,0.00000,1,-8.36605
3,7,31,140.00000,-6.12836,5.14230,nocursor,0,False,,,,,2,307998,1509,-1.40690,1.47909,0.00000,0.00000,1,-6.43289
3,8,32,40.00000,6.12836,5.14230,nocursor,0,False,,,,,2,312802,1044,1.79565,1.06823,0.00000,0.00000,1,-9.25164
3,9,33,160.00000,-7.51754,2.73616,nocursor,0,False,,,,,2,318139,2013,-1.81417,0.92443,0.00000,0.00000,1,-7.00161
