task_idx,trial_idx,cutrial_no,targetangle_deg,targetx_cm,targety_cm,rotation_deg,doaiming_bool,aimstart_deg,aim_deg,aimdeviation_deg,aimtime_ms,zeroclamped_bool,phase,cutime_ms,time_ms,mousex_cm,mousey_cm,cursorx_cm,cursory_cm,deviation_bool,reachdeviation_deg
2,1,1,20.00000,7.51754,2.73616,0,True,10.00000,18.25000,-1.75000,4970,False,2,46205,2369,1.90673,1.02715,1.90673,1.02715,1,8.31122
2,2,2,160.00000,-7.51754,2.73616,0,True,150.00000,159.25000,-0.75000,5561,False,2,56412,1567,-2.01780,0.45195,-2.01780,0.45195,1,7.37517
2,3,3,40.00000,6.12836,5.14230,0,True,30.00000,39.50000,-0.50000,4787,False,2,66804,2202,1.46244,1.66398,1.46244,1.66398,1,8.68838
2,4,4,120.00000,-4.00000,6.92820,0,True,110.00000,120.25000,0.25000,2771,False,2,73109,851,-1.18476,1.66398,-1.18476,1.66398,1,5.45101
2,5,5,100.00000,-1.38919,7.87846,0,True,90.00000,100.50000,0.50000,2790,False,2,79431,1051,0.22214,-2.03375,0.22214,-2.03375,1,176.23352
2,6,6,140.00000,-6.12836,5.14230,0,True,130.00000,139.00000,-1.00000,2874,False,2,85903,784,-1.55500,1.54072,-1.55500,1.54072,1,-4.73571
2,7,7,60.00000,4.00000,6.92820,0,True,50.00000,60.00000,0.00000,2126,False,2,91140,850,1.12923,1.72561,1.12923,1.72561,1,-3.20052
2,8,8,80.00000,1.38919,7.87846,0,True,70.00000,79.75000,-0.25000,8729,False,2,105151,2635,0.77750,1.97212,0.77750,1.97212,1,-11.51663
2,9,9,20.00000,7.51754,2.73616,0,True,10.00000,18.50000,-1.50000,5588,False,2,114325,1084,1.79565,1.29421,1.79565,1.29421,1,15.78208
2,10,10,160.00000,-7.51754,2.73616,0,True,150.00000,159.75000,-0.25000,2923,False,2,121547,1601,-1.92524,0.80118,-1.92524,0.80118,1,-2.59442
2,11,11,120.00000,-4.00000,6.92820,0,True,110.00000,119.00000,-1.00000,2925,False,2,134858,2068,-1.36988,1.58181,-1.36988,1.58181,1,10.89324
2,12,12,80.00000,1.38919,7.87846,0,True,70.00000,80.75000,0.75000,2786,False,2,141580,1201,0.31470,2.13647,0.31470,2.13647,1,1.62064
2,13,13,100.00000,-1.38919,7.87846,0,True,90.00000,99.50000,-0.50000,2539,False,2,148152,1218,-0.22214,2.15701,-0.22214,2.15701,1,-4.12011
2,14,14,140.00000,-6.12836,5.14230,0,True,130.00000,139.25000,-0.75000,3125,False,2,154574,1134,-1.59202,1.64344,-1.59202,1.64344,1,-5.91050
2,15,15,40.00000,6.12836,5.14230,0,True,30.00000,39.25000,-0.75000,2940,False,2,161446,934,1.44393,1.70507,1.44393,1.70507,1,9.74057
2,16,16,60.00000,4.00000,6.92820,0,True,50.00000,60.50000,0.50000,3306,False,2,168768,901,1.25881,1.74615,1.25881,1.74615,1,-5.78806
2,17,17,120.00000,-4.00000,6.92820,0,True,110.00000,118.75000,-1.25000,2992,False,2,175240,1051,-1.01815,1.88995,-1.01815,1.88995,1,-1.68786
2,18,18,100.00000,-1.38919,7.87846,0,True,90.00000,99.25000,-0.75000,3023,False,2,183129,2051,-0.62940,2.15701,-0.62940,2.15701,1,6.26687
2,19,19,40.00000,6.12836,5.14230,0,True,30.00000,39.50000,-0.50000,2367,False,2,189751,1051,1.57351,1.47909,1.57351,1.47909,1,3.22835
2,20,20,80.00000,1.38919,7.87846,0,True,70.00000,81.00000,1.00000,3445,False,2,196607,918,0.62940,1.99267,0.62940,1.99267,1,-7.52912
2,21,21,60.00000,4.00000,6.92820,0,True,50.00000,59.25000,-0.75000,2410,False,2,202194,917,0.99964,1.82832,0.99964,1.82832,1,1.33222
2,22,22,20.00000,7.51754,2.73616,0,True,10.00000,18.25000,-1.75000,2276,False,2,207565,867,1.90673,1.17095,1.90673,1.17095,1,11.55468
