task_idx,trial_idx,cutrial_no,targetangle_deg,targetx_cm,targety_cm,rotation_deg,doaiming_bool,aimstart_deg,aim_deg,aimdeviation_deg,aimtime_ms,zeroclamped_bool,phase,cutime_ms,time_ms,mousex_cm,mousey_cm,cursorx_cm,cursory_cm,deviation_bool,reachdeviation_deg
2,1,1,100.00000,-1.38919,7.87846,0,True,90.00000,99.50000,-0.50000,6888,False,2,58177,6488,-0.37024,2.03375,-0.37024,2.03375,1,0.31759
2,2,2,60.00000,4.00000,6.92820,0,True,50.00000,59.50000,-0.50000,3115,False,2,67034,1351,1.07369,1.70507,1.07369,1.70507,1,-2.19880
2,3,3,160.00000,-7.51754,2.73616,0,True,150.00000,158.75000,-1.25000,2063,False,2,76341,950,-1.90673,0.69846,-1.90673,0.69846,1,-0.11844
2,4,4,120.00000,-4.00000,6.92820,0,True,110.00000,120.00000,0.00000,3682,False,2,89251,2902,-0.98113,1.78724,-0.98113,1.78724,1,-1.23481
2,5,5,140.00000,-6.12836,5.14230,0,True,130.00000,140.25000,0.25000,2630,False,2,97575,918,-1.51798,1.35584,-1.51798,1.35584,1,-1.77081
2,6,6,40.00000,6.12836,5.14230,0,True,30.00000,39.75000,-0.25000,5571,False,2,109400,1167,1.33286,1.52018,1.33286,1.52018,1,8.75644
2,7,7,20.00000,7.51754,2.73616,0,True,10.00000,20.75000,0.75000,3886,False,2,119508,884,1.77714,1.12986,1.77714,1.12986,1,12.44715
2,8,8,80.00000,1.38919,7.87846,0,True,70.00000,78.75000,-1.25000,2303,False,2,126847,817,0.24065,2.01321,0.24065,2.01321,1,3.18347
2,9,9,40.00000,6.12836,5.14230,0,True,30.00000,39.75000,-0.25000,2115,False,2,137422,2552,1.53649,1.33529,1.53649,1.33529,1,0.99234
2,10,10,20.00000,7.51754,2.73616,0,True,10.00000,20.75000,0.75000,3183,False,2,147396,2335,1.86970,0.88335,1.86970,0.88335,1,5.28865
2,11,11,160.00000,-7.51754,2.73616,0,True,150.00000,159.00000,-1.00000,1550,False,2,153651,634,-1.98077,0.30814,-1.98077,0.30814,1,11.15761
2,12,12,120.00000,-4.00000,6.92820,0,True,110.00000,119.00000,-1.00000,2601,False,2,161607,684,-1.31435,1.54072,-1.31435,1.54072,1,10.46667
2,13,13,60.00000,4.00000,6.92820,0,True,50.00000,59.50000,-0.50000,2403,False,2,168980,851,0.99964,1.86941,0.99964,1.86941,1,1.86500
2,14,14,80.00000,1.38919,7.87846,0,True,70.00000,79.25000,-0.75000,1504,False,2,174751,701,0.42577,2.01321,0.42577,2.01321,1,-1.94142
2,15,15,140.00000,-6.12836,5.14230,0,True,130.00000,139.00000,-1.00000,1423,False,2,183508,3787,-1.53649,1.29421,-1.53649,1.29421,1,-0.10797
2,16,16,100.00000,-1.38919,7.87846,0,True,90.00000,100.00000,0.00000,7065,False,2,197752,2802,-0.61089,1.91050,-0.61089,1.91050,1,7.73188
2,17,17,140.00000,-6.12836,5.14230,0,True,130.00000,139.50000,-0.50000,1652,False,2,202906,734,-1.66607,1.27366,-1.66607,1.27366,1,2.60318
2,18,18,40.00000,6.12836,5.14230,0,True,30.00000,40.50000,0.50000,8474,False,2,217117,1968,1.66607,1.15041,1.66607,1.15041,1,-5.37519
2,19,19,120.00000,-4.00000,6.92820,0,True,110.00000,119.50000,-0.50000,2782,False,2,225390,801,-1.35137,1.52018,-1.35137,1.52018,1,11.63562
2,20,20,80.00000,1.38919,7.87846,0,True,70.00000,80.25000,0.25000,1655,False,2,230944,700,0.57387,2.11593,0.57387,2.11593,1,-5.17439
2,21,21,160.00000,-7.51754,2.73616,0,True,150.00000,160.00000,0.00000,1323,False,2,235498,601,-1.88821,0.96552,-1.88821,0.96552,1,-7.08254
2,22,22,20.00000,7.51754,2.73616,0,True,10.00000,21.25000,1.25000,3706,False,2,243904,1267,1.99929,0.71900,1.99929,0.71900,1,-0.22001
2,23,23,60.00000,4.00000,6.92820,0,True,50.00000,59.25000,-0.75000,1873,False,2,249008,734,1.16625,1.74615,1.16625,1.74615,1,-3.73888
2,24,24,100.00000,-1.38919,7.87846,0,True,90.00000,100.00000,0.00000,1640,False,2,254312,934,-0.62940,1.93104,-0.62940,1.93104,1,8.05278
