task_idx,trial_idx,cutrial_no,targetangle_deg,targetx_cm,targety_cm,rotation_deg,doaiming_bool,aimstart_deg,aim_deg,aimdeviation_deg,aimtime_ms,zeroclamped_bool,phase,cutime_ms,time_ms,mousex_cm,mousey_cm,cursorx_cm,cursory_cm,deviation_bool,reachdeviation_deg
2,1,1,20.00000,7.51754,2.73616,0,True,10.00000,19.50000,-0.50000,11092,False,2,55778,3386,2.11036,0.61629,2.11036,0.61629,1,-3.72057
2,2,2,140.00000,-6.12836,5.14230,0,True,130.00000,138.00000,-2.00000,1328,False,2,61232,934,-1.98077,0.55466,-1.98077,0.55466,1,24.35656
2,3,3,160.00000,-7.51754,2.73616,0,True,150.00000,160.50000,0.50000,1485,False,2,68170,1718,-2.23994,0.28760,-2.23994,0.28760,1,12.68346
2,4,4,80.00000,1.38919,7.87846,0,True,70.00000,77.75000,-2.25000,1215,False,2,74642,1067,0.18512,2.09538,0.18512,2.09538,1,4.95121
2,5,5,60.00000,4.00000,6.92820,0,True,50.00000,58.50000,-1.50000,1420,False,2,80947,967,1.09220,1.78724,1.09220,1.78724,1,-1.42951
2,6,6,100.00000,-1.38919,7.87846,0,True,90.00000,100.00000,0.00000,1222,False,2,87135,1000,-0.16661,2.01321,-0.16661,2.01321,1,-5.26908
2,7,7,40.00000,6.12836,5.14230,0,True,30.00000,38.25000,-1.75000,1152,False,2,93440,917,1.48095,1.54072,1.48095,1.54072,1,6.13319
2,8,8,120.00000,-4.00000,6.92820,0,True,110.00000,120.75000,0.75000,1200,False,2,99662,784,-1.18476,1.70507,-1.18476,1.70507,1,4.79333
2,9,9,140.00000,-6.12836,5.14230,0,True,130.00000,138.75000,-1.25000,1184,False,2,106667,1067,-1.70310,1.08878,-1.70310,1.08878,1,7.40950
2,10,10,60.00000,4.00000,6.92820,0,True,50.00000,58.75000,-1.25000,1216,False,2,114056,1117,0.81452,1.91050,0.81452,1.91050,1,6.90957
2,11,11,120.00000,-4.00000,6.92820,0,True,110.00000,120.00000,0.00000,1167,False,2,120761,967,-0.99964,1.86941,-0.99964,1.86941,1,-1.86500
2,12,12,160.00000,-7.51754,2.73616,0,True,150.00000,159.00000,-1.00000,1152,False,2,127383,1034,-1.94375,0.51357,-1.94375,0.51357,1,5.19975
2,13,13,40.00000,6.12836,5.14230,0,True,30.00000,40.00000,0.00000,1135,False,2,134089,1218,1.36988,1.45855,1.36988,1.45855,1,6.79561
2,14,14,20.00000,7.51754,2.73616,0,True,10.00000,19.25000,-0.75000,1154,False,2,140060,1151,1.75863,1.06823,1.75863,1.06823,1,11.27540
2,15,15,100.00000,-1.38919,7.87846,0,True,90.00000,100.75000,0.75000,1302,False,2,146465,1101,-0.20363,2.03375,-0.20363,2.03375,1,-4.28229
2,16,16,80.00000,1.38919,7.87846,0,True,70.00000,80.00000,0.00000,1153,False,2,152720,1134,0.44429,1.97212,0.44429,1.97212,1,-2.69595
2,17,17,120.00000,-4.00000,6.92820,0,True,110.00000,120.25000,0.25000,1282,False,2,159642,984,-1.03667,1.72561,-1.03667,1.72561,1,0.99558
2,18,18,20.00000,7.51754,2.73616,0,True,10.00000,19.25000,-0.75000,1433,False,2,166864,1251,1.85119,0.78063,1.85119,0.78063,1,2.86471
2,19,19,80.00000,1.38919,7.87846,0,True,70.00000,78.25000,-1.75000,1100,False,2,173219,1167,0.31470,2.05430,0.31470,2.05430,1,1.29052
2,20,20,140.00000,-6.12836,5.14230,0,True,130.00000,140.00000,0.00000,1185,False,2,179624,1051,-1.61054,1.21203,-1.61054,1.21203,1,3.03630
2,21,21,40.00000,6.12836,5.14230,0,True,30.00000,39.50000,-0.50000,1166,False,2,187096,1000,1.64756,1.21203,1.64756,1.21203,1,-3.65989
2,22,22,100.00000,-1.38919,7.87846,0,True,90.00000,99.50000,-0.50000,1087,False,2,193051,1067,-0.55536,1.99267,-0.55536,1.99267,1,5.57323
2,23,23,60.00000,4.00000,6.92820,0,True,50.00000,59.25000,-0.75000,1019,False,2,200357,2452,1.18476,1.72561,1.18476,1.72561,1,-4.47250
2,24,24,160.00000,-7.51754,2.73616,0,True,150.00000,159.00000,-1.00000,1099,False,2,205728,901,-1.88821,0.71900,-1.88821,0.71900,1,-0.84603
3,1,25,100.00000,-1.38919,7.87846,0,True,90.00000,101.25000,1.25000,1153,False,2,212049,1050,-0.53685,1.99267,-0.35695,2.02439,1,5.07819
3,2,26,160.00000,-7.51754,2.73616,0,True,150.00000,159.00000,-1.00000,1017,False,2,218254,1117,-1.88821,0.94498,-1.97104,0.71740,1,-6.58629
3,3,27,20.00000,7.51754,2.73616,0,True,10.00000,19.75000,-0.25000,1453,False,2,224659,1151,1.79565,0.98606,1.90252,0.69246,1,8.77287
3,4,28,60.00000,4.00000,6.92820,0,True,50.00000,59.75000,-0.25000,1172,False,2,230113,1000,1.05518,1.72561,1.01101,1.75111,1,-1.44505
3,5,29,140.00000,-6.12836,5.14230,0,True,130.00000,139.75000,-0.25000,1221,False,2,235317,917,-1.61054,1.25312,-1.56214,1.31079,1,2.11443
3,6,30,40.00000,6.12836,5.14230,0,True,30.00000,39.25000,-0.75000,1054,False,2,240705,901,1.38839,1.60235,1.60375,1.34570,1,9.09202
3,7,31,80.00000,1.38919,7.87846,0,True,70.00000,78.50000,-1.50000,1057,False,2,246576,2151,0.40726,1.99267,0.35305,2.00223,1,-1.55098
3,8,32,120.00000,-4.00000,6.92820,0,True,110.00000,119.00000,-1.00000,1002,False,2,251747,1018,-1.12923,1.68452,-1.01173,1.75236,1,3.83621
3,9,33,80.00000,1.38919,7.87846,0,True,70.00000,80.50000,0.50000,1252,False,2,257518,1001,0.44429,2.01321,0.35768,2.02848,1,-2.44498
3,10,34,140.00000,-6.12836,5.14230,0,True,130.00000,138.75000,-1.25000,1087,False,2,264974,3003,-1.53649,1.45855,-1.61984,1.35921,1,-3.50933
3,11,35,100.00000,-1.38919,7.87846,0,True,90.00000,101.50000,1.50000,1400,False,2,271095,1217,-0.51833,1.95158,-0.34937,1.98137,1,4.87408
3,12,36,40.00000,6.12836,5.14230,0,True,30.00000,39.00000,-1.00000,1154,False,2,276466,1050,1.64756,1.23258,1.57375,1.32054,1,-3.19894
3,13,37,160.00000,-7.51754,2.73616,0,True,150.00000,158.00000,-2.00000,1123,False,2,281070,968,-1.94375,0.55466,-1.89464,0.68959,1,4.07360
3,14,38,120.00000,-4.00000,6.92820,0,True,110.00000,122.00000,2.00000,1305,False,2,286574,1084,-1.27732,1.66398,-1.03985,1.80108,1,7.51090
3,15,39,60.00000,4.00000,6.92820,0,True,50.00000,60.00000,0.00000,1354,False,2,292378,1117,0.87006,1.95158,1.06257,1.84043,1,5.97157
3,16,40,20.00000,7.51754,2.73616,0,True,10.00000,19.00000,-1.00000,1322,False,2,297432,1050,1.77714,1.00661,1.89277,0.68891,1,9.52814
4,1,41,60.00000,4.00000,6.92820,0,True,50.00000,60.00000,0.00000,1288,False,2,302870,967,0.98113,1.84887,0.98113,1.84887,1,2.04669
4,2,42,40.00000,6.12836,5.14230,0,True,30.00000,40.50000,0.50000,1237,False,2,308291,1101,1.59202,1.33529,1.59202,1.33529,1,-0.01211
4,3,43,120.00000,-4.00000,6.92820,0,True,110.00000,120.75000,0.75000,1272,False,2,313428,1050,-1.22179,1.72561,-1.22179,1.72561,1,5.29978
4,4,44,80.00000,1.38919,7.87846,0,True,70.00000,79.25000,-0.75000,1737,False,2,319483,1001,0.31470,2.03375,0.31470,2.03375,1,1.20388
4,5,45,100.00000,-1.38919,7.87846,0,True,90.00000,100.00000,0.00000,1304,False,2,325204,1051,-0.42577,1.97212,-0.42577,1.97212,1,2.18286
4,6,46,20.00000,7.51754,2.73616,0,True,10.00000,19.50000,-0.50000,1169,False,2,331042,968,1.92524,0.71900,1.92524,0.71900,1,0.47865
4,7,47,160.00000,-7.51754,2.73616,0,True,150.00000,159.50000,-0.50000,1072,False,2,336079,951,-1.94375,0.63683,-1.94375,0.63683,1,1.85967
4,8,48,140.00000,-6.12836,5.14230,0,True,130.00000,139.75000,-0.25000,1105,False,2,340732,750,-1.75863,1.12986,-1.75863,1.12986,1,7.28063
5,1,49,60.00000,4.00000,6.92820,0,True,50.00000,60.75000,0.75000,3369,False,2,364668,2785,1.51798,1.43801,1.51798,1.43801,1,-16.54968
