task_idx,trial_idx,cutrial_no,targetangle_deg,targetx_cm,targety_cm,rotation_deg,doaiming_bool,aimstart_deg,aim_deg,aimdeviation_deg,aimtime_ms,zeroclamped_bool,phase,cutime_ms,time_ms,mousex_cm,mousey_cm,cursorx_cm,cursory_cm,deviation_bool,reachdeviation_deg
2,1,1,160.00000,-7.51754,2.73616,0,True,150.00000,158.25000,-1.75000,5487,False,2,46342,4504,-1.81417,0.88335,-1.81417,0.88335,1,-5.96223
2,2,2,20.00000,7.51754,2.73616,0,True,10.00000,19.75000,-0.25000,3157,False,2,55015,1017,1.94375,0.67792,1.94375,0.67792,1,-0.77281
2,3,3,40.00000,6.12836,5.14230,0,True,30.00000,39.75000,-0.25000,1935,False,2,62337,850,1.75863,1.04769,1.75863,1.04769,1,-9.21596
2,4,4,60.00000,4.00000,6.92820,0,True,50.00000,59.75000,-0.25000,2569,False,2,70911,1051,1.20327,1.70507,1.20327,1.70507,1,-5.21067
2,5,5,80.00000,1.38919,7.87846,0,True,70.00000,80.50000,0.50000,3320,False,2,79517,1067,0.37024,1.97212,0.37024,1.97212,1,-0.63278
2,6,6,140.00000,-6.12836,5.14230,0,True,130.00000,137.25000,-2.75000,2402,False,2,87156,950,-1.51798,1.35584,-1.51798,1.35584,1,-1.77081
2,7,7,120.00000,-4.00000,6.92820,0,True,110.00000,120.25000,0.25000,2215,False,2,98799,4053,-1.16625,1.66398,-1.16625,1.66398,1,5.02584
2,8,8,100.00000,-1.38919,7.87846,0,True,90.00000,99.75000,-0.25000,2145,False,2,106438,1001,-0.61089,1.93104,-0.61089,1.93104,1,7.55492
2,9,9,20.00000,7.51754,2.73616,0,True,10.00000,19.00000,-1.00000,3399,False,2,116296,1084,1.85119,0.92443,1.85119,0.92443,1,6.53620
2,10,10,40.00000,6.12836,5.14230,0,True,30.00000,41.50000,1.50000,3134,False,2,125302,867,1.68458,1.29421,1.68458,1.29421,1,-2.46606
2,11,11,80.00000,1.38919,7.87846,0,True,70.00000,80.25000,0.25000,2248,False,2,137012,4003,0.31470,2.07484,0.31470,2.07484,1,1.37544
2,12,12,60.00000,4.00000,6.92820,0,True,50.00000,60.00000,0.00000,1978,False,2,145702,2602,0.81452,1.93104,0.81452,1.93104,1,7.12980
2,13,13,120.00000,-4.00000,6.92820,0,True,110.00000,119.75000,-0.25000,3064,False,2,154992,1901,-1.05518,1.70507,-1.05518,1.70507,1,1.75123
2,14,14,160.00000,-7.51754,2.73616,0,True,150.00000,158.00000,-2.00000,1779,False,2,163532,1784,-1.81417,0.92443,-1.81417,0.92443,1,-7.00161
2,15,15,140.00000,-6.12836,5.14230,0,True,130.00000,140.25000,0.25000,4617,False,2,175058,1752,-1.59202,1.33529,-1.59202,1.33529,1,0.01211
2,16,16,100.00000,-1.38919,7.87846,0,True,90.00000,99.75000,-0.25000,2266,False,2,185616,3686,-0.59238,1.95158,-0.59238,1.95158,1,6.88507
2,17,17,40.00000,6.12836,5.14230,0,True,30.00000,39.75000,-0.25000,2996,False,2,194606,1117,1.61054,1.25312,1.61054,1.25312,1,-2.11443
2,18,18,160.00000,-7.51754,2.73616,0,True,150.00000,159.50000,-0.50000,1965,False,2,203146,1234,-1.86970,0.82172,-1.86970,0.82172,1,-3.72515
2,19,19,80.00000,1.38919,7.87846,0,True,70.00000,79.00000,-1.00000,2029,False,2,212336,1034,0.40726,1.97212,0.40726,1.97212,1,-1.66806
2,20,20,100.00000,-1.38919,7.87846,0,True,90.00000,100.00000,0.00000,2131,False,2,221160,901,-0.37024,1.99267,-0.37024,1.99267,1,0.52558
2,21,21,60.00000,4.00000,6.92820,0,True,50.00000,59.75000,-0.25000,2530,False,2,230651,934,0.85155,1.84887,0.85155,1.84887,1,5.27021
2,22,22,120.00000,-4.00000,6.92820,0,True,110.00000,118.50000,-1.50000,1918,False,2,238223,1118,-0.88857,1.84887,-0.88857,1.84887,1,-4.33098
2,23,23,20.00000,7.51754,2.73616,0,True,10.00000,21.00000,1.00000,2548,False,2,247764,1051,1.86970,0.84226,1.86970,0.84226,1,4.25055
2,24,24,140.00000,-6.12836,5.14230,0,True,130.00000,139.00000,-1.00000,2102,False,2,255469,800,-1.57351,1.29421,-1.57351,1.29421,1,0.56275
3,1,25,80.00000,1.38919,7.87846,0,True,70.00000,81.00000,1.00000,2085,False,2,263225,683,0.31470,2.11593,0.37133,2.10594,1,1.54047
3,2,26,20.00000,7.51754,2.73616,0,True,10.00000,19.50000,-0.50000,2554,False,2,270798,834,1.74012,1.12986,1.89969,0.69143,1,12.99567
3,3,27,60.00000,4.00000,6.92820,0,True,50.00000,61.50000,1.50000,2155,False,2,279138,2836,0.90708,1.80778,1.00956,1.74861,1,3.35412
