task_idx,trial_idx,cutrial_no,targetangle_deg,targetx_cm,targety_cm,rotation_deg,doaiming_bool,aimstart_deg,aim_deg,aimdeviation_deg,aimtime_ms,zeroclamped_bool,phase,cutime_ms,time_ms,mousex_cm,mousey_cm,cursorx_cm,cursory_cm,deviation_bool,reachdeviation_deg
2,1,1,100.00000,-1.38919,7.87846,0,True,90.00000,100.00000,0.00000,5537,False,2,42407,1418,-1.11071,1.74615,-1.11071,1.74615,1,22.46007
2,2,2,80.00000,1.38919,7.87846,0,True,70.00000,79.75000,-0.25000,2913,False,2,48978,1467,0.33321,2.23918,0.33321,2.23918,1,1.53599
2,3,3,40.00000,6.12836,5.14230,0,True,30.00000,39.50000,-0.50000,2707,False,2,54199,500,1.44393,1.66398,1.44393,1.66398,1,9.04997
2,4,4,120.00000,-4.00000,6.92820,0,True,110.00000,121.25000,1.25000,1579,False,2,57969,500,-1.05518,1.80778,-1.05518,1.80778,1,0.27161
2,5,5,60.00000,4.00000,6.92820,0,True,50.00000,59.00000,-1.00000,1247,False,2,62973,2302,1.24030,2.15701,1.24030,2.15701,1,0.10071
2,6,6,140.00000,-6.12836,5.14230,0,True,130.00000,140.00000,0.00000,1359,False,2,66375,1234,-1.98077,1.17095,-1.98077,1.17095,1,9.41016
2,7,7,20.00000,7.51754,2.73616,0,True,10.00000,18.75000,-1.25000,1947,False,2,74098,734,1.77714,1.00661,1.77714,1.00661,1,9.52814
2,8,8,160.00000,-7.51754,2.73616,0,True,150.00000,160.25000,0.25000,1814,False,2,77801,784,-2.03631,0.73955,-2.03631,0.73955,1,0.03992
2,9,9,20.00000,7.51754,2.73616,0,True,10.00000,19.25000,-0.75000,1889,False,2,85590,2418,1.85119,0.76009,1.85119,0.76009,1,2.32283
2,10,10,60.00000,4.00000,6.92820,0,True,50.00000,60.00000,0.00000,1940,False,2,89510,801,1.09220,2.19810,1.09220,2.19810,1,3.57797
